league,season,team,player,nation,position,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg+xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg+xag,per_90_minutes_npxg,per_90_minutes_npxg+xag,stat_type,nation_shooting,position_shooting,age_shooting,born_shooting,90s,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg_shooting,expected_npxg_shooting,expected_npxg/sh,expected_g-xg,expected_np:g-xg,stat_type_shooting,nation_passing,position_passing,age_passing,born_passing,90s_passing,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,assists,xag,expected_xa,expected_a-xag,kp,1/3,ppa,crspa,progressive_passes,stat_type_passing,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,passes_attempted,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,stat_type_passing_types,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,stat_type_goal_shot_creation,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,interceptions,tkl+int,clearances,err,stat_type_defense,nation_possession,position_possession,age_possession,born_possession,90s_possession,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ_pct,take-ons_tkld,take-ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_mp_playing_time,playing_time_min_playing_time,playing_time_mn/mp,playing_time_min_pct,playing_time_90s_playing_time,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,stat_type_playing_time,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_crdy_misc,performance_crdr_misc,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct,stat_type_misc,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_mp_keeper,playing_time_starts_keeper,playing_time_min_keeper,playing_time_90s_keeper,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,stat_type_keeper,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg/sot,expected_psxg+/-,expected_/90,launched_cmp,launched_att,launched_cmp_pct,passes_att_(gk),passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_#opa,sweeper_#opa/90,sweeper_avgdist,stat_type_keeper_adv
ESP-La Liga,2024-25,Las Palmas,Diego Martín,ESP,FW,20,2003,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,5,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,standard,ESP,FW,20,2003,0.4,0,1,0,0.0,2.25,0.0,0.0,0.0,28.9,0,0,0,0.0,0.0,0.04,0.0,0.0,shooting,ESP,FW,20,2003,0.4,8,15,53.3,123,40,5,7,71.4,2,4,50.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,2,passing,ESP,FW,20,2003,0.4,15,15,0,0,0,0,4,0,0,0,0,0,8,0,3,passing_types,ESP,FW,20,2003,0.4,2,4.5,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,goal_shot_creation,ESP,FW,20,2003,0.4,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0,defense,ESP,FW,20,2003,0.4,19,0,3,7,9,1,19,0,0,0.0,0,0.0,10,36,24,1,0,0,0,0,12,5,possession,ESP,FW,20,2003,2,40,20,1.2,0.4,0,0,0,2,20,1,0.0,0,2,-2,-4.5,-3.99,0.1,1.7,-1.6,-3.55,-2.78,playing_time,ESP,FW,20,2003,0.4,0,0,0,0,1,0,4,0,1,0,0,0,1,0,3,0.0,misc,,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
ESP-La Liga,2024-25,Las Palmas,Dinko Horkaš,CRO,GK,25,1999,13,11,1085,12.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,CRO,GK,25,1999,12.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,CRO,GK,25,1999,12.1,397,525,75.6,10570,7433,72,72,100.0,217,221,98.2,107,228,46.9,0,0.0,0.0,0.0,0,12,0,0,2,passing,CRO,GK,25,1999,12.1,525,445,77,30,0,3,0,0,0,0,0,0,397,3,0,passing_types,CRO,GK,25,1999,12.1,2,0.17,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,CRO,GK,25,1999,12.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,9,1,defense,CRO,GK,25,1999,12.1,560,335,538,22,0,0,560,1,1,100.0,0,0.0,340,1488,929,0,0,0,0,0,351,0,possession,CRO,GK,25,1999,13,1085,83,31.7,12.1,11,90,11,2,48,23,0.54,9,19,-10,-0.83,-0.41,11.3,18.9,-7.6,-0.63,0.25,playing_time,CRO,GK,25,1999,12.1,1,0,0,1,1,0,0,0,0,0,1,0,14,0,0,0.0,misc,CRO,GK,25,1999,13,11,1085,12.1,19,1.58,54,35,66.7,2,0,9,1,9.1,2,1,1,0,50.0,keeper,CRO,GK,25,1999,12.1,19,1,0,0,1,19.4,0.34,1.4,0.11,69,175,39.4,475,53,31.8,32.5,47,51.1,43.0,148,9,6.1,16,1.33,15.6,keeper_adv
ESP-La Liga,2024-25,Las Palmas,Enzo Loiodice,FRA,MF,23,2000,17,7,684,7.6,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.4,3,31,3,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,standard,FRA,MF,23,2000,7.6,0,7,4,57.1,0.92,0.53,0.0,0.0,25.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,shooting,FRA,MF,23,2000,7.6,377,443,85.1,6435,1576,179,203,88.2,154,177,87.0,33,42,78.6,0,0.2,0.2,-0.2,5,30,1,0,31,passing,FRA,MF,23,2000,7.6,443,429,14,6,0,3,10,1,7,3,1,1,377,0,11,passing_types,FRA,MF,23,2000,7.6,13,1.71,7,4,1,0,1,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,FRA,MF,23,2000,7.6,17,7,8,9,0,3,10,30.0,7,4,1,3,10,27,7,2,defense,FRA,MF,23,2000,7.6,532,13,98,359,77,4,532,13,4,30.8,8,61.5,279,958,432,3,6,1,11,12,380,3,possession,FRA,MF,23,2000,17,684,40,20.0,7.6,7,74,3,10,17,19,0.76,4,18,-14,-1.84,-1.61,5.9,14.6,-8.8,-1.15,-0.44,playing_time,FRA,MF,23,2000,7.6,3,0,0,10,6,1,10,10,7,0,0,0,29,7,8,46.7,misc,,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
ESP-La Liga,2024-25,Las Palmas,Fabio González,ESP,MF,27,1997,2,0,53,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,6,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,standard,ESP,MF,27,1997,0.6,0,2,0,0.0,3.4,0.0,0.0,0.0,16.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting,ESP,MF,27,1997,0.6,43,53,81.1,756,181,20,24,83.3,18,20,90.0,4,5,80.0,0,0.0,0.0,0.0,0,5,0,0,6,passing,ESP,MF,27,1997,0.6,53,53,0,0,0,1,1,0,0,0,0,0,43,0,3,passing_types,ESP,MF,27,1997,0.6,2,3.4,2,0,0,0,0,0,1,1.7,1,0,0,0,0,0,goal_shot_creation,ESP,MF,27,1997,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense,ESP,MF,27,1997,0.6,57,1,5,41,11,2,57,0,0,0.0,0,0.0,37,178,85,0,0,0,1,0,42,0,possession,ESP,MF,27,1997,2,53,27,1.5,0.6,0,0,0,2,27,14,1.5,2,1,1,1.7,2.29,0.6,1.6,-1.0,-1.77,-0.99,playing_time,ESP,MF,27,1997,0.6,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,100.0,misc,,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
ESP-La Liga,2024-25,Las Palmas,Fábio Silva,POR,FW,22,2002,24,22,1866,20.7,10,3,13,8,2,3,7,0,8.8,6.4,2.0,8.4,30,26,119,0.48,0.14,0.63,0.39,0.53,0.42,0.1,0.52,0.31,0.41,standard,POR,FW,22,2002,20.7,10,46,20,43.5,2.22,0.96,0.17,0.4,14.8,0,2,3,8.8,6.4,0.14,1.2,1.6,shooting,POR,FW,22,2002,20.7,309,466,66.3,4149,710,181,250,72.4,83,125,66.4,16,29,55.2,3,2.0,1.8,1.0,16,13,14,3,26,passing,POR,FW,22,2002,20.7,466,421,44,1,3,3,21,5,0,0,0,0,309,1,24,passing_types,POR,FW,22,2002,20.7,43,2.08,30,0,4,3,5,1,5,0.24,3,0,1,1,0,0,goal_shot_creation,POR,FW,22,2002,20.7,12,7,4,5,3,4,14,28.6,10,12,0,12,4,16,27,0,defense,POR,FW,22,2002,20.7,706,32,69,311,335,101,703,53,21,39.6,29,54.7,330,1969,810,30,11,21,58,30,491,119,possession,POR,FW,22,2002,24,1866,78,54.6,20.7,22,82,9,2,37,0,1.21,27,33,-6,-0.29,0.58,19.2,39.8,-20.6,-0.99,-0.42,playing_time,POR,FW,22,2002,20.7,7,0,0,39,43,20,21,4,7,0,0,0,48,51,52,49.5,misc,,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
ESP-La Liga,2024-25,Las Palmas,Jaime Mata,ESP,"FW,MF",35,1988,30,4,656,7.3,0,0,0,0,0,0,9,0,2.6,2.6,0.1,2.8,6,10,48,0.0,0.0,0.0,0.0,0.0,0.36,0.02,0.38,0.36,0.38,standard,ESP,"FW,MF",35,1988,7.3,0,17,6,35.3,2.33,0.82,0.0,0.0,11.3,0,0,0,2.6,2.6,0.15,-2.6,-2.6,shooting,ESP,"FW,MF",35,1988,7.3,127,187,67.9,1817,282,76,101,75.2,37,52,71.2,7,13,53.8,0,0.1,0.3,-0.1,3,8,3,1,10,passing,ESP,"FW,MF",35,1988,7.3,187,182,4,0,0,0,9,1,0,0,0,0,127,1,6,passing_types,ESP,"FW,MF",35,1988,7.3,16,2.19,11,0,1,3,1,0,1,0.14,1,0,0,0,0,0,goal_shot_creation,ESP,"FW,MF",35,1988,7.3,8,2,2,6,0,3,9,33.3,6,5,1,4,3,11,11,0,defense,ESP,"FW,MF",35,1988,7.3,270,11,20,135,116,38,270,9,5,55.6,3,33.3,118,458,158,6,3,2,17,3,192,48,possession,ESP,"FW,MF",35,1988,30,656,22,19.2,7.3,4,69,0,26,15,6,0.84,10,11,-1,-0.14,0.51,11.1,10.7,0.4,0.05,1.06,playing_time,ESP,"FW,MF",35,1988,7.3,9,0,0,20,14,12,9,3,2,0,0,0,18,26,30,46.4,misc,,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
ESP-La Liga,2024-25,Las Palmas,Jasper Cillessen,NED,GK,35,1989,27,27,2335,25.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,NED,GK,35,1989,25.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,NED,GK,35,1989,25.9,683,1002,68.2,18003,13417,147,149,98.7,340,347,98.0,194,501,38.7,0,0.0,0.0,0.0,0,15,0,0,0,passing,NED,GK,35,1989,25.9,1002,727,272,93,0,0,0,0,0,0,0,0,683,3,0,passing_types,NED,GK,35,1989,25.9,1,0.04,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,NED,GK,35,1989,25.9,1,0,1,0,0,1,4,25.0,3,0,0,0,0,1,11,2,defense,NED,GK,35,1989,25.9,1079,867,1066,13,0,0,1079,0,0,0.0,0,0.0,609,3115,2050,0,0,0,4,0,514,0,possession,NED,GK,35,1989,27,2335,86,68.3,25.9,27,86,25,0,0,5,0.96,31,42,-11,-0.42,0.41,25.0,47.9,-22.9,-0.88,-0.25,playing_time,NED,GK,35,1989,25.9,1,0,0,0,5,0,0,0,0,0,0,0,20,2,2,50.0,misc,NED,GK,35,1989,27,27,2335,25.9,42,1.62,128,85,70.3,6,8,13,3,11.1,8,4,3,1,42.9,keeper,NED,GK,35,1989,25.9,42,4,0,4,2,44.3,0.3,4.3,0.16,124,409,30.3,820,142,39.5,34.5,179,47.5,43.1,413,13,3.1,20,0.77,14.5,keeper_adv
ESP-La Liga,2024-25,Las Palmas,Javier Muñoz,ESP,"MF,DF",29,1995,35,28,2588,28.8,1,3,4,1,0,0,5,0,1.3,1.3,2.5,3.7,36,108,91,0.03,0.1,0.14,0.03,0.14,0.04,0.09,0.13,0.04,0.13,standard,ESP,"MF,DF",29,1995,28.8,1,25,6,24.0,0.87,0.21,0.04,0.17,21.8,0,0,0,1.3,1.3,0.05,-0.3,-0.3,shooting,ESP,"MF,DF",29,1995,28.8,918,1178,77.9,15854,4646,442,509,86.8,349,433,80.6,97,166,58.4,3,2.5,2.3,0.5,29,115,32,13,108,passing,ESP,"MF,DF",29,1995,28.8,1178,1090,85,22,3,18,51,49,3,0,1,1,918,3,29,passing_types,ESP,"MF,DF",29,1995,28.8,58,2.02,44,4,5,0,3,2,8,0.28,7,1,0,0,0,0,goal_shot_creation,ESP,"MF,DF",29,1995,28.8,45,35,18,17,10,16,46,34.8,30,27,4,23,31,76,39,3,defense,ESP,"MF,DF",29,1995,28.8,1411,44,272,814,342,32,1411,36,21,58.3,13,36.1,700,3825,1599,36,29,7,29,15,939,91,possession,ESP,"MF,DF",29,1995,35,2588,74,75.7,28.8,28,86,20,7,27,1,0.91,32,49,-17,-0.59,-0.16,27.7,50.8,-23.1,-0.8,0.0,playing_time,ESP,"MF,DF",29,1995,28.8,5,0,0,30,26,2,51,31,35,0,0,0,112,15,26,36.6,misc,,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
ESP-La Liga,2024-25,Las Palmas,José Campaña,ESP,MF,31,1993,25,15,1189,13.2,0,3,3,0,0,0,5,0,0.1,0.1,0.9,1.1,11,87,15,0.0,0.23,0.23,0.0,0.23,0.01,0.07,0.08,0.01,0.08,standard,ESP,MF,31,1993,13.2,0,5,3,60.0,0.38,0.23,0.0,0.0,37.0,2,0,0,0.1,0.1,0.02,-0.1,-0.1,shooting,ESP,MF,31,1993,13.2,703,834,84.3,12424,4339,316,346,91.3,283,324,87.3,81,124,65.3,3,0.9,1.0,2.1,14,72,12,4,87,passing,ESP,MF,31,1993,13.2,834,749,82,55,4,12,34,4,23,9,10,0,703,3,8,passing_types,ESP,MF,31,1993,13.2,39,2.95,34,5,0,0,0,0,4,0.3,4,0,0,0,0,0,goal_shot_creation,ESP,MF,31,1993,13.2,21,16,8,11,2,11,20,55.0,9,9,1,8,19,40,19,2,defense,ESP,MF,31,1993,13.2,946,40,224,577,153,5,946,18,8,44.4,8,44.4,478,2164,988,11,12,1,17,15,605,15,possession,ESP,MF,31,1993,25,1189,48,34.8,13.2,15,67,0,10,19,5,1.0,12,18,-6,-0.45,0.15,12.1,18.5,-6.3,-0.48,0.5,playing_time,ESP,MF,31,1993,13.2,5,0,0,7,20,0,34,19,16,0,1,0,84,15,4,78.9,misc,,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
ESP-La Liga,2024-25,Las Palmas,José Carlos González,ESP,DF,18,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,DF,18,2006,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,ESP,DF,18,2006,0.1,8,9,88.9,92,22,6,6,100.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,passing,ESP,DF,18,2006,0.1,9,9,0,0,0,0,0,0,0,0,0,0,8,0,1,passing_types,ESP,DF,18,2006,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ESP,DF,18,2006,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,ESP,DF,18,2006,0.1,9,0,1,5,3,0,9,0,0,0.0,0,0.0,4,17,8,0,0,0,0,0,7,1,possession,ESP,DF,18,2006,1,11,11,0.3,0.1,0,0,0,1,11,0,0.0,0,1,-1,-8.18,-7.65,0.0,0.9,-0.9,-7.14,-6.36,playing_time,ESP,DF,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,misc,,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
ESP-La Liga,2024-25,Las Palmas,Juan Herzog,ESP,DF,21,2003,19,15,1315,14.6,0,0,0,0,0,0,1,0,0.9,0.9,0.0,0.9,0,27,1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,standard,ESP,DF,21,2003,14.6,0,12,2,16.7,0.82,0.14,0.0,0.0,10.7,0,0,0,0.9,0.9,0.07,-0.9,-0.9,shooting,ESP,DF,21,2003,14.6,559,647,86.4,10419,3151,190,208,91.3,313,339,92.3,47,81,58.0,0,0.0,0.0,0.0,0,17,0,0,27,passing,ESP,DF,21,2003,14.6,647,598,47,20,0,3,0,6,0,0,0,0,559,2,3,passing_types,ESP,DF,21,2003,14.6,3,0.21,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ESP,DF,21,2003,14.6,12,12,12,0,0,9,16,56.3,7,17,11,6,18,30,86,0,defense,ESP,DF,21,2003,14.6,812,129,492,297,27,20,812,2,0,0.0,1,50.0,376,1229,569,0,1,0,2,0,472,1,possession,ESP,DF,21,2003,19,1315,69,38.5,14.6,15,82,11,4,22,19,0.42,9,23,-14,-0.96,-0.66,13.8,26.4,-12.6,-0.86,-0.1,playing_time,ESP,DF,21,2003,14.6,1,0,0,6,7,0,0,18,12,0,0,0,41,44,25,63.8,misc,,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
ESP-La Liga,2024-25,Las Palmas,Kirian Rodríguez,ESP,MF,28,1996,21,21,1758,19.5,0,3,3,0,0,0,2,0,1.6,1.6,1.5,3.0,25,128,39,0.0,0.15,0.15,0.0,0.15,0.08,0.07,0.16,0.08,0.16,standard,ESP,MF,28,1996,19.5,0,21,8,38.1,1.08,0.41,0.0,0.0,21.8,0,0,0,1.6,1.6,0.08,-1.6,-1.6,shooting,ESP,MF,28,1996,19.5,1026,1204,85.2,16191,4876,546,597,91.5,379,429,88.3,75,120,62.5,3,1.5,1.4,1.5,16,106,14,1,128,passing,ESP,MF,28,1996,19.5,1204,1154,43,34,8,4,18,2,6,2,3,0,1026,7,15,passing_types,ESP,MF,28,1996,19.5,49,2.51,43,2,1,0,2,1,7,0.36,7,0,0,0,0,0,goal_shot_creation,ESP,MF,28,1996,19.5,33,17,12,18,3,22,43,51.2,21,22,4,18,10,43,21,0,defense,ESP,MF,28,1996,19.5,1357,47,294,872,199,15,1357,16,11,68.8,5,31.3,763,3545,1999,25,24,0,20,14,1027,39,possession,ESP,MF,28,1996,21,1758,84,51.4,19.5,21,84,9,0,0,0,1.1,22,29,-7,-0.36,0.4,17.1,36.7,-19.7,-1.01,-0.42,playing_time,ESP,MF,28,1996,19.5,2,0,0,9,18,0,18,10,17,0,0,0,100,13,17,43.3,misc,,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
ESP-La Liga,2024-25,Las Palmas,Manuel Fuster,ESP,"FW,MF",26,1997,28,8,1003,11.1,2,1,3,2,0,0,2,0,0.7,0.7,1.8,2.5,23,71,75,0.18,0.09,0.27,0.18,0.27,0.07,0.16,0.23,0.07,0.23,standard,ESP,"FW,MF",26,1997,11.1,2,18,7,38.9,1.62,0.63,0.11,0.29,23.2,0,0,0,0.7,0.7,0.04,1.3,1.3,shooting,ESP,"FW,MF",26,1997,11.1,478,624,76.6,8055,2300,245,277,88.4,152,194,78.4,60,107,56.1,1,1.8,1.8,-0.8,28,56,24,5,71,passing,ESP,"FW,MF",26,1997,11.1,624,559,61,25,3,10,67,13,22,7,10,1,478,4,17,passing_types,ESP,"FW,MF",26,1997,11.1,56,5.02,44,8,1,1,1,1,6,0.54,5,0,0,0,0,1,goal_shot_creation,ESP,"FW,MF",26,1997,11.1,19,11,5,8,6,15,28,53.6,13,13,3,10,4,23,17,0,defense,ESP,"FW,MF",26,1997,11.1,742,19,93,364,288,23,742,17,5,29.4,9,52.9,410,2011,1016,23,15,3,20,16,533,75,possession,ESP,"FW,MF",26,1997,28,1003,36,29.3,11.1,8,69,2,20,23,10,0.61,12,21,-9,-0.81,-0.36,11.8,19.6,-7.8,-0.7,0.14,playing_time,ESP,"FW,MF",26,1997,11.1,2,0,0,12,37,1,67,4,11,0,0,0,63,3,13,18.8,misc,,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
ESP-La Liga,2024-25,Las Palmas,Marc Cardona,ESP,"FW,DF",29,1995,11,0,132,1.5,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,2,3,12,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,standard,ESP,"FW,DF",29,1995,1.5,0,4,0,0.0,2.73,0.0,0.0,0.0,15.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4,shooting,ESP,"FW,DF",29,1995,1.5,38,48,79.2,542,79,21,24,87.5,12,15,80.0,2,3,66.7,0,0.0,0.1,0.0,0,4,0,0,3,passing,ESP,"FW,DF",29,1995,1.5,48,45,3,0,1,1,1,0,1,0,0,0,38,0,2,passing_types,ESP,"FW,DF",29,1995,1.5,4,2.73,2,0,0,2,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ESP,"FW,DF",29,1995,1.5,4,2,1,3,0,0,1,0.0,1,0,0,0,0,4,0,0,defense,ESP,"FW,DF",29,1995,1.5,73,0,16,34,23,6,73,7,1,14.3,6,85.7,45,151,55,2,0,0,2,4,53,12,possession,ESP,"FW,DF",29,1995,11,132,12,3.9,1.5,0,0,0,11,12,21,0.64,2,4,-2,-1.36,-0.84,2.8,4.7,-1.9,-1.3,-0.51,playing_time,ESP,"FW,DF",29,1995,1.5,2,0,0,2,3,0,1,0,2,0,0,0,8,0,6,0.0,misc,,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
