league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
ESP-La Liga,2025-26,Barcelona,Jules Koundé,FRA,DF,26-292,1998,0.2,32,0,4,13,15,3,32,0,0,,0,,26,170,141,5,0,0,0,0,27,5
ESP-La Liga,2025-26,Barcelona,Lamine Yamal,ESP,FW,18-049,2007,2.0,159,0,2,30,129,25,159,30,15,50.0,13,43.3,111,773,463,19,3,12,4,2,129,26
ESP-La Liga,2025-26,Barcelona,Marc Casado,ESP,MF,21-351,2003,0.5,60,1,6,39,15,0,60,0,0,,0,,40,199,94,1,0,0,1,0,46,1
ESP-La Liga,2025-26,Barcelona,Marcus Rashford,ENG,FW,27-304,1997,0.7,53,0,0,2,51,8,53,5,2,40.0,3,60.0,29,152,86,5,1,4,2,0,43,12
ESP-La Liga,2025-26,Barcelona,Pau Cubarsí,ESP,DF,18-221,2007,1.8,163,6,46,110,8,3,163,0,0,,0,,95,549,281,3,1,0,0,0,118,1
ESP-La Liga,2025-26,Barcelona,Pedri,ESP,MF,22-279,2002,2.0,240,3,12,147,84,2,240,1,0,0.0,0,0.0,172,1092,597,16,15,1,0,5,201,9
ESP-La Liga,2025-26,Barcelona,Raphinha,BRA,"FW,MF",28-260,1996,1.8,112,2,10,44,59,8,112,6,2,33.3,4,66.7,72,387,221,5,2,2,2,0,86,16
ESP-La Liga,2025-26,Barcelona,Robert Lewandowski,POL,FW,37-010,1988,0.2,6,0,0,2,4,1,6,0,0,,0,,2,1,0,0,0,0,1,2,4,1
ESP-La Liga,2025-26,Barcelona,Ronald Araújo,URU,DF,26-177,1999,1.8,122,5,26,95,2,2,122,0,0,,0,,67,407,273,0,0,0,0,0,81,2
ESP-La Liga,2025-26,Betis,Aitor Ruibal,ESP,FW,29-162,1996,2.4,99,3,15,35,50,12,99,5,2,40.0,2,40.0,54,155,48,1,1,1,7,5,67,15
ESP-La Liga,2025-26,Betis,Cucho,COL,FW,26-133,1999,2.6,98,4,9,42,48,14,98,8,3,37.5,3,37.5,69,273,108,3,1,1,14,9,85,18
ESP-La Liga,2025-26,Betis,Cédric Bakambu,COD,FW,34-142,1991,0.4,17,1,4,2,11,1,17,2,0,0.0,2,100.0,9,30,5,0,0,0,1,1,13,5
ESP-La Liga,2025-26,Betis,Daniel Guerrero,ESP,MF,20-036,2005,0.0,3,0,0,2,1,0,3,2,1,50.0,1,50.0,3,9,8,0,1,0,0,0,2,1
ESP-La Liga,2025-26,Betis,Ezequiel Ávila,ARG,FW,31-206,1994,0.4,17,0,2,4,11,1,17,0,0,,0,,8,36,27,1,1,0,1,0,10,0
ESP-La Liga,2025-26,Betis,Giovani Lo Celso,ARG,MF,29-144,1996,2.9,183,1,15,96,74,3,183,7,2,28.6,3,42.9,96,370,168,2,5,1,7,6,143,10
ESP-La Liga,2025-26,Betis,Héctor Bellerín,ESP,DF,30-165,1995,3.0,199,10,66,92,43,6,199,2,1,50.0,0,0.0,95,466,263,6,4,1,3,1,134,14
ESP-La Liga,2025-26,Betis,Junior Firpo,DOM,DF,29-009,1996,0.8,61,1,22,22,17,3,61,0,0,,0,,33,98,66,2,0,1,2,1,44,4
ESP-La Liga,2025-26,Betis,Marc Bartra,ESP,DF,34-228,1991,3.0,197,39,110,76,11,1,197,2,0,0.0,1,50.0,94,574,382,2,6,0,3,1,114,0
ESP-La Liga,2025-26,Betis,Natan,BRA,DF,24-206,2001,3.0,163,25,98,61,4,0,163,0,0,,0,,82,403,226,0,0,0,2,0,102,0
ESP-La Liga,2025-26,Betis,Pablo Fornals,ESP,MF,29-190,1996,3.0,206,4,39,124,44,1,206,3,2,66.7,1,33.3,123,506,210,1,0,0,4,4,154,11
ESP-La Liga,2025-26,Betis,Pablo Garcia,ESP,FW,19-016,2006,1.0,47,0,8,19,22,3,47,6,3,50.0,2,33.3,32,314,157,6,4,1,5,2,32,5
ESP-La Liga,2025-26,Betis,Pau López,ESP,GK,30-261,1994,2.0,61,53,61,0,0,0,61,0,0,,0,,38,122,60,0,0,0,0,0,32,0
ESP-La Liga,2025-26,Betis,Ricardo Rodríguez,SUI,DF,33-006,1992,2.2,116,13,45,39,32,0,116,1,0,0.0,0,0.0,66,293,166,4,6,0,0,1,70,1
ESP-La Liga,2025-26,Betis,Rodrigo Riquelme,ESP,FW,25-151,2000,2.2,96,0,15,31,50,6,96,8,2,25.0,3,37.5,76,456,230,9,5,1,4,4,79,12
ESP-La Liga,2025-26,Betis,Sergi Altimira,ESP,MF,24-006,2001,2.8,180,7,51,115,17,1,180,1,1,100.0,0,0.0,83,426,213,4,3,0,3,0,120,1
ESP-La Liga,2025-26,Betis,Valentín Gómez,ARG,MF,22-066,2003,0.3,12,3,4,5,3,1,12,0,0,,0,,1,0,0,0,0,0,1,0,6,0
ESP-La Liga,2025-26,Betis,Álvaro Vallés,ESP,GK,28-037,1997,1.0,43,33,42,1,0,0,43,1,1,100.0,0,0.0,22,113,80,0,0,0,0,0,24,0
ESP-La Liga,2025-26,Celta Vigo,Borja Iglesias,ESP,FW,32-226,1993,1.2,41,2,7,25,10,3,41,0,0,,0,,20,96,50,4,1,1,1,2,33,7
ESP-La Liga,2025-26,Celta Vigo,Bryan Zaragoza,ESP,"MF,FW",24-128,2001,0.6,43,1,4,14,27,5,43,6,2,33.3,3,50.0,26,163,62,3,1,2,2,1,26,7
ESP-La Liga,2025-26,Celta Vigo,Carlos Dominguez,ESP,DF,24-201,2001,1.0,71,13,43,28,0,0,71,0,0,,0,,37,147,56,0,0,0,0,0,56,0
ESP-La Liga,2025-26,Celta Vigo,Ferran Jutglà,ESP,"FW,MF",26-211,1999,1.8,59,3,5,23,31,9,59,4,1,25.0,3,75.0,36,223,87,4,5,2,2,1,47,16
ESP-La Liga,2025-26,Celta Vigo,Fran Beltrán,ESP,MF,26-209,1999,0.8,44,2,13,28,3,1,44,0,0,,0,,16,48,19,1,0,0,0,1,28,2
ESP-La Liga,2025-26,Celta Vigo,Hugo Sotelo,ESP,MF,21-255,2003,2.2,171,4,44,91,37,0,171,0,0,,0,,99,496,271,2,3,0,1,1,114,3
ESP-La Liga,2025-26,Celta Vigo,Hugo Álvarez,ESP,"DF,MF",22-060,2003,0.8,48,1,7,28,14,3,48,3,1,33.3,2,66.7,27,159,97,4,2,2,1,0,36,6
ESP-La Liga,2025-26,Celta Vigo,Iago Aspas,ESP,"MF,FW",38-030,1987,1.9,93,0,7,32,55,9,93,3,2,66.7,0,0.0,56,221,113,4,0,2,4,2,76,13
ESP-La Liga,2025-26,Celta Vigo,Ilaix Moriba,GUI,MF,22-224,2003,3.0,148,3,30,84,34,2,148,3,0,0.0,3,100.0,73,318,128,3,2,1,3,4,110,11
ESP-La Liga,2025-26,Celta Vigo,Ionuț Radu,ROU,GK,28-095,1997,3.0,84,76,84,0,0,0,84,0,0,,0,,38,177,72,0,0,0,0,0,36,0
ESP-La Liga,2025-26,Celta Vigo,Javi Rodríguez,ESP,DF,22-066,2003,2.3,180,19,65,96,19,4,180,1,0,0.0,1,100.0,95,354,203,1,2,0,2,2,140,5
ESP-La Liga,2025-26,Celta Vigo,Javier Rueda Garcia,ESP,DF,23-115,2002,1.5,85,3,16,39,30,6,85,0,0,,0,,35,131,46,3,0,2,1,0,51,15
ESP-La Liga,2025-26,Celta Vigo,Jones El-Abdellaoui,MAR,"MF,DF",19-231,2006,0.4,30,0,1,9,20,0,30,2,0,0.0,1,50.0,19,158,94,5,0,0,1,1,22,15
ESP-La Liga,2025-26,Celta Vigo,Manu Fernández,ESP,DF,24-130,2001,0.7,54,0,19,33,2,0,54,0,0,,0,,35,193,127,1,0,0,1,0,48,0
ESP-La Liga,2025-26,Celta Vigo,Marcos Alonso,ESP,DF,34-246,1990,2.4,234,10,75,133,26,5,234,2,1,50.0,1,50.0,138,1028,782,13,9,1,2,1,172,5
ESP-La Liga,2025-26,Celta Vigo,Mihailo Ristić,SRB,"DF,MF",29-304,1995,1.3,90,5,31,48,12,0,90,5,3,60.0,2,40.0,60,290,153,5,3,0,0,0,68,3
ESP-La Liga,2025-26,Celta Vigo,Pablo Durán,ESP,"FW,MF",24-098,2001,1.9,55,2,5,23,29,10,55,3,1,33.3,2,66.7,30,126,48,2,0,2,5,1,41,10
ESP-La Liga,2025-26,Celta Vigo,Sergio Carreira,ESP,DF,24-322,2000,1.0,70,2,25,30,15,0,70,4,1,25.0,3,75.0,39,192,66,0,1,0,0,0,49,4
ESP-La Liga,2025-26,Celta Vigo,Williot Swedberg,SWE,"MF,FW",21-211,2004,1.4,36,1,2,17,17,5,36,4,2,50.0,1,25.0,20,76,32,1,0,0,4,3,30,9
ESP-La Liga,2025-26,Celta Vigo,Yoel Lago,ESP,DF,21-159,2004,1.9,152,17,58,94,0,0,152,0,0,,0,,94,461,288,0,0,0,0,0,122,0
ESP-La Liga,2025-26,Celta Vigo,Óscar Mingueza,ESP,"DF,MF",26-110,1999,2.0,137,1,28,54,55,3,137,3,1,33.3,2,66.7,58,281,139,3,2,1,3,1,87,10
ESP-La Liga,2025-26,Elche,Aleix Febas,ESP,MF,29-210,1996,3.0,198,5,24,123,54,5,198,7,4,57.1,2,28.6,109,692,437,11,10,1,7,5,172,16
ESP-La Liga,2025-26,Elche,Ali Houary,MAR,MF,20-026,2005,0.7,47,1,1,33,13,0,47,2,1,50.0,0,0.0,30,215,109,1,1,0,2,2,34,0
ESP-La Liga,2025-26,Elche,André Silva,POR,FW,29-298,1995,0.5,21,0,0,14,7,1,21,1,0,0.0,1,100.0,12,89,54,2,2,0,4,1,18,3
ESP-La Liga,2025-26,Elche,David Affengruber,AUT,DF,24-165,2001,3.0,263,26,85,174,5,1,263,0,0,,0,,157,873,504,1,1,0,0,0,185,0
ESP-La Liga,2025-26,Elche,Federico Redondo,ARG,MF,22-225,2003,0.1,17,4,8,9,0,0,17,0,0,,0,,6,21,6,0,0,0,0,0,8,0
ESP-La Liga,2025-26,Elche,Germán Valera,ESP,"FW,DF",23-168,2002,2.8,167,3,39,63,67,5,167,4,0,0.0,3,75.0,99,573,254,6,0,3,4,5,115,22
ESP-La Liga,2025-26,Elche,Jairo Izquierdo,ESP,"MF,DF",31-313,1993,0.3,17,0,4,6,7,0,17,0,0,,0,,13,63,23,1,0,0,0,1,13,3
ESP-La Liga,2025-26,Elche,John Donald,ESP,"DF,FW",25-001,2000,0.6,34,2,10,18,6,0,34,0,0,,0,,14,68,40,1,1,0,5,0,16,1
ESP-La Liga,2025-26,Elche,Léo Pétrot,FRA,"DF,FW",28-138,1997,1.0,64,2,10,28,26,2,64,0,0,,0,,33,146,73,3,2,0,0,0,44,8
ESP-La Liga,2025-26,Elche,Marc Aguado,ESP,MF,25-190,2000,2.4,164,10,28,126,10,0,164,0,0,,0,,85,320,156,1,1,0,0,0,123,1
ESP-La Liga,2025-26,Elche,Martim Neto,POR,MF,22-229,2003,0.8,52,2,8,24,20,3,52,2,2,100.0,0,0.0,31,185,109,3,1,0,1,1,38,3
ESP-La Liga,2025-26,Elche,Matías Dituro,ARG,GK,38-115,1987,3.0,188,84,174,14,0,0,188,0,0,,0,,116,509,349,0,0,0,0,0,116,0
ESP-La Liga,2025-26,Elche,Mourad El Ghezouani,MAR,FW,27-096,1998,0.6,23,0,5,15,3,1,23,0,0,,0,,8,10,0,0,0,0,2,0,17,4
ESP-La Liga,2025-26,Elche,Núñez,ESP,"DF,FW",25-055,2000,3.0,172,6,33,84,58,2,172,5,4,80.0,1,20.0,85,387,145,1,2,0,3,1,110,11
ESP-La Liga,2025-26,Elche,Pedro Bigas,ESP,DF,34-350,1990,2.9,281,12,75,190,19,2,281,1,0,0.0,1,100.0,150,710,334,2,5,0,2,1,209,3
ESP-La Liga,2025-26,Elche,Rafa Mir,ESP,FW,28-074,1997,1.6,49,1,8,27,14,5,49,1,1,100.0,0,0.0,33,128,73,3,1,2,4,4,43,10
ESP-La Liga,2025-26,Elche,Rodrigo Mendoza,ESP,"MF,FW",20-169,2005,2.7,142,3,16,71,58,7,142,11,7,63.6,4,36.4,83,438,190,5,3,1,7,7,106,18
ESP-La Liga,2025-26,Elche,Víctor Chust,ESP,DF,25-179,2000,1.5,92,6,30,47,16,1,92,0,0,,0,,52,340,133,5,1,0,0,0,67,0
ESP-La Liga,2025-26,Elche,Álvaro Rodríguez,URU,FW,21-048,2004,2.5,80,2,5,37,40,10,80,10,3,30.0,7,70.0,42,182,82,3,4,1,6,4,63,18
ESP-La Liga,2025-26,Espanyol,Antoniu,ESP,FW,22-360,2002,0.1,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
ESP-La Liga,2025-26,Espanyol,Carlos Romero,ESP,DF,23-306,2001,2.0,86,6,30,38,21,2,86,11,6,54.5,4,36.4,42,283,138,3,4,0,3,1,38,10
ESP-La Liga,2025-26,Espanyol,Edu Expósito,ESP,MF,29-030,1996,1.9,92,4,16,49,27,1,92,1,1,100.0,0,0.0,53,332,205,3,5,1,0,0,51,3
ESP-La Liga,2025-26,Espanyol,Fernando Calero,ESP,"DF,MF",29-351,1995,1.0,78,11,53,21,4,1,78,0,0,,0,,54,226,141,0,0,0,0,1,63,1
ESP-La Liga,2025-26,Espanyol,Javi Puado,ESP,FW,27-098,1998,2.0,80,2,12,33,36,6,79,4,0,0.0,2,50.0,51,327,127,2,3,0,4,0,56,10
ESP-La Liga,2025-26,Espanyol,Jofre,ESP,FW,24-075,2001,0.5,7,1,1,3,3,0,7,0,0,,0,,7,35,19,0,0,0,0,0,6,1
ESP-La Liga,2025-26,Espanyol,José Salinas,ESP,"FW,MF",24-335,2000,0.1,5,0,4,2,0,0,5,0,0,,0,,2,4,4,0,0,0,0,0,1,0
ESP-La Liga,2025-26,Espanyol,Kiké,ESP,FW,35-279,1989,0.7,24,0,2,11,11,3,24,3,2,66.7,1,33.3,12,40,0,0,0,0,4,3,16,2
ESP-La Liga,2025-26,Espanyol,Leandro Cabrera,URU,DF,34-075,1991,2.0,89,14,56,28,5,1,89,0,0,,0,,45,160,79,0,1,0,0,0,51,0
ESP-La Liga,2025-26,Espanyol,Marko Dmitrović,SRB,GK,33-219,1992,2.0,81,68,80,1,0,0,81,1,0,0.0,0,0.0,46,211,145,0,0,0,0,0,35,0
ESP-La Liga,2025-26,Espanyol,Miguel Ángel Rubio,ESP,DF,27-173,1998,1.3,52,11,29,22,2,2,52,1,1,100.0,0,0.0,26,110,46,0,0,0,0,0,26,0
ESP-La Liga,2025-26,Espanyol,Omar El Hilali,MAR,DF,21-353,2003,2.0,131,13,50,67,15,0,131,1,0,0.0,1,100.0,77,329,191,3,4,0,3,0,79,2
ESP-La Liga,2025-26,Espanyol,Pere Milla,ESP,MF,32-342,1992,1.0,50,1,5,26,20,3,50,1,0,0.0,1,100.0,27,178,110,3,1,0,3,0,28,4
ESP-La Liga,2025-26,Espanyol,Pol Lozano,ESP,MF,25-329,1999,1.8,85,5,14,59,13,0,85,1,0,0.0,1,100.0,43,216,105,1,1,0,1,2,52,0
ESP-La Liga,2025-26,Espanyol,Ramón Terrats,ESP,MF,24-317,2000,0.7,27,2,6,15,7,0,27,3,3,100.0,0,0.0,16,69,38,1,0,0,2,2,13,4
ESP-La Liga,2025-26,Espanyol,Roberto Férnandez,ESP,"FW,MF",23-059,2002,1.6,41,1,2,23,16,3,41,1,0,0.0,1,100.0,18,57,29,2,2,1,3,1,21,5
ESP-La Liga,2025-26,Espanyol,Tyrhys Dolan,ENG,FW,23-246,2001,1.4,49,1,3,17,30,6,49,6,4,66.7,2,33.3,35,360,206,11,3,3,4,4,38,13
ESP-La Liga,2025-26,Getafe,Adrián Liso,ESP,"FW,MF",20-151,2005,2.9,84,2,12,29,45,11,84,5,1,20.0,4,80.0,36,119,50,1,1,1,7,5,43,11
ESP-La Liga,2025-26,Getafe,Alex Sola,ESP,FW,26-083,1999,0.1,7,0,0,5,2,0,7,4,0,0.0,2,50.0,4,11,7,0,0,0,1,0,3,1
ESP-La Liga,2025-26,Getafe,Borja Mayoral,ESP,FW,28-148,1997,0.4,9,1,1,3,5,2,9,1,0,0.0,0,0.0,5,35,2,0,0,0,0,1,6,0
ESP-La Liga,2025-26,Getafe,Christantus Uche,NGA,FW,22-104,2003,3.0,102,2,9,26,69,15,102,16,6,37.5,9,56.3,52,247,83,4,2,1,21,8,68,15
ESP-La Liga,2025-26,Getafe,Coba da Costa,ESP,MF,23-036,2002,0.4,19,0,5,6,9,3,19,1,1,100.0,0,0.0,11,93,62,3,1,2,2,1,12,4
ESP-La Liga,2025-26,Getafe,David Soria,ESP,GK,32-149,1993,3.0,92,68,92,0,0,0,92,0,0,,0,,30,236,195,0,0,0,0,0,21,0
ESP-La Liga,2025-26,Getafe,Davinchi,ESP,DF,17-319,2007,2.6,135,5,43,58,36,2,135,6,4,66.7,2,33.3,40,172,38,0,0,0,3,1,55,5
ESP-La Liga,2025-26,Getafe,Diego Rico,ESP,DF,32-189,1993,3.0,125,9,53,62,12,0,125,1,0,0.0,1,100.0,50,193,90,1,1,0,4,0,64,1
ESP-La Liga,2025-26,Getafe,Djené,TOG,DF,33-243,1991,3.0,107,20,52,52,5,2,107,1,1,100.0,0,0.0,35,178,71,2,1,0,1,1,51,0
ESP-La Liga,2025-26,Getafe,Domingos Duarte,POR,DF,30-174,1995,2.0,65,10,34,30,1,0,65,0,0,,0,,15,83,49,0,0,0,0,0,28,0
ESP-La Liga,2025-26,Getafe,Iglesias,ESP,DF,27-059,1998,3.0,150,17,58,64,29,2,150,4,1,25.0,3,75.0,51,176,62,2,0,2,11,2,61,10
ESP-La Liga,2025-26,Getafe,Ismael Bekhoucha,MAR,DF,20-284,2004,1.0,30,1,10,14,6,0,30,3,1,33.3,1,33.3,9,52,20,1,0,0,2,2,11,0
ESP-La Liga,2025-26,Getafe,Luis Milla,ESP,MF,30-328,1994,3.0,143,6,25,88,32,1,143,2,2,100.0,0,0.0,54,300,171,4,1,1,1,1,72,3
ESP-La Liga,2025-26,Getafe,Mario Martín,ESP,MF,21-179,2004,2.6,110,9,27,53,32,5,110,6,4,66.7,1,16.7,59,367,167,6,3,1,6,4,71,9
ESP-La Liga,2025-26,Getafe,Mauro Arambarri,URU,MF,29-335,1995,3.0,97,6,18,49,32,7,97,10,4,40.0,5,50.0,46,263,112,1,3,0,2,5,48,3
ESP-La Liga,2025-26,Girona,Arnau Martinez,ESP,DF,22-128,2003,1.3,94,5,30,49,15,4,94,2,0,0.0,2,100.0,53,300,143,4,1,2,0,2,56,7
ESP-La Liga,2025-26,Girona,Axel Witsel,BEL,MF,36-231,1989,0.9,46,1,10,28,8,3,46,0,0,,0,,32,138,98,0,1,0,1,1,34,2
ESP-La Liga,2025-26,Girona,Bojan Miovski,MKD,FW,26-068,1999,0.5,4,0,0,2,2,1,4,1,0,0.0,1,100.0,0,0,0,0,0,0,0,0,0,0
ESP-La Liga,2025-26,Girona,Cristhian Stuani,URU,FW,38-323,1986,0.7,10,1,1,8,1,0,10,1,1,100.0,0,0.0,3,21,0,0,0,0,1,1,6,2
ESP-La Liga,2025-26,Girona,Daley Blind,NED,"DF,MF",35-175,1990,1.9,138,3,35,85,20,0,138,0,0,,0,,101,472,205,1,1,0,1,0,99,0
ESP-La Liga,2025-26,Girona,David López,ESP,DF,35-326,1989,2.2,186,22,93,91,2,1,186,1,1,100.0,0,0.0,128,869,613,4,0,0,1,0,129,0
ESP-La Liga,2025-26,Girona,Dawda Camara,MTN,FW,22-300,2002,0.8,21,0,0,10,11,5,21,0,0,,0,,9,11,1,0,0,0,2,0,8,1
ESP-La Liga,2025-26,Girona,Hugo Rincón,ESP,DF,22-216,2003,1.7,87,3,15,36,37,6,87,3,3,100.0,0,0.0,50,315,171,4,4,0,2,3,53,14
ESP-La Liga,2025-26,Girona,Iván Martín,ESP,MF,26-198,1999,1.2,84,2,14,57,13,0,84,1,0,0.0,1,100.0,59,409,177,3,3,0,2,2,60,4
ESP-La Liga,2025-26,Girona,Jhon Solis,COL,MF,20-332,2004,1.9,104,3,24,64,18,0,104,4,2,50.0,2,50.0,76,480,195,3,3,0,3,2,76,2
ESP-La Liga,2025-26,Girona,Joel Roca,ESP,"MF,FW",20-085,2005,3.0,129,4,13,58,63,11,129,26,8,30.8,17,65.4,95,818,325,10,6,2,12,10,89,25
ESP-La Liga,2025-26,Girona,Krapyvtsov Vladyslav,UKR,GK,20-067,2005,1.5,51,41,51,0,0,0,51,0,0,,0,,27,157,88,0,0,0,0,0,21,0
ESP-La Liga,2025-26,Girona,Ladislav Krejčí,CZE,DF,26-133,1999,2.0,119,13,63,53,3,1,119,0,0,,0,,82,374,209,0,1,0,1,0,87,0
ESP-La Liga,2025-26,Girona,Paulo Gazzaniga,ARG,GK,33-241,1992,1.5,54,44,54,0,0,0,54,1,0,0.0,1,100.0,40,140,87,0,0,0,0,0,39,0
ESP-La Liga,2025-26,Girona,Portu,ESP,"FW,MF",33-102,1992,1.1,36,0,2,5,29,6,36,1,0,0.0,1,100.0,17,41,21,1,2,0,2,2,20,8
ESP-La Liga,2025-26,Girona,Thomas Lemar,FRA,"MF,FW",29-292,1995,1.6,95,0,9,50,37,3,95,3,2,66.7,1,33.3,65,374,140,2,4,0,3,6,71,13
ESP-La Liga,2025-26,Girona,Viktor Tsyhankov,UKR,"MF,FW",27-289,1997,1.9,75,5,11,28,36,3,75,1,1,100.0,0,0.0,41,221,136,4,4,2,2,1,49,9
ESP-La Liga,2025-26,Girona,Vitor Reis,BRA,DF,19-231,2006,2.4,174,17,72,94,8,3,174,1,0,0.0,1,100.0,114,542,352,3,0,0,0,1,117,0
ESP-La Liga,2025-26,Girona,Yangel Herrera,VEN,MF,27-229,1998,1.2,61,6,18,29,14,0,61,2,1,50.0,1,50.0,41,160,75,2,3,0,2,0,41,3
ESP-La Liga,2025-26,Girona,Yaser Asprilla,COL,FW,21-285,2003,1.6,66,2,4,22,43,7,66,6,4,66.7,2,33.3,41,260,136,5,3,3,6,2,40,19
ESP-La Liga,2025-26,Girona,Álex Moreno,ESP,DF,32-084,1993,1.5,86,9,23,31,32,3,86,6,4,66.7,2,33.3,50,351,154,3,3,3,3,1,47,7
ESP-La Liga,2025-26,Levante,Adrián de la Fuente,ESP,DF,26-186,1999,3.0,154,23,77,61,18,1,154,0,0,,0,,76,272,154,3,3,0,1,0,89,3
ESP-La Liga,2025-26,Levante,Brugui,ESP,"MF,FW",28-300,1996,2.8,56,2,12,20,24,10,56,3,1,33.3,2,66.7,31,187,59,2,0,3,3,6,35,12
ESP-La Liga,2025-26,Levante,Carlos Espí,ESP,FW,20-038,2005,0.3,7,0,2,3,2,0,7,0,0,,0,,7,26,10,0,1,0,0,3,6,2
ESP-La Liga,2025-26,Levante,Carlos Álvarez,ESP,MF,22-025,2003,1.2,48,0,9,29,10,1,48,2,0,0.0,2,100.0,32,186,108,4,0,0,0,1,31,1
ESP-La Liga,2025-26,Levante,Diego Pampín,ESP,DF,25-169,2000,0.3,26,4,11,8,7,1,26,1,1,100.0,0,0.0,11,22,9,0,0,0,0,0,10,4
ESP-La Liga,2025-26,Levante,Iker Losada,ESP,MF,24-030,2001,0.3,12,0,4,5,3,0,12,1,1,100.0,0,0.0,7,13,3,0,0,0,0,0,6,0
ESP-La Liga,2025-26,Levante,Iván Romero,ESP,FW,24-143,2001,2.6,71,1,7,32,34,7,71,10,5,50.0,3,30.0,45,245,96,4,2,0,5,5,53,9
ESP-La Liga,2025-26,Levante,Jeremy Toljan,GER,DF,31-023,1994,2.7,106,5,41,42,23,5,106,1,0,0.0,0,0.0,36,87,40,0,0,0,3,0,44,6
ESP-La Liga,2025-26,Levante,Jorge Cabello,ESP,DF,21-128,2004,2.7,78,20,47,28,3,0,78,1,1,100.0,0,0.0,35,167,89,0,0,0,1,0,37,0
ESP-La Liga,2025-26,Levante,José Luis Morales,ESP,"MF,FW",38-039,1987,1.4,34,1,7,12,15,5,33,5,2,40.0,2,40.0,15,59,8,0,0,1,2,1,21,6
ESP-La Liga,2025-26,Levante,Manu Sánchez,ESP,DF,25-007,2000,2.6,89,6,32,40,17,2,89,3,0,0.0,2,66.7,34,231,147,6,3,0,0,1,37,8
ESP-La Liga,2025-26,Levante,Mathew Ryan,AUS,GK,33-145,1992,1.0,29,28,29,0,0,0,29,0,0,,0,,17,94,58,0,0,0,0,0,9,0
ESP-La Liga,2025-26,Levante,Matias Moreno,ARG,DF,21-341,2003,0.1,4,2,2,2,0,0,4,0,0,,0,,3,47,40,1,0,0,0,0,4,0
ESP-La Liga,2025-26,Levante,Olasagasti,ESP,"FW,MF",25-015,2000,0.3,18,0,2,9,7,0,18,0,0,,0,,10,33,18,0,0,0,1,0,15,1
ESP-La Liga,2025-26,Levante,Oriol Rey,ESP,MF,27-187,1998,3.0,92,10,40,45,10,1,92,0,0,,0,,36,155,74,3,2,0,5,0,35,1
ESP-La Liga,2025-26,Levante,Pablo Cuñat,ESP,GK,23-125,2002,2.0,76,66,75,1,0,0,76,0,0,,0,,35,239,174,0,0,0,0,0,15,0
ESP-La Liga,2025-26,Levante,Pablo Martínez,ESP,MF,27-190,1998,2.9,106,15,37,55,15,0,106,2,1,50.0,1,50.0,49,240,115,0,0,0,1,4,53,2
ESP-La Liga,2025-26,Levante,Sergio Lozano,ESP,MF,26-160,1999,0.1,12,1,6,3,3,0,12,2,0,0.0,2,100.0,5,7,4,0,0,0,0,0,6,1
ESP-La Liga,2025-26,Levante,Unai Elgezabal,ESP,DF,32-128,1993,3.0,117,35,81,33,3,2,117,0,0,,0,,40,141,93,0,0,0,1,0,51,0
ESP-La Liga,2025-26,Levante,Víctor García,ESP,"MF,DF",27-349,1997,0.9,40,0,5,18,17,1,40,3,1,33.3,2,66.7,21,148,72,2,3,1,4,2,19,3
ESP-La Liga,2025-26,Mallorca,Abdón Prats,ESP,FW,32-267,1992,0.3,3,0,0,1,2,0,3,1,1,100.0,0,0.0,2,8,4,0,1,0,0,2,2,0
ESP-La Liga,2025-26,Mallorca,Antonio Raillo,ESP,DF,33-327,1991,3.0,157,39,90,56,12,7,157,0,0,,0,,82,480,263,1,2,0,1,0,83,0
ESP-La Liga,2025-26,Mallorca,Antonio Sánchez,ESP,"MF,DF",28-242,1997,1.6,62,9,29,24,10,2,62,0,0,,0,,28,104,35,0,1,0,2,3,33,1
ESP-La Liga,2025-26,Mallorca,Dani Rodríguez,ESP,MF,37-086,1988,0.8,36,1,2,18,17,0,36,1,1,100.0,0,0.0,21,35,17,0,1,0,4,5,26,5
ESP-La Liga,2025-26,Mallorca,Jan Salas,ESP,MF,20-021,2005,0.2,14,3,5,6,3,1,14,1,1,100.0,0,0.0,8,44,30,0,0,0,0,1,8,0
ESP-La Liga,2025-26,Mallorca,Jan Virgili,ESP,MF,19-036,2006,0.0,5,0,0,3,2,0,5,1,0,0.0,1,100.0,3,13,6,0,0,0,0,0,3,0
ESP-La Liga,2025-26,Mallorca,Johan Mojica,COL,DF,33-010,1992,2.1,116,12,46,36,35,2,116,2,0,0.0,2,100.0,63,272,133,3,3,0,4,1,63,9
ESP-La Liga,2025-26,Mallorca,Leo Román,ESP,GK,25-056,2000,3.0,119,96,118,1,0,0,119,0,0,,0,,52,278,168,0,0,0,0,0,54,0
