league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
ESP-La Liga,2023-24,Betis,Claudio Bravo,CHI,GK,40,1983,7,7,630,7.0,5,0.71,20,16,75.0,3,4,0,2,28.6,0,0,0,0,
ESP-La Liga,2023-24,Betis,Fran Vieites,ESP,GK,24,1999,4,3,315,3.5,4,1.14,18,14,77.8,1,2,0,2,66.7,0,0,0,0,
ESP-La Liga,2023-24,Betis,Rui Silva,POR,GK,29,1994,28,28,2475,27.5,36,1.31,120,85,75.8,10,9,9,9,32.1,8,7,1,0,12.5
ESP-La Liga,2023-24,Celta Vigo,Iván Villar,ESP,GK,26,1997,12,12,1014,11.3,18,1.6,44,26,63.6,2,4,6,0,0.0,3,2,1,0,33.3
ESP-La Liga,2023-24,Celta Vigo,Vicente Guaita,ESP,GK,36,1987,27,26,2403,26.7,39,1.46,120,83,70.8,8,7,11,6,23.1,5,4,0,1,0.0
ESP-La Liga,2023-24,Cádiz,David Gil,ESP,GK,29,1994,5,4,372,4.1,8,1.94,24,17,66.7,0,3,1,1,25.0,0,0,0,0,
ESP-La Liga,2023-24,Cádiz,Jeremías Ledesma,ARG,GK,30,1993,34,34,3048,33.9,47,1.39,151,104,70.2,6,12,16,9,26.5,2,2,0,0,0.0
ESP-La Liga,2023-24,Getafe,Daniel Fuzato,BRA,GK,26,1997,1,0,7,0.1,2,25.71,2,0,0.0,0,0,0,0,,0,0,0,0,
ESP-La Liga,2023-24,Getafe,David Soria,ESP,GK,30,1993,38,38,3413,37.9,52,1.37,171,118,72.5,10,13,15,10,26.3,7,5,1,1,16.7
ESP-La Liga,2023-24,Girona,Paulo Gazzaniga,ARG,GK,31,1992,38,38,3420,38.0,46,1.21,168,121,75.6,25,6,7,12,31.6,7,5,1,1,16.7
ESP-La Liga,2023-24,Granada,André Ferreira,POR,GK,27,1996,15,14,1340,14.9,29,1.95,77,49,66.2,0,5,9,0,0.0,3,3,0,0,0.0
ESP-La Liga,2023-24,Granada,Augusto Batalla,ARG,GK,27,1996,17,17,1530,17.0,28,1.65,86,58,67.4,3,4,10,3,17.6,0,0,0,0,
ESP-La Liga,2023-24,Granada,Marc Martínez,ESP,GK,33,1990,3,3,270,3.0,11,3.67,23,12,60.9,0,0,3,0,0.0,2,2,0,0,0.0
ESP-La Liga,2023-24,Granada,Raúl Fernández,ESP,GK,35,1988,4,4,280,3.1,11,3.54,17,7,35.3,1,0,3,0,0.0,1,0,0,1,
ESP-La Liga,2023-24,Las Palmas,Aarón Escandell,ESP,GK,27,1995,2,1,153,1.7,3,1.76,4,1,25.0,0,0,1,0,0.0,0,0,0,0,
ESP-La Liga,2023-24,Las Palmas,Álvaro Vallés,ESP,GK,26,1997,37,37,3263,36.3,44,1.21,152,108,74.3,10,10,17,8,21.6,9,5,3,1,37.5
ESP-La Liga,2023-24,Mallorca,Dominik Greif,SVK,GK,26,1997,1,1,90,1.0,0,0.0,4,4,100.0,0,1,0,1,100.0,0,0,0,0,
ESP-La Liga,2023-24,Mallorca,Iván Cuéllar,ESP,GK,39,1984,1,1,90,1.0,1,1.0,6,5,83.3,1,0,0,0,0.0,0,0,0,0,
ESP-La Liga,2023-24,Mallorca,Predrag Rajković,SRB,GK,27,1995,36,36,3240,36.0,43,1.19,138,95,71.7,7,15,14,9,25.0,5,4,1,0,20.0
ESP-La Liga,2023-24,Osasuna,Aitor Fernández,ESP,GK,32,1991,7,6,551,6.1,9,1.47,20,11,60.0,0,2,4,1,16.7,1,1,0,0,0.0
ESP-La Liga,2023-24,Osasuna,Sergio Herrera,ESP,GK,30,1993,32,32,2869,31.9,47,1.47,132,84,64.4,12,7,13,9,28.1,1,0,1,0,100.0
ESP-La Liga,2023-24,Rayo Vallecano,Dani Cárdenas,ESP,GK,26,1997,1,1,90,1.0,1,1.0,1,0,0.0,0,0,1,0,0.0,0,0,0,0,
ESP-La Liga,2023-24,Rayo Vallecano,Stole Dimitrievski,MKD,GK,29,1993,37,37,3330,37.0,47,1.27,150,104,69.3,8,14,15,13,35.1,2,1,1,0,50.0
ESP-La Liga,2023-24,Real Madrid,Andriy Lunin,UKR,GK,24,1999,21,21,1890,21.0,17,0.81,65,48,75.4,16,5,0,10,47.6,1,1,0,0,0.0
ESP-La Liga,2023-24,Real Madrid,Kepa Arrizabalaga,ESP,GK,28,1994,14,13,1198,13.3,9,0.68,38,30,76.3,10,2,1,8,61.5,0,0,0,0,
ESP-La Liga,2023-24,Real Madrid,Thibaut Courtois,BEL,GK,31,1992,4,4,332,3.7,0,0.0,15,15,100.0,3,1,0,3,75.0,0,0,0,0,
ESP-La Liga,2023-24,Real Sociedad,Unai Marrero,ESP,GK,21,2001,2,1,142,1.6,3,1.9,5,2,60.0,0,0,1,0,0.0,1,1,0,0,0.0
ESP-La Liga,2023-24,Real Sociedad,Álex Remiro,ESP,GK,28,1995,37,37,3275,36.4,36,0.99,130,94,76.2,16,12,9,15,40.5,6,5,1,0,16.7
ESP-La Liga,2023-24,Sevilla,Marko Dmitrović,SRB,GK,31,1992,13,13,1170,13.0,25,1.92,68,44,66.2,2,2,9,2,15.4,2,2,0,0,0.0
ESP-La Liga,2023-24,Sevilla,Yassine Bounou,MAR,GK,32,1991,1,1,90,1.0,2,2.0,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
ESP-La Liga,2023-24,Sevilla,Ørjan Nyland,NOR,GK,32,1990,24,24,2160,24.0,27,1.13,104,78,76.9,8,9,7,6,25.0,3,3,0,0,0.0
ESP-La Liga,2023-24,Valencia,Cristian,ESP,GK,25,1998,1,0,57,0.6,1,1.58,3,2,66.7,0,0,0,0,,0,0,0,0,
ESP-La Liga,2023-24,Valencia,Giorgi Mamardashvili,GEO,GK,22,2000,37,37,3284,36.5,41,1.12,145,103,73.8,13,10,14,13,35.1,6,3,3,0,50.0
ESP-La Liga,2023-24,Valencia,Jaume Doménech,ESP,GK,32,1990,2,1,79,0.9,3,3.42,12,9,75.0,0,0,1,0,0.0,0,0,0,0,
ESP-La Liga,2023-24,Villarreal,Filip Jørgensen,DEN,GK,21,2002,36,36,3240,36.0,63,1.75,205,143,72.2,13,10,13,6,16.7,6,6,0,0,0.0
ESP-La Liga,2023-24,Villarreal,Pepe Reina,ESP,GK,40,1982,2,2,180,2.0,2,1.0,9,7,77.8,1,1,0,0,0.0,0,0,0,0,
FRA-Ligue 1,2023-24,Brest,Grégoire Coudert,FRA,GK,24,1999,3,2,181,2.0,0,0.0,4,4,100.0,2,0,0,2,100.0,0,0,0,0,
FRA-Ligue 1,2023-24,Brest,Marco Bizot,NED,GK,32,1991,32,32,2876,32.0,34,1.06,129,94,75.2,15,10,7,13,40.6,3,2,1,0,33.3
FRA-Ligue 1,2023-24,Clermont Foot,Massamba Ndiaye,SEN,GK,21,2001,4,4,360,4.0,6,1.5,24,18,79.2,1,2,1,0,0.0,1,1,0,0,0.0
FRA-Ligue 1,2023-24,Clermont Foot,Mory Diaw,SEN,GK,30,1993,30,30,2700,30.0,54,1.8,188,134,74.5,4,8,18,5,16.7,8,6,1,1,14.3
FRA-Ligue 1,2023-24,Le Havre,Arthur Desmas,FRA,GK,29,1994,33,33,2970,33.0,43,1.3,153,111,72.5,7,11,15,7,21.2,3,1,1,1,50.0
FRA-Ligue 1,2023-24,Le Havre,Mathieu Gorgelin,FRA,GK,32,1990,1,1,90,1.0,2,2.0,5,3,80.0,0,0,1,0,0.0,1,1,0,0,0.0
FRA-Ligue 1,2023-24,Lens,Brice Samba,FRA,GK,29,1994,33,33,2970,33.0,35,1.06,136,101,78.7,14,8,11,14,42.4,8,6,1,1,14.3
FRA-Ligue 1,2023-24,Lens,Jean-Louis Leca,FRA,GK,37,1985,1,1,90,1.0,2,2.0,2,0,0.0,0,1,0,0,0.0,0,0,0,0,
FRA-Ligue 1,2023-24,Lille,Lucas Chevalier,FRA,GK,21,2001,33,33,2969,33.0,32,0.97,123,91,76.4,16,10,7,15,45.5,5,3,2,0,40.0
FRA-Ligue 1,2023-24,Lille,Vito Mannone,ITA,GK,35,1988,2,1,91,1.0,2,1.98,5,3,60.0,0,1,0,0,0.0,0,0,0,0,
FRA-Ligue 1,2023-24,Lorient,Yvon Mvogo,SUI,GK,29,1994,34,34,3060,34.0,66,1.94,207,142,72.0,7,8,19,4,11.8,8,8,0,0,0.0
FRA-Ligue 1,2023-24,Lyon,Anthony Lopes,POR,GK,32,1990,31,31,2790,31.0,49,1.58,155,106,71.0,16,4,11,9,29.0,6,4,1,1,20.0
FRA-Ligue 1,2023-24,Lyon,Rémy Riou,FRA,GK,35,1987,3,3,270,3.0,6,2.0,14,8,57.1,0,1,2,1,33.3,0,0,0,0,
FRA-Ligue 1,2023-24,Marseille,Pau López,ESP,GK,28,1994,33,33,2939,32.7,39,1.19,124,86,71.0,13,11,9,7,21.2,3,3,0,0,0.0
FRA-Ligue 1,2023-24,Marseille,Rubén Blanco,ESP,GK,28,1995,2,1,121,1.3,2,1.49,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
FRA-Ligue 1,2023-24,Metz,Alexandre Oukidja,ALG,GK,35,1988,34,34,2987,33.2,57,1.72,185,128,72.4,8,5,21,6,17.6,6,6,0,0,0.0
FRA-Ligue 1,2023-24,Metz,Guillaume Dietsch,FRA,GK,22,2001,1,0,73,0.8,1,1.23,3,2,66.7,0,0,0,0,,0,0,0,0,
FRA-Ligue 1,2023-24,Monaco,Philipp Köhn,SUI,GK,25,1998,22,22,1980,22.0,32,1.45,97,65,72.2,11,5,6,5,22.7,6,5,1,0,16.7
FRA-Ligue 1,2023-24,Monaco,Radosław Majecki,POL,GK,23,1999,12,12,1080,12.0,10,0.83,54,45,81.5,9,2,1,7,58.3,0,0,0,0,
FRA-Ligue 1,2023-24,Montpellier,Benjamin Lecomte,FRA,GK,32,1991,30,30,2700,30.0,37,1.23,137,102,75.9,9,11,10,10,33.3,5,4,1,0,20.0
FRA-Ligue 1,2023-24,Montpellier,Dimitry Bertaud,COD,GK,25,1998,4,4,360,4.0,11,2.75,34,23,67.6,1,1,2,0,0.0,0,0,0,0,
FRA-Ligue 1,2023-24,Nantes,Alban Lafont,FRA,GK,24,1999,28,28,2496,27.7,43,1.55,118,75,70.3,7,4,17,7,25.0,8,8,0,0,0.0
FRA-Ligue 1,2023-24,Nantes,Denis Petrić,SRB,GK,35,1988,1,0,24,0.3,1,3.75,1,0,0.0,0,0,0,0,,0,0,0,0,
FRA-Ligue 1,2023-24,Nantes,Rémy Descamps,FRA,GK,27,1996,6,6,540,6.0,11,1.83,37,26,73.0,2,2,2,1,16.7,2,1,0,1,0.0
