league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
GER-Bundesliga,2023-24,Leverkusen,Matej Kovar,CZE,GK,23,2000,1,1,90,1.0,0,0.0,3,3,100.0,0,1,0,1,100.0,0,0,0,0,
GER-Bundesliga,2023-24,Mainz 05,Daniel Batz,GER,GK,32,1991,4,4,360,4.0,3,0.75,17,14,82.4,0,2,2,1,25.0,0,0,0,0,
GER-Bundesliga,2023-24,Mainz 05,Robin Zentner,GER,GK,28,1994,30,30,2700,30.0,48,1.6,128,81,64.8,7,12,11,7,23.3,4,3,0,1,0.0
GER-Bundesliga,2023-24,RB Leipzig,Janis Blaswich,GER,GK,32,1991,21,21,1890,21.0,30,1.43,76,46,65.8,10,4,7,5,23.8,4,4,0,0,0.0
GER-Bundesliga,2023-24,RB Leipzig,Péter Gulácsi,HUN,GK,33,1990,13,13,1170,13.0,9,0.69,41,33,78.0,9,4,0,5,38.5,1,0,0,1,
GER-Bundesliga,2023-24,Stuttgart,Alexander Nübel,GER,GK,26,1996,30,30,2700,30.0,36,1.2,107,74,69.2,20,3,7,11,36.7,3,3,0,0,0.0
GER-Bundesliga,2023-24,Stuttgart,Fabian Bredlow,GER,GK,28,1995,4,4,360,4.0,3,0.75,22,19,86.4,3,1,0,1,25.0,0,0,0,0,
GER-Bundesliga,2023-24,Union Berlin,Alexander Schwolow,GER,GK,31,1992,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
GER-Bundesliga,2023-24,Union Berlin,Frederik Rønnow,DEN,GK,30,1992,33,33,2970,33.0,56,1.7,162,105,68.5,9,6,18,7,21.2,7,5,2,0,28.6
GER-Bundesliga,2023-24,Werder Bremen,Jiří Pavlenka,CZE,GK,31,1992,7,7,630,7.0,17,2.43,38,21,60.5,2,0,5,1,14.3,2,2,0,0,0.0
GER-Bundesliga,2023-24,Werder Bremen,Michael Zetterer,GER,GK,28,1995,27,27,2430,27.0,37,1.37,128,92,74.2,9,9,9,6,22.2,4,4,0,0,0.0
GER-Bundesliga,2023-24,Wolfsburg,Koen Casteels,BEL,GK,31,1992,25,25,2250,25.0,39,1.56,115,78,67.8,8,6,11,4,16.0,3,2,0,1,0.0
GER-Bundesliga,2023-24,Wolfsburg,Pavao Pervan,AUT,GK,35,1987,9,9,810,9.0,17,1.89,36,20,52.8,2,1,6,2,22.2,0,0,0,0,
ITA-Serie A,2023-24,Atalanta,Francesco Rossi,ITA,GK,32,1991,1,0,5,0.1,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0,
ITA-Serie A,2023-24,Atalanta,Juan Musso,ARG,GK,29,1994,11,11,990,11.0,12,1.09,34,23,70.6,6,1,4,6,54.5,2,2,0,0,0.0
ITA-Serie A,2023-24,Atalanta,Marco Carnesecchi,ITA,GK,23,2000,27,27,2425,26.9,30,1.11,107,75,75.7,15,5,7,8,29.6,7,4,2,1,33.3
ITA-Serie A,2023-24,Bologna,Federico Ravaglia,ITA,GK,23,1999,6,6,535,5.9,3,0.5,18,13,83.3,4,1,1,4,66.7,1,0,1,0,100.0
ITA-Serie A,2023-24,Bologna,Nicola Bagnolini,ITA,GK,19,2004,1,0,5,0.1,0,0.0,1,1,100.0,0,0,0,0,,0,0,0,0,
ITA-Serie A,2023-24,Bologna,Łukasz Skorupski,POL,GK,32,1991,32,32,2880,32.0,29,0.91,106,77,75.5,14,13,5,13,40.6,6,3,1,2,25.0
ITA-Serie A,2023-24,Cagliari,Boris Radunović,SRB,GK,27,1996,7,7,630,7.0,12,1.71,27,16,55.6,0,2,5,2,28.6,1,0,0,1,
ITA-Serie A,2023-24,Cagliari,Simone Aresti,ITA,GK,37,1986,1,0,1,0.0,1,90.0,1,0,100.0,0,0,0,0,,1,1,0,0,0.0
ITA-Serie A,2023-24,Cagliari,Simone Scuffet,ITA,GK,27,1996,31,31,2789,31.0,55,1.77,129,76,59.7,8,10,13,3,9.7,3,3,0,0,0.0
ITA-Serie A,2023-24,Empoli,Elia Caprile,ITA,GK,21,2001,23,23,2070,23.0,27,1.17,106,78,78.3,6,6,11,5,21.7,5,4,1,0,20.0
ITA-Serie A,2023-24,Empoli,Etrit Berisha,ALB,GK,34,1989,14,14,1260,14.0,25,1.79,74,49,68.9,3,3,8,4,28.6,3,2,1,0,33.3
ITA-Serie A,2023-24,Empoli,Samuele Perisan,ITA,GK,25,1997,1,1,90,1.0,2,2.0,5,3,60.0,0,0,1,0,0.0,0,0,0,0,
ITA-Serie A,2023-24,Fiorentina,Oliver Christensen,DEN,GK,24,1999,4,4,360,4.0,9,2.25,19,10,63.2,1,1,2,0,0.0,2,2,0,0,0.0
ITA-Serie A,2023-24,Fiorentina,Pietro Terracciano,ITA,GK,33,1990,33,33,2970,33.0,35,1.06,126,90,77.0,15,8,10,8,24.2,7,6,1,0,14.3
ITA-Serie A,2023-24,Fiorentina,Tommaso Martinelli,ITA,GK,17,2006,1,1,90,1.0,2,2.0,3,1,33.3,1,0,0,0,0.0,0,0,0,0,
ITA-Serie A,2023-24,Frosinone,Michele Cerofolini,ITA,GK,24,1999,8,7,675,7.5,11,1.47,28,18,60.7,2,2,3,3,42.9,1,0,0,1,
ITA-Serie A,2023-24,Frosinone,Stefano Turati,ITA,GK,21,2001,31,31,2745,30.5,58,1.9,152,94,65.1,6,9,16,4,12.9,7,5,1,1,16.7
ITA-Serie A,2023-24,Genoa,Daniele Sommariva,ITA,GK,26,1997,1,0,5,0.1,0,0.0,0,0,,0,0,0,1,,0,0,0,0,
ITA-Serie A,2023-24,Genoa,Josep Martinez,ESP,GK,25,1998,36,36,3239,36.0,43,1.19,130,87,69.2,11,13,12,8,22.2,4,3,1,0,25.0
ITA-Serie A,2023-24,Genoa,Nicola Leali,ITA,GK,30,1993,3,2,176,2.0,2,1.02,9,7,77.8,1,0,1,0,0.0,0,0,0,0,
ITA-Serie A,2023-24,Hellas Verona,Lorenzo Montipò,ITA,GK,27,1996,37,37,3330,37.0,49,1.32,153,105,69.3,9,10,18,8,21.6,2,2,0,0,0.0
ITA-Serie A,2023-24,Hellas Verona,Simone Perilli,ITA,GK,28,1995,1,1,90,1.0,2,2.0,10,8,80.0,0,1,0,0,0.0,0,0,0,0,
ITA-Serie A,2023-24,Inter,Emil Audero,IDN,GK,26,1997,4,4,337,3.7,3,0.8,11,8,72.7,2,1,1,2,50.0,0,0,0,0,
ITA-Serie A,2023-24,Inter,Raffaele Di Gennaro,ITA,GK,29,1993,1,0,23,0.3,0,0.0,4,4,100.0,0,0,0,0,,0,0,0,0,
ITA-Serie A,2023-24,Inter,Yann Sommer,SUI,GK,34,1988,34,34,3060,34.0,19,0.56,98,78,82.7,27,6,1,19,55.9,4,2,1,1,33.3
ITA-Serie A,2023-24,Juventus,Carlo Pinsoglio,ITA,GK,33,1990,1,0,45,0.5,0,0.0,3,3,100.0,0,0,0,1,,0,0,0,0,
ITA-Serie A,2023-24,Juventus,Mattia Perin,ITA,GK,30,1992,3,3,225,2.5,1,0.4,5,4,80.0,2,1,0,1,33.3,0,0,0,0,
ITA-Serie A,2023-24,Juventus,Wojciech Szczęsny,POL,GK,33,1990,35,35,3150,35.0,30,0.86,108,79,74.1,17,13,5,15,42.9,3,2,1,0,33.3
ITA-Serie A,2023-24,Lazio,Christos Mandas,GRE,GK,21,2001,9,8,721,8.0,6,0.75,29,23,79.3,6,1,1,4,50.0,0,0,0,0,
ITA-Serie A,2023-24,Lazio,Ivan Provedel,ITA,GK,29,1994,30,30,2699,30.0,33,1.1,119,86,73.9,12,6,12,9,30.0,3,2,0,1,0.0
ITA-Serie A,2023-24,Lecce,Wladimiro Falcone,ITA,GK,28,1995,38,38,3420,38.0,54,1.42,173,119,71.7,8,14,16,7,18.4,6,5,1,0,16.7
ITA-Serie A,2023-24,Milan,Antonio Mirante,ITA,GK,40,1983,2,2,177,2.0,3,1.53,8,5,62.5,0,1,1,0,0.0,0,0,0,0,
ITA-Serie A,2023-24,Milan,Lapo Nava,ITA,GK,19,2004,1,0,3,0.0,1,30.0,2,1,50.0,0,0,0,0,,0,0,0,0,
ITA-Serie A,2023-24,Milan,Marco Sportiello,ITA,GK,31,1992,7,7,630,7.0,11,1.57,33,23,69.7,3,3,1,2,28.6,1,1,0,0,0.0
ITA-Serie A,2023-24,Milan,Mike Maignan,FRA,GK,28,1995,29,29,2609,29.0,34,1.17,120,86,77.5,19,5,5,10,34.5,7,7,0,0,0.0
ITA-Serie A,2023-24,Monza,Alessandro Sorrentino,ITA,GK,21,2002,7,5,548,6.1,16,2.63,32,16,62.5,0,1,4,0,0.0,4,4,0,0,0.0
ITA-Serie A,2023-24,Monza,Michele Di Gregorio,ITA,GK,26,1997,33,33,2872,31.9,35,1.1,159,122,79.9,11,11,11,12,36.4,5,3,2,0,40.0
ITA-Serie A,2023-24,Napoli,Alex Meret,ITA,GK,26,1997,31,31,2773,30.8,40,1.3,104,62,63.5,10,13,8,5,16.1,4,2,2,0,50.0
ITA-Serie A,2023-24,Napoli,Nikita Contini Baranovsky,ITA,GK,27,1996,1,0,17,0.2,0,0.0,0,0,,0,0,0,1,,0,0,0,0,
