league,season,team,player,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
ENG-Premier League,2024-25,Aston Villa,Lamare Bogarde,NED,"DF,MF",20,2004,5.3,272,239,31,14,0,0,0,17,0,0,0,0,240,2,1
ENG-Premier League,2024-25,Aston Villa,Leon Bailey,JAM,"FW,MF",26,1997,12.7,390,369,18,0,5,1,34,1,17,9,0,0,277,3,24
ENG-Premier League,2024-25,Aston Villa,Lucas Digne,FRA,DF,31,1993,26.1,1277,1017,258,44,2,4,140,155,57,37,10,0,956,2,41
ENG-Premier League,2024-25,Aston Villa,Marco Asensio,ESP,MF,28,1996,8.3,313,271,39,14,2,1,38,0,23,11,1,0,242,3,8
ENG-Premier League,2024-25,Aston Villa,Marcus Rashford,ENG,FW,26,1997,4.9,164,134,29,5,3,1,28,1,21,15,0,0,117,1,9
ENG-Premier League,2024-25,Aston Villa,Matty Cash,POL,DF,26,1997,23.0,945,781,162,23,0,1,40,139,0,0,0,0,732,2,21
ENG-Premier League,2024-25,Aston Villa,Morgan Rogers,ENG,"FW,MF",22,2002,34.6,907,853,47,2,22,6,27,9,0,0,0,0,664,7,45
ENG-Premier League,2024-25,Aston Villa,Ollie Watkins,ENG,FW,28,1995,28.9,424,415,6,0,1,1,7,0,0,0,0,0,307,3,17
ENG-Premier League,2024-25,Aston Villa,Pau Torres,ESP,DF,27,1997,22.4,1369,1248,117,67,4,12,3,3,0,0,0,0,1217,4,4
ENG-Premier League,2024-25,Aston Villa,Robin Olsen,SWE,GK,34,1990,2.5,101,65,36,10,0,0,0,0,0,0,0,0,65,0,0
ENG-Premier League,2024-25,Aston Villa,Ross Barkley,ENG,MF,30,1993,6.5,395,381,13,11,0,3,1,1,0,0,0,0,337,1,9
ENG-Premier League,2024-25,Aston Villa,Tyrone Mings,ENG,DF,31,1993,12.4,676,630,46,20,0,3,1,0,0,0,0,0,596,0,7
ENG-Premier League,2024-25,Aston Villa,Youri Tielemans,BEL,MF,27,1997,33.6,2061,1847,207,98,24,8,119,2,85,63,8,1,1694,7,37
ENG-Premier League,2024-25,Bournemouth,Adam Smith,ENG,DF,33,1991,17.7,679,550,128,9,1,2,33,119,0,0,0,0,514,1,15
ENG-Premier League,2024-25,Bournemouth,Alex Scott,ENG,MF,20,2003,8.4,342,317,23,10,2,4,7,1,5,3,0,0,286,2,6
ENG-Premier League,2024-25,Bournemouth,Antoine Semenyo,GHA,FW,24,2000,35.6,1119,1049,60,4,9,6,59,53,3,0,1,0,821,10,40
ENG-Premier League,2024-25,Bournemouth,Ben Winterburn,ENG,"MF,FW",19,2004,0.3,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
ENG-Premier League,2024-25,Bournemouth,Dango Ouattara,BFA,FW,22,2002,22.3,612,579,30,0,5,5,88,26,3,1,0,0,367,3,22
ENG-Premier League,2024-25,Bournemouth,Daniel Jebbison,CAN,FW,20,2003,1.3,42,42,0,0,0,0,3,0,0,0,0,0,33,0,1
ENG-Premier League,2024-25,Bournemouth,David Brooks,WAL,"FW,MF",27,1997,10.7,411,366,44,14,3,0,52,10,17,7,4,0,310,1,14
ENG-Premier League,2024-25,Bournemouth,Dean Huijsen,ESP,DF,19,2005,27.0,1625,1566,53,32,2,15,12,6,0,0,0,0,1355,6,12
ENG-Premier League,2024-25,Bournemouth,Enes Ünal,TUR,"FW,MF",27,1997,3.8,99,96,2,1,1,1,4,0,0,0,0,0,63,1,6
ENG-Premier League,2024-25,Bournemouth,Evanilson,BRA,FW,24,1999,25.8,342,337,4,1,4,4,0,0,0,0,0,0,244,1,11
ENG-Premier League,2024-25,Bournemouth,Illia Zabarnyi,UKR,DF,21,2002,34.5,1710,1677,31,27,6,7,6,1,0,0,0,0,1404,2,10
ENG-Premier League,2024-25,Bournemouth,James Hill,ENG,DF,22,2002,5.0,245,212,33,3,0,0,10,30,0,0,0,0,159,0,5
ENG-Premier League,2024-25,Bournemouth,Julian Araujo,MEX,DF,22,2001,5.5,225,198,27,2,0,0,9,25,0,0,0,0,178,0,2
ENG-Premier League,2024-25,Bournemouth,Julio Soler,ARG,"DF,FW",19,2005,0.1,14,14,0,0,0,0,1,0,0,0,0,0,11,0,1
ENG-Premier League,2024-25,Bournemouth,Justin Kluivert,NED,MF,25,1999,26.0,782,683,92,8,5,6,85,10,35,30,0,0,582,7,18
ENG-Premier League,2024-25,Bournemouth,Kepa Arrizabalaga,ESP,GK,29,1994,31.0,1027,728,295,103,0,0,0,0,0,0,0,0,752,4,2
ENG-Premier League,2024-25,Bournemouth,Lewis Cook,ENG,"MF,DF",27,1997,33.1,1585,1358,225,71,3,2,132,73,77,65,3,0,1224,2,26
ENG-Premier League,2024-25,Bournemouth,Luis Sinisterra,COL,"FW,MF",25,1999,2.6,93,92,0,0,0,1,7,0,0,0,0,0,73,1,4
ENG-Premier League,2024-25,Bournemouth,Marcos Senesi,ARG,DF,27,1997,12.3,735,699,31,23,0,2,11,6,0,0,0,0,561,5,1
ENG-Premier League,2024-25,Bournemouth,Marcus Tavernier,ENG,"FW,MF",25,1999,21.5,934,804,125,34,5,9,108,29,49,36,4,1,689,5,26
ENG-Premier League,2024-25,Bournemouth,Mark Travers,IRL,GK,25,1999,5.0,142,95,47,8,0,0,0,0,0,0,0,0,100,0,0
ENG-Premier League,2024-25,Bournemouth,Max Aarons,ENG,DF,24,2000,1.0,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1
ENG-Premier League,2024-25,Bournemouth,Milos Kerkez,HUN,DF,20,2003,37.1,1776,1466,305,18,2,3,142,279,7,5,1,0,1346,5,55
ENG-Premier League,2024-25,Bournemouth,Neto,BRA,GK,35,1989,2.0,62,42,19,4,0,0,0,0,0,0,0,0,40,1,0
ENG-Premier League,2024-25,Bournemouth,Philip Billing,DEN,MF,28,1996,2.0,102,91,10,1,1,1,10,1,6,2,2,1,70,1,2
ENG-Premier League,2024-25,Bournemouth,Remy Rees-Dottin,ENG,FW,18,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2024-25,Bournemouth,Ryan Christie,SCO,MF,29,1995,23.5,1056,990,60,21,8,9,48,3,26,17,3,2,837,6,19
ENG-Premier League,2024-25,Bournemouth,Tyler Adams,USA,MF,25,1999,21.8,1069,1025,38,34,2,1,3,4,0,0,0,0,902,6,14
ENG-Premier League,2024-25,Bournemouth,Zain Silcott-Duberry,MSR,FW,19,2005,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
ENG-Premier League,2024-25,Brentford,Ben Mee,ENG,DF,34,1989,2.0,120,108,12,5,0,1,0,4,0,0,0,0,93,0,1
ENG-Premier League,2024-25,Brentford,Bryan Mbeumo,CMR,FW,24,1999,37.9,1319,1162,149,40,13,9,202,17,87,70,2,0,872,8,50
ENG-Premier League,2024-25,Brentford,Christian Nørgaard,DEN,MF,30,1994,31.3,1427,1391,30,19,4,5,17,10,0,0,0,0,1164,6,25
ENG-Premier League,2024-25,Brentford,Edmond-Paris Maghoma,ENG,"MF,FW",23,2001,1.3,84,83,1,1,0,0,3,0,0,0,0,0,76,0,2
ENG-Premier League,2024-25,Brentford,Ethan Pinnock,JAM,DF,31,1993,21.3,1080,954,126,15,0,0,9,39,0,0,0,0,924,0,8
ENG-Premier League,2024-25,Brentford,Fabio Carvalho,POR,"FW,MF",21,2002,5.1,178,163,14,4,2,0,10,1,7,3,0,0,126,1,7
ENG-Premier League,2024-25,Brentford,Frank Onyeka,NGA,MF,26,1998,0.3,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
ENG-Premier League,2024-25,Brentford,Gustavo Nunes,BRA,"FW,MF",18,2005,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ENG-Premier League,2024-25,Brentford,Hákon Rafn Valdimarsson,ISL,GK,22,2001,1.6,70,50,20,4,0,0,0,0,0,0,0,0,46,0,0
ENG-Premier League,2024-25,Brentford,Jayden Meghoma,ENG,DF,18,2006,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
ENG-Premier League,2024-25,Brentford,Keane Lewis-Potter,ENG,"DF,FW",23,2001,34.4,1273,1112,153,8,5,9,78,139,5,2,0,0,982,8,29
ENG-Premier League,2024-25,Brentford,Kevin Schade,GER,FW,22,2001,25.5,541,483,57,0,1,4,38,54,0,0,0,0,323,1,20
ENG-Premier League,2024-25,Brentford,Kim Jisoo,KOR,DF,19,2004,0.3,28,27,1,1,0,0,0,0,0,0,0,0,25,0,0
ENG-Premier League,2024-25,Brentford,Kristoffer Ajer,NOR,DF,26,1998,16.0,644,570,73,2,0,3,14,71,0,0,0,0,504,1,18
ENG-Premier League,2024-25,Brentford,Mads Roerslev,DEN,DF,25,1999,12.2,536,471,63,2,0,1,31,61,0,0,0,0,422,2,11
ENG-Premier League,2024-25,Brentford,Mark Flekken,NED,GK,31,1993,36.4,1717,1367,343,131,0,5,0,0,0,0,0,0,1254,7,0
ENG-Premier League,2024-25,Brentford,Mathias Jensen,DEN,MF,28,1996,9.6,486,404,78,15,2,5,33,44,14,11,0,0,363,4,7
ENG-Premier League,2024-25,Brentford,Michael Kayode,ITA,DF,20,2004,5.9,241,183,58,0,0,0,10,58,0,0,0,0,184,0,3
ENG-Premier League,2024-25,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24,2000,32.3,1529,1368,153,33,27,5,144,9,60,53,0,0,1107,8,36
ENG-Premier League,2024-25,Brentford,Nathan Collins,IRL,DF,23,2001,38.0,1985,1897,83,69,3,6,8,11,0,0,0,0,1705,5,8
ENG-Premier League,2024-25,Brentford,Rico Henry,ENG,DF,27,1997,1.1,49,39,10,0,0,0,2,10,0,0,0,0,33,0,3
ENG-Premier League,2024-25,Brentford,Ryan Trevitt,ENG,MF,21,2003,0.0,7,6,0,0,0,0,0,0,0,0,0,0,4,1,1
ENG-Premier League,2024-25,Brentford,Sepp van den Berg,NED,DF,22,2001,28.7,1278,1177,100,18,0,2,7,61,0,0,0,0,1092,1,7
ENG-Premier League,2024-25,Brentford,Thiago,BRA,"FW,MF",23,2001,1.9,56,55,1,0,0,0,2,0,0,0,0,0,40,0,0
ENG-Premier League,2024-25,Brentford,Vitaly Janelt,GER,MF,26,1998,25.0,1057,1033,18,12,3,6,30,6,0,0,0,0,872,6,16
ENG-Premier League,2024-25,Brentford,Yehor Yarmoliuk,UKR,MF,20,2004,16.1,760,752,7,3,4,9,16,4,0,0,0,0,661,1,12
ENG-Premier League,2024-25,Brentford,Yoane Wissa,COD,FW,27,1996,32.4,588,552,33,4,5,1,20,2,1,0,0,0,450,3,23
ENG-Premier League,2024-25,Brentford,Yunus Emre Konak,TUR,"FW,MF",18,2006,0.5,36,35,1,0,0,0,0,1,0,0,0,0,26,0,1
ENG-Premier League,2024-25,Brighton,Adam Webster,ENG,DF,29,1995,9.9,725,650,73,30,0,3,2,0,0,0,0,0,636,2,5
ENG-Premier League,2024-25,Brighton,Bart Verbruggen,NED,GK,21,2002,36.0,1315,1164,145,62,0,0,0,0,0,0,0,0,1011,6,2
ENG-Premier League,2024-25,Brighton,Billy Gilmour,SCO,MF,23,2001,1.1,67,65,2,1,1,2,1,0,1,1,0,0,58,0,0
ENG-Premier League,2024-25,Brighton,Brajan Gruda,GER,"MF,FW",20,2004,7.6,251,211,40,7,2,2,29,10,17,8,7,1,187,0,3
ENG-Premier League,2024-25,Brighton,Carlos Baleba,CMR,MF,20,2004,29.6,1314,1289,23,10,7,3,9,3,0,0,0,0,1149,2,14
ENG-Premier League,2024-25,Brighton,Danny Welbeck,ENG,FW,33,1990,23.5,491,472,18,2,0,0,3,2,0,0,0,0,417,1,13
ENG-Premier League,2024-25,Brighton,Diego Gómez,PAR,MF,21,2003,5.7,302,283,19,2,4,2,12,1,6,2,3,0,243,0,9
ENG-Premier League,2024-25,Brighton,Eiran Cashin,IRL,DF,22,2001,0.2,28,28,0,0,0,0,1,0,0,0,0,0,23,0,0
ENG-Premier League,2024-25,Brighton,Evan Ferguson,IRL,FW,19,2004,2.7,58,52,5,0,0,0,0,0,0,0,0,0,43,1,1
ENG-Premier League,2024-25,Brighton,Ferdi Kadioglu,TUR,"DF,MF",24,1999,4.3,175,157,17,2,1,0,9,15,0,0,0,0,144,1,1
ENG-Premier League,2024-25,Brighton,Georginio Rutter,FRA,"MF,FW",22,2002,18.4,355,344,9,0,12,0,9,0,0,0,0,0,237,2,14
ENG-Premier League,2024-25,Brighton,Harry Howell,ENG,FW,15,2008,0.1,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0
ENG-Premier League,2024-25,Brighton,Igor,BRA,DF,26,1998,10.7,730,680,48,12,3,4,4,11,0,0,0,0,671,2,5
ENG-Premier League,2024-25,Brighton,Jack Hinshelwood,ENG,"MF,DF",19,2005,20.5,1046,927,118,27,0,8,27,75,8,4,1,1,870,1,11
ENG-Premier League,2024-25,Brighton,Jakub Moder,POL,MF,25,1999,0.1,22,22,0,0,0,0,1,0,0,0,0,0,18,0,0
ENG-Premier League,2024-25,Brighton,James Milner,ENG,MF,38,1986,1.9,74,63,11,4,2,0,8,0,6,2,3,0,55,0,1
ENG-Premier League,2024-25,Brighton,Jan Paul van Hecke,NED,DF,24,2000,32.9,2286,2146,138,104,4,19,11,8,0,0,0,0,2016,2,7
ENG-Premier League,2024-25,Brighton,Jason Steele,ENG,GK,33,1990,2.0,112,104,8,6,0,0,0,0,0,0,0,0,101,0,0
ENG-Premier League,2024-25,Brighton,Jeremy Sarmiento,ECU,MF,22,2002,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
ENG-Premier League,2024-25,Brighton,João Pedro,BRA,"FW,MF",22,2001,21.6,661,631,26,5,10,3,22,9,4,0,0,0,482,4,20
ENG-Premier League,2024-25,Brighton,Joël Veltman,NED,DF,32,1992,18.9,929,756,170,42,2,3,24,128,0,0,0,0,745,3,21
ENG-Premier League,2024-25,Brighton,Julio Enciso,PAR,"MF,FW",20,2004,3.3,150,134,16,4,0,1,20,0,12,6,3,0,99,0,5
ENG-Premier League,2024-25,Brighton,Kaoru Mitoma,JPN,"FW,MF",27,1997,28.9,988,965,19,0,9,1,75,19,0,0,0,0,749,4,39
ENG-Premier League,2024-25,Brighton,Lewis Dunk,ENG,DF,32,1991,23.1,1953,1818,131,67,2,10,5,10,0,0,0,0,1778,4,7
ENG-Premier League,2024-25,Brighton,Mats Wieffer,NED,"DF,MF",24,1999,11.3,698,647,49,13,0,1,13,36,0,0,0,0,594,2,14
ENG-Premier League,2024-25,Brighton,Matt O'Riley,DEN,MF,23,2000,10.4,413,345,67,13,2,2,51,1,36,23,8,0,316,1,15
ENG-Premier League,2024-25,Brighton,Pervis Estupiñán,ECU,DF,26,1998,26.7,1610,1370,237,20,0,5,119,180,37,23,9,3,1338,3,28
ENG-Premier League,2024-25,Brighton,Simon Adingra,CIV,"FW,MF",22,2002,12.2,382,372,9,0,2,0,41,8,1,0,0,0,290,1,12
ENG-Premier League,2024-25,Brighton,Solly March,ENG,"FW,MF",30,1994,1.9,95,81,14,1,0,1,20,6,6,3,2,1,60,0,7
ENG-Premier League,2024-25,Brighton,Tariq Lamptey,GHA,DF,23,2000,9.6,413,346,66,5,0,1,28,60,1,1,0,0,335,1,6
ENG-Premier League,2024-25,Brighton,Yankuba Minteh,GAM,"FW,MF",20,2004,20.4,557,510,45,9,4,4,91,20,16,7,6,0,348,2,36
ENG-Premier League,2024-25,Brighton,Yasin Ayari,SWE,MF,20,2003,21.8,973,880,92,34,10,1,69,3,37,27,6,1,793,1,14
ENG-Premier League,2024-25,Chelsea,Axel Disasi,FRA,DF,26,1998,4.0,293,266,27,10,0,1,0,17,0,0,0,0,266,0,2
ENG-Premier League,2024-25,Chelsea,Benoît Badiashile,FRA,DF,23,2001,3.7,304,288,15,5,0,1,0,0,0,0,0,0,273,1,0
ENG-Premier League,2024-25,Chelsea,Christopher Nkunku,FRA,FW,26,1997,10.2,334,327,7,1,2,1,4,0,2,0,0,0,299,0,3
ENG-Premier League,2024-25,Chelsea,Cole Palmer,ENG,"MF,FW",22,2002,35.5,1480,1273,198,45,22,14,144,17,75,49,5,0,1140,9,48
ENG-Premier League,2024-25,Chelsea,Enzo Fernández,ARG,MF,23,2001,32.7,1900,1757,134,53,14,26,109,4,74,44,12,1,1518,9,46
ENG-Premier League,2024-25,Chelsea,Filip Jørgensen,DEN,GK,22,2002,6.0,189,169,20,2,0,0,0,0,0,0,0,0,158,0,0
ENG-Premier League,2024-25,Chelsea,Jadon Sancho,ENG,FW,24,2000,19.6,803,791,11,1,7,1,25,9,1,1,0,0,663,1,24
ENG-Premier League,2024-25,Chelsea,Joshua Acheampong,ENG,DF,18,2006,1.9,124,121,3,2,0,0,0,1,0,0,0,0,104,0,2
ENG-Premier League,2024-25,Chelsea,João Félix,POR,"FW,MF",24,1999,4.1,199,193,5,2,2,1,0,3,0,0,0,0,171,1,5
ENG-Premier League,2024-25,Chelsea,Kiernan Dewsbury-Hall,ENG,"MF,FW",25,1998,2.9,152,147,4,1,0,1,2,0,2,0,0,1,127,1,2
ENG-Premier League,2024-25,Chelsea,Levi Colwill,ENG,DF,21,2003,35.0,2619,2418,197,91,3,7,13,7,0,0,0,0,2338,4,21
ENG-Premier League,2024-25,Chelsea,Malo Gusto,FRA,DF,21,2003,20.7,1385,1230,153,37,2,3,53,116,0,0,0,0,1198,2,26
ENG-Premier League,2024-25,Chelsea,Marc Cucurella,ESP,DF,26,1998,33.2,1916,1634,275,28,2,1,31,245,2,0,0,0,1680,7,23
ENG-Premier League,2024-25,Chelsea,Marc Guiu,ESP,FW,18,2006,0.8,16,14,2,0,0,0,0,0,0,0,0,0,11,0,0
ENG-Premier League,2024-25,Chelsea,Mathis Amougou,FRA,MF,18,2006,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0
ENG-Premier League,2024-25,Chelsea,Moisés Caicedo,ECU,"MF,DF",22,2001,37.2,2194,2116,74,47,12,13,10,27,0,0,0,0,1967,4,20
ENG-Premier League,2024-25,Chelsea,Mykhailo Mudryk,UKR,FW,23,2001,1.7,42,40,2,0,1,0,7,0,2,0,0,0,28,0,1
ENG-Premier League,2024-25,Chelsea,Nicolas Jackson,SEN,FW,23,2001,24.7,399,385,12,1,1,0,3,4,0,0,0,0,303,2,15
ENG-Premier League,2024-25,Chelsea,Noni Madueke,ENG,FW,22,2002,22.6,685,660,20,1,1,4,63,18,1,0,0,0,530,5,15
ENG-Premier League,2024-25,Chelsea,Pedro Neto,POR,FW,24,2000,25.2,895,807,86,14,0,5,149,13,56,16,15,5,702,2,26
ENG-Premier League,2024-25,Chelsea,Reece James,ENG,"DF,MF",24,1999,11.8,854,731,119,36,4,2,43,64,19,11,5,1,717,4,10
ENG-Premier League,2024-25,Chelsea,Renato Veiga,POR,"DF,MF",21,2003,2.0,139,127,12,5,0,0,0,7,0,0,0,0,118,0,1
ENG-Premier League,2024-25,Chelsea,Robert Sánchez,ESP,GK,26,1997,32.0,1249,1086,156,74,0,6,0,0,0,0,0,0,871,7,1
ENG-Premier League,2024-25,Chelsea,Roméo Lavia,BEL,MF,20,2004,8.9,424,419,3,3,3,3,0,0,0,0,0,0,389,2,1
ENG-Premier League,2024-25,Chelsea,Shumaira Mheuka,ENG,MF,16,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2024-25,Chelsea,Tosin Adarabioyo,ENG,DF,26,1997,15.7,1184,1142,39,23,2,3,0,4,0,0,0,0,1079,3,3
ENG-Premier League,2024-25,Chelsea,Trevoh Chalobah,ENG,DF,25,1999,10.1,677,654,23,11,1,2,3,10,0,0,0,0,609,0,3
ENG-Premier League,2024-25,Chelsea,Tyrique George,ENG,FW,18,2006,2.0,54,53,1,0,0,0,3,1,0,0,0,0,43,0,2
ENG-Premier League,2024-25,Chelsea,Wesley Fofana,FRA,DF,23,2000,13.0,803,758,44,23,0,0,1,20,0,0,0,0,724,1,4
ENG-Premier League,2024-25,Crystal Palace,Adam Wharton,ENG,MF,20,2004,14.6,725,678,40,14,5,1,39,0,26,19,1,0,548,7,12
ENG-Premier League,2024-25,Crystal Palace,Asher Agbinone,ENG,MF,18,2005,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0
ENG-Premier League,2024-25,Crystal Palace,Ben Chilwell,ENG,DF,27,1996,2.9,125,95,30,6,1,0,7,24,0,0,0,0,92,0,4
ENG-Premier League,2024-25,Crystal Palace,Caleb Kporha,ENG,DF,18,2006,0.1,7,6,1,0,0,0,2,1,0,0,0,0,5,0,0
ENG-Premier League,2024-25,Crystal Palace,Chadi Riad,MAR,DF,21,2003,1.0,82,82,0,0,0,1,0,0,0,0,0,0,70,0,2
ENG-Premier League,2024-25,Crystal Palace,Cheick Doucouré,MLI,MF,24,2000,5.0,204,201,3,3,0,0,1,0,0,0,0,0,174,0,4
ENG-Premier League,2024-25,Crystal Palace,Chris Richards,USA,DF,24,2000,21.4,857,818,37,18,2,5,5,17,0,0,0,0,684,2,13
