league,season,team,player,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
ENG-Premier League,2025-26,Arsenal,Ben White,ENG,DF,27-327,1997,0.8,27,22,5,0,0,0,1,5,0,0,0,0,21,0,0
ENG-Premier League,2025-26,Arsenal,Bukayo Saka,ENG,FW,23-360,2001,1.6,40,35,5,0,0,0,7,2,3,2,0,0,33,0,0
ENG-Premier League,2025-26,Arsenal,Cristhian Mosquera,ESP,DF,21-065,2004,0.3,14,10,4,0,0,0,0,4,0,0,0,0,13,0,0
ENG-Premier League,2025-26,Arsenal,David Raya,ESP,GK,29-350,1995,2.0,69,56,13,4,0,0,0,0,0,0,0,0,51,0,0
ENG-Premier League,2025-26,Arsenal,Declan Rice,ENG,MF,26-229,1999,1.9,96,88,8,5,0,1,6,0,3,3,0,0,86,0,0
ENG-Premier League,2025-26,Arsenal,Ethan Nwaneri,ENG,MF,18-163,2007,0.6,27,25,2,1,0,0,1,0,0,0,0,0,26,0,0
ENG-Premier League,2025-26,Arsenal,Gabriel Magalhães,BRA,DF,27-255,1997,2.0,130,126,4,2,0,0,0,0,0,0,0,0,113,0,1
ENG-Premier League,2025-26,Arsenal,Gabriel Martinelli,BRA,FW,24-074,2001,0.7,6,5,0,0,0,1,0,0,0,0,0,0,3,1,0
ENG-Premier League,2025-26,Arsenal,Jurriën Timber,NED,DF,24-075,2001,0.9,50,40,10,0,2,1,0,10,0,0,0,0,41,0,0
ENG-Premier League,2025-26,Arsenal,Kai Havertz,GER,FW,26-081,1999,0.3,9,9,0,0,0,0,0,0,0,0,0,0,5,0,0
ENG-Premier League,2025-26,Arsenal,Leandro Trossard,BEL,FW,30-270,1994,0.4,12,12,0,0,1,1,2,0,0,0,0,0,8,0,2
ENG-Premier League,2025-26,Arsenal,Martin Ødegaard,NOR,MF,26-257,1998,1.4,69,65,3,1,2,0,2,1,0,0,0,0,52,1,3
ENG-Premier League,2025-26,Arsenal,Martín Zubimendi,ESP,MF,26-210,1999,2.0,126,123,3,3,0,0,0,0,0,0,0,0,111,0,0
ENG-Premier League,2025-26,Arsenal,Max Dowman,ENG,FW,15-243,2009,0.3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
ENG-Premier League,2025-26,Arsenal,Mikel Merino,ESP,MF,29-070,1996,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
ENG-Premier League,2025-26,Arsenal,Myles Lewis-Skelly,ENG,DF,18-339,2006,0.5,26,22,4,1,0,0,0,3,0,0,0,0,24,0,1
ENG-Premier League,2025-26,Arsenal,Noni Madueke,ENG,FW,23-174,2002,1.0,37,36,1,0,0,0,5,1,0,0,0,0,28,0,1
ENG-Premier League,2025-26,Arsenal,Riccardo Calafiori,ITA,DF,23-104,2002,1.5,65,47,18,1,0,0,4,17,0,0,0,0,53,0,1
ENG-Premier League,2025-26,Arsenal,Viktor Gyökeres,SWE,FW,27-088,1998,1.7,20,20,0,0,0,0,2,0,0,0,0,0,9,0,0
ENG-Premier League,2025-26,Arsenal,William Saliba,FRA,DF,24-160,2001,2.0,149,147,2,2,0,0,0,0,0,0,0,0,140,0,1
ENG-Premier League,2025-26,Aston Villa,Amadou Onana,BEL,MF,24-015,2001,1.7,72,70,2,2,0,0,0,0,0,0,0,0,61,0,1
ENG-Premier League,2025-26,Aston Villa,Boubacar Kamara,FRA,"MF,DF",25-281,1999,1.2,45,43,2,1,0,0,0,0,1,0,0,0,38,0,1
ENG-Premier League,2025-26,Aston Villa,Donyell Malen,NED,"FW,MF",26-234,1999,0.4,12,12,0,0,0,0,0,0,0,0,0,0,11,0,0
ENG-Premier League,2025-26,Aston Villa,Emi Buendía,ARG,MF,28-249,1996,0.7,11,10,1,0,0,0,0,0,0,0,0,0,10,0,1
ENG-Premier League,2025-26,Aston Villa,Emiliano Martínez,ARG,GK,32-363,1992,1.0,38,34,4,1,0,0,0,0,0,0,0,0,36,0,0
ENG-Premier League,2025-26,Aston Villa,Evann Guessand,CIV,MF,24-061,2001,0.2,8,8,0,0,0,0,2,0,0,0,0,0,6,0,1
ENG-Premier League,2025-26,Aston Villa,Ezri Konsa,ENG,DF,27-312,1997,0.7,33,32,1,1,0,0,0,0,0,0,0,0,30,0,0
ENG-Premier League,2025-26,Aston Villa,Ian Maatsen,NED,DF,23-174,2002,0.3,21,19,2,0,0,0,3,2,0,0,0,0,17,0,1
ENG-Premier League,2025-26,Aston Villa,John McGinn,SCO,"FW,MF",30-317,1994,1.7,58,57,1,0,0,1,8,0,1,1,0,0,42,0,0
ENG-Premier League,2025-26,Aston Villa,Lamare Bogarde,NED,MF,21-238,2004,0.2,20,20,0,0,0,0,0,0,0,0,0,0,17,0,0
ENG-Premier League,2025-26,Aston Villa,Lucas Digne,FRA,DF,32-042,1993,1.7,83,61,22,0,0,0,6,20,2,1,0,0,56,0,8
ENG-Premier League,2025-26,Aston Villa,Marco Bizot,NED,GK,34-174,1991,1.0,45,31,14,3,0,0,0,0,0,0,0,0,24,0,0
ENG-Premier League,2025-26,Aston Villa,Matty Cash,POL,DF,28-024,1997,2.0,108,83,25,1,0,1,11,17,7,5,0,0,82,0,3
ENG-Premier League,2025-26,Aston Villa,Morgan Rogers,ENG,"FW,MF",23-036,2002,2.0,49,49,0,0,4,1,1,0,0,0,0,0,30,0,3
ENG-Premier League,2025-26,Aston Villa,Ollie Watkins,ENG,FW,29-244,1995,2.0,34,34,0,0,0,0,1,0,0,0,0,0,25,0,2
ENG-Premier League,2025-26,Aston Villa,Pau Torres,ESP,DF,28-227,1997,1.0,105,96,9,3,0,0,0,0,0,0,0,0,94,0,1
ENG-Premier League,2025-26,Aston Villa,Tyrone Mings,ENG,DF,32-171,1993,2.0,127,111,15,9,1,0,0,2,0,0,0,0,112,1,0
ENG-Premier League,2025-26,Aston Villa,Youri Tielemans,BEL,MF,28-116,1997,2.0,118,111,6,3,3,0,6,0,1,0,0,0,92,1,1
ENG-Premier League,2025-26,Bournemouth,Adam Smith,ENG,DF,34-124,1991,2.3,87,71,16,4,0,0,2,12,0,0,0,0,69,0,1
ENG-Premier League,2025-26,Bournemouth,Adrien Truffert,FRA,DF,23-284,2001,3.0,125,103,22,2,0,0,15,20,0,0,0,0,93,0,5
ENG-Premier League,2025-26,Bournemouth,Alex Scott,ENG,MF,22-010,2003,2.2,82,66,16,3,0,0,10,0,9,8,0,0,64,0,1
ENG-Premier League,2025-26,Bournemouth,Amine Adli,MAR,"FW,MF",25-113,2000,0.6,27,26,1,0,1,1,2,1,0,0,0,0,21,0,0
ENG-Premier League,2025-26,Bournemouth,Antoine Semenyo,GHA,"MF,FW",25-236,2000,3.0,86,74,12,0,0,0,3,12,0,0,0,0,54,0,2
ENG-Premier League,2025-26,Bournemouth,Bafodé Diakité,FRA,DF,24-237,2001,3.0,118,111,7,7,0,1,0,0,0,0,0,0,96,0,1
ENG-Premier League,2025-26,Bournemouth,Ben Winterburn,ENG,MF,20-361,2004,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2025-26,Bournemouth,David Brooks,WAL,"MF,FW",28-054,1997,2.3,69,59,8,0,1,1,12,2,6,6,0,0,46,2,2
