league,season,team,player,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
ENG-Premier League,2024-25,Newcastle Utd,Kieran Trippier,ENG,DF,33,1990,14.5,0,4,0,0.0,0.28,0.0,0.0,,23.6,2,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,2024-25,Newcastle Utd,Lewis Hall,ENG,DF,19,2004,24.3,0,11,1,9.1,0.45,0.04,0.0,0.0,18.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4
ENG-Premier League,2024-25,Newcastle Utd,Lewis Miley,ENG,MF,18,2006,3.5,1,3,2,66.7,0.86,0.58,0.33,0.5,14.6,0,0,0,0.5,0.5,0.18,0.5,0.5
ENG-Premier League,2024-25,Newcastle Utd,Lloyd Kelly,ENG,DF,25,1998,3.4,0,3,0,0.0,0.89,0.0,0.0,,7.3,0,0,0,0.4,0.4,0.14,-0.4,-0.4
ENG-Premier League,2024-25,Newcastle Utd,Martin Dúbravka,SVK,GK,35,1989,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Newcastle Utd,Matt Targett,ENG,DF,28,1995,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Newcastle Utd,Miguel Almirón,PAR,FW,30,1994,1.7,0,6,2,33.3,3.44,1.15,0.0,0.0,14.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5
ENG-Premier League,2024-25,Newcastle Utd,Nick Pope,ENG,GK,32,1992,28.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Newcastle Utd,Sandro Tonali,ITA,MF,24,2000,29.2,4,35,12,34.3,1.2,0.41,0.11,0.33,19.6,3,0,0,4.4,4.4,0.13,-0.4,-0.4
ENG-Premier League,2024-25,Newcastle Utd,Sean Longstaff,ENG,MF,26,1997,8.9,0,6,1,16.7,0.68,0.11,0.0,0.0,13.5,0,0,0,0.6,0.6,0.1,-0.6,-0.6
ENG-Premier League,2024-25,Newcastle Utd,Sven Botman,NED,DF,24,2000,4.6,0,5,2,40.0,1.09,0.44,0.0,0.0,7.1,0,0,0,0.5,0.5,0.12,-0.5,-0.5
ENG-Premier League,2024-25,Newcastle Utd,Valentino Livramento,ENG,DF,21,2002,31.6,0,6,2,33.3,0.19,0.06,0.0,0.0,19.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3
ENG-Premier League,2024-25,Newcastle Utd,William Osula,DEN,FW,20,2003,1.5,1,4,1,25.0,2.69,0.67,0.25,1.0,13.5,0,0,0,0.2,0.2,0.04,0.8,0.8
ENG-Premier League,2024-25,Nott'ham Forest,Anthony Elanga,SWE,"FW,MF",22,2002,27.8,6,44,24,54.5,1.58,0.86,0.14,0.25,17.6,6,0,0,4.5,4.5,0.1,1.5,1.5
ENG-Premier League,2024-25,Nott'ham Forest,Callum Hudson-Odoi,ENG,"FW,MF",23,2000,24.4,5,37,17,45.9,1.52,0.7,0.14,0.29,18.3,0,0,0,2.5,2.5,0.07,2.5,2.5
ENG-Premier League,2024-25,Nott'ham Forest,Chris Wood,NZL,FW,32,1991,32.9,20,65,32,49.2,1.98,0.97,0.26,0.53,13.5,0,3,3,13.4,11.0,0.17,6.6,6.0
ENG-Premier League,2024-25,Nott'ham Forest,Danilo,BRA,"MF,FW",23,2001,3.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Nott'ham Forest,Elliot Anderson,ENG,MF,21,2002,30.3,2,40,7,17.5,1.32,0.23,0.05,0.29,18.8,0,0,0,2.1,2.1,0.05,-0.1,-0.1
ENG-Premier League,2024-25,Nott'ham Forest,Eric da Silva Moreira,GER,"MF,DF",18,2006,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Nott'ham Forest,Harry Toffolo,ENG,DF,28,1995,1.5,0,1,0,0.0,0.66,0.0,0.0,,28.5,0,0,0,0.0,0.0,0.02,0.0,0.0
ENG-Premier League,2024-25,Nott'ham Forest,Ibrahim Sangaré,CIV,MF,26,1997,6.6,0,1,1,100.0,0.15,0.15,0.0,0.0,32.0,0,0,0,0.0,0.0,0.02,0.0,0.0
ENG-Premier League,2024-25,Nott'ham Forest,James Ward-Prowse,ENG,MF,29,1994,4.4,0,2,1,50.0,0.45,0.23,0.0,0.0,29.0,1,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,2024-25,Nott'ham Forest,Jota Silva,POR,"FW,MF",24,1999,9.5,3,23,7,30.4,2.42,0.74,0.13,0.43,14.5,0,0,0,2.1,2.1,0.09,0.9,0.9
ENG-Premier League,2024-25,Nott'ham Forest,Matz Sels,BEL,GK,32,1992,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Nott'ham Forest,Morato,BRA,DF,23,2001,10.1,0,2,1,50.0,0.2,0.1,0.0,0.0,8.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2
ENG-Premier League,2024-25,Nott'ham Forest,Morgan Gibbs-White,ENG,MF,24,2000,31.1,7,61,21,34.4,1.96,0.67,0.11,0.33,17.4,4,0,0,6.3,6.3,0.1,0.7,0.7
ENG-Premier League,2024-25,Nott'ham Forest,Murillo,BRA,DF,22,2002,35.4,2,25,6,24.0,0.71,0.17,0.08,0.33,21.9,3,0,0,1.4,1.4,0.06,0.6,0.6
ENG-Premier League,2024-25,Nott'ham Forest,Neco Williams,WAL,DF,23,2001,28.8,1,37,7,18.9,1.28,0.24,0.03,0.14,20.2,1,0,0,2.3,2.3,0.06,-1.3,-1.3
ENG-Premier League,2024-25,Nott'ham Forest,Nicolás Domínguez,ARG,"MF,FW",26,1998,21.8,0,21,9,42.9,0.96,0.41,0.0,0.0,18.9,0,0,0,1.5,1.5,0.07,-1.5,-1.5
ENG-Premier League,2024-25,Nott'ham Forest,Nikola Milenković,SRB,DF,26,1997,37.0,5,29,8,27.6,0.78,0.22,0.17,0.63,11.6,0,0,0,4.0,4.0,0.14,1.0,1.0
ENG-Premier League,2024-25,Nott'ham Forest,Ola Aina,NGA,DF,27,1996,33.3,2,11,2,18.2,0.33,0.06,0.18,1.0,26.1,0,0,0,0.6,0.6,0.06,1.4,1.4
ENG-Premier League,2024-25,Nott'ham Forest,Ramón Sosa,PAR,"FW,MF",24,1999,3.3,1,11,5,45.5,3.36,1.53,0.09,0.2,18.6,0,0,0,1.0,1.0,0.09,0.0,0.0
ENG-Premier League,2024-25,Nott'ham Forest,Ryan Yates,ENG,MF,26,1997,21.3,2,33,9,27.3,1.55,0.42,0.06,0.22,19.6,0,0,0,2.3,2.3,0.07,-0.3,-0.3
ENG-Premier League,2024-25,Nott'ham Forest,Taiwo Awoniyi,NGA,FW,26,1997,4.6,1,10,4,40.0,2.16,0.87,0.1,0.25,12.6,0,0,0,2.1,2.1,0.21,-1.1,-1.1
ENG-Premier League,2024-25,Nott'ham Forest,Willy Boly,CIV,DF,33,1991,1.7,0,1,1,100.0,0.6,0.6,0.0,0.0,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ENG-Premier League,2024-25,Nott'ham Forest,Álex Moreno,ESP,"DF,MF",31,1993,10.6,0,6,0,0.0,0.57,0.0,0.0,,23.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ENG-Premier League,2024-25,Southampton,Aaron Ramsdale,ENG,GK,26,1998,30.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Southampton,Adam Armstrong,ENG,"FW,MF",27,1997,13.9,2,25,7,28.0,1.8,0.5,0.08,0.29,16.6,0,0,1,3.3,2.3,0.09,-1.3,-0.3
ENG-Premier League,2024-25,Southampton,Adam Lallana,ENG,MF,36,1988,4.0,0,3,0,0.0,0.75,0.0,0.0,,18.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
ENG-Premier League,2024-25,Southampton,Albert Grønbaek,DEN,"FW,MF",23,2001,1.6,0,2,0,0.0,1.26,0.0,0.0,,22.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,2024-25,Southampton,Alex McCarthy,ENG,GK,34,1989,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Southampton,Armel Bella Kotchap,GER,DF,22,2001,3.7,0,1,0,0.0,0.27,0.0,0.0,,9.1,0,0,0,0.3,0.3,0.32,-0.3,-0.3
ENG-Premier League,2024-25,Southampton,Ben Brereton,CHI,FW,25,1999,5.0,0,11,1,9.1,2.2,0.2,0.0,0.0,17.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9
ENG-Premier League,2024-25,Southampton,Cameron Archer,ENG,FW,23,2001,16.0,2,28,10,35.7,1.75,0.62,0.07,0.2,12.8,0,0,1,5.7,4.9,0.18,-3.7,-2.9
ENG-Premier League,2024-25,Southampton,Carlos Alcaraz,ARG,MF,21,2002,0.1,0,1,1,100.0,9.0,9.0,0.0,0.0,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ENG-Premier League,2024-25,Southampton,Charlie Taylor,ENG,DF,30,1993,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Southampton,Flynn Downes,ENG,MF,25,1999,23.9,1,10,3,30.0,0.42,0.13,0.1,0.33,18.7,0,0,0,0.6,0.6,0.06,0.4,0.4
ENG-Premier League,2024-25,Southampton,Jack Stephens,ENG,DF,30,1994,15.4,1,4,2,50.0,0.26,0.13,0.25,0.5,11.0,0,0,0,0.6,0.6,0.14,0.4,0.4
ENG-Premier League,2024-25,Southampton,James Bree,ENG,DF,26,1997,11.9,0,4,1,25.0,0.33,0.08,0.0,0.0,22.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,2024-25,Southampton,Jan Bednarek,POL,DF,28,1996,28.1,2,5,2,40.0,0.18,0.07,0.4,1.0,16.0,0,0,0,0.7,0.7,0.13,1.3,1.3
ENG-Premier League,2024-25,Southampton,Jay Robinson,ENG,"MF,FW",17,2007,1.5,0,1,1,100.0,0.66,0.66,0.0,0.0,13.2,0,0,0,0.0,0.0,0.05,0.0,0.0
ENG-Premier League,2024-25,Southampton,Joachim Kayi Sanda,FRA,DF,17,2006,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Southampton,Joe Aribo,NGA,"MF,DF",28,1996,22.4,3,17,7,41.2,0.76,0.31,0.18,0.43,14.0,0,0,0,2.7,2.7,0.16,0.3,0.3
ENG-Premier League,2024-25,Southampton,Joe Lumley,ENG,GK,29,1995,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Southampton,Kamaldeen Sulemana,GHA,"FW,MF",22,2002,15.6,1,29,8,27.6,1.86,0.51,0.03,0.13,18.6,0,0,0,1.5,1.5,0.05,-0.5,-0.5
ENG-Premier League,2024-25,Southampton,Kyle Walker-Peters,ENG,DF,27,1997,32.4,0,20,6,30.0,0.62,0.19,0.0,0.0,18.3,0,0,0,0.8,0.8,0.04,-0.8,-0.8
ENG-Premier League,2024-25,Southampton,Lesley Ugochukwu,FRA,MF,20,2004,18.4,1,10,1,10.0,0.54,0.05,0.1,1.0,17.0,0,0,0,0.9,0.9,0.09,0.1,0.1
ENG-Premier League,2024-25,Southampton,Mateus Fernandes,POR,MF,20,2004,32.3,2,42,14,33.3,1.3,0.43,0.05,0.14,18.7,4,0,0,4.0,4.0,0.1,-2.0,-2.0
ENG-Premier League,2024-25,Southampton,Maxwel Cornet,CIV,FW,27,1996,0.8,0,1,0,0.0,1.25,0.0,0.0,,18.8,0,0,0,0.2,0.2,0.16,-0.2,-0.2
ENG-Premier League,2024-25,Southampton,Nathan Wood-Gordon,ENG,DF,22,2002,8.6,0,2,0,0.0,0.23,0.0,0.0,,5.9,0,0,0,0.2,0.2,0.12,-0.2,-0.2
ENG-Premier League,2024-25,Southampton,Paul Onuachu,NGA,FW,30,1994,11.7,4,34,15,44.1,2.91,1.29,0.12,0.27,10.4,0,0,0,3.6,3.6,0.11,0.4,0.4
ENG-Premier League,2024-25,Southampton,Ronnie Edwards,ENG,DF,21,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Southampton,Ross Stewart,SCO,FW,28,1996,4.3,1,9,2,22.2,2.08,0.46,0.11,0.5,10.8,0,0,0,1.1,1.1,0.12,-0.1,-0.1
ENG-Premier League,2024-25,Southampton,Ryan Fraser,SCO,"FW,DF",30,1994,3.4,0,1,1,100.0,0.29,0.29,0.0,0.0,31.6,0,0,0,0.0,0.0,0.03,0.0,0.0
ENG-Premier League,2024-25,Southampton,Ryan Manning,IRL,"DF,MF",28,1996,16.2,0,8,1,12.5,0.49,0.06,0.0,0.0,22.0,1,0,0,0.3,0.3,0.04,-0.3,-0.3
ENG-Premier League,2024-25,Southampton,Samuel Amo-Ameyaw,ENG,"FW,DF",18,2006,0.3,0,1,0,0.0,3.21,0.0,0.0,,20.7,0,0,0,0.0,0.0,0.02,0.0,0.0
ENG-Premier League,2024-25,Southampton,Samuel Edozie,ENG,"DF,FW",21,2003,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Southampton,Taylor Harwood-Bellis,ENG,DF,22,2002,31.4,1,20,8,40.0,0.64,0.25,0.05,0.13,10.6,0,0,0,1.8,1.8,0.09,-0.8,-0.8
ENG-Premier League,2024-25,Southampton,Tyler Dibling,ENG,"FW,MF",18,2006,20.8,2,28,9,32.1,1.34,0.43,0.07,0.22,19.3,0,0,0,2.5,2.5,0.09,-0.5,-0.5
ENG-Premier League,2024-25,Southampton,Welington,BRA,DF,23,2001,5.4,0,3,0,0.0,0.56,0.0,0.0,,31.3,0,0,0,0.0,0.0,0.01,0.0,0.0
ENG-Premier League,2024-25,Southampton,William Smallbone,IRL,MF,24,2000,7.7,1,7,1,14.3,0.91,0.13,0.14,1.0,17.6,1,0,0,0.6,0.6,0.08,0.4,0.4
ENG-Premier League,2024-25,Southampton,Yukinari Sugawara,JPN,"DF,MF",24,2000,17.3,1,14,5,35.7,0.81,0.29,0.07,0.2,20.2,1,0,0,0.5,0.5,0.03,0.5,0.5
ENG-Premier League,2024-25,Tottenham,Alfie Dorrington,ENG,DF,19,2005,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Tottenham,Antonín Kinský,CZE,GK,21,2003,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Tottenham,Archie Gray,ENG,"DF,MF",18,2006,19.5,0,1,1,100.0,0.05,0.05,0.0,0.0,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0
ENG-Premier League,2024-25,Tottenham,Ben Davies,WAL,DF,31,1993,14.8,0,5,1,20.0,0.34,0.07,0.0,0.0,17.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3
ENG-Premier League,2024-25,Tottenham,Brandon Austin,ENG,GK,25,1999,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Tottenham,Brennan Johnson,WAL,FW,23,2001,24.2,11,54,20,37.0,2.23,0.83,0.2,0.55,11.4,0,0,0,10.4,10.4,0.19,0.6,0.6
ENG-Premier League,2024-25,Tottenham,Cristian Romero,ARG,DF,26,1998,15.7,1,16,8,50.0,1.02,0.51,0.06,0.13,9.1,0,0,0,1.6,1.6,0.1,-0.6,-0.6
ENG-Premier League,2024-25,Tottenham,Dane Scarlett,ENG,"FW,MF",20,2004,0.4,0,1,1,100.0,2.65,2.65,0.0,0.0,13.9,0,0,0,0.0,0.0,0.04,0.0,0.0
ENG-Premier League,2024-25,Tottenham,Dejan Kulusevski,SWE,"MF,FW",24,2000,26.5,7,47,17,36.2,1.77,0.64,0.15,0.41,14.7,0,0,0,4.2,4.2,0.09,2.8,2.8
ENG-Premier League,2024-25,Tottenham,Destiny Udogie,ITA,DF,21,2002,21.4,0,5,1,20.0,0.23,0.05,0.0,0.0,15.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3
ENG-Premier League,2024-25,Tottenham,Djed Spence,ENG,DF,23,2000,19.9,1,10,3,30.0,0.5,0.15,0.1,0.33,23.9,0,0,0,0.6,0.6,0.06,0.4,0.4
ENG-Premier League,2024-25,Tottenham,Dominic Solanke,ENG,FW,26,1997,24.5,9,59,24,40.7,2.41,0.98,0.14,0.33,12.4,0,1,1,10.9,10.1,0.17,-1.9,-2.1
ENG-Premier League,2024-25,Tottenham,Fraser Forster,ENG,GK,36,1988,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Tottenham,Guglielmo Vicario,ITA,GK,27,1996,24.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Tottenham,James Maddison,ENG,MF,27,1996,20.1,9,39,17,43.6,1.94,0.85,0.23,0.53,16.7,6,0,0,5.8,5.8,0.15,3.2,3.2
ENG-Premier League,2024-25,Tottenham,Kevin Danso,AUT,DF,25,1998,9.4,0,7,3,42.9,0.75,0.32,0.0,0.0,16.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4
ENG-Premier League,2024-25,Tottenham,Lucas Bergvall,SWE,MF,18,2006,13.5,0,12,2,16.7,0.89,0.15,0.0,0.0,19.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7
ENG-Premier League,2024-25,Tottenham,Mathys Tel,FRA,FW,19,2005,10.1,2,22,8,36.4,2.17,0.79,0.05,0.13,16.0,1,1,1,3.0,2.2,0.1,-1.0,-1.2
ENG-Premier League,2024-25,Tottenham,Micky van de Ven,NED,DF,23,2001,11.3,0,6,2,33.3,0.53,0.18,0.0,0.0,11.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6
ENG-Premier League,2024-25,Tottenham,Mikey Moore,ENG,FW,16,2007,4.1,0,3,0,0.0,0.74,0.0,0.0,,19.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
ENG-Premier League,2024-25,Tottenham,Pape Matar Sarr,SEN,MF,21,2002,21.3,3,34,13,38.2,1.6,0.61,0.09,0.23,20.9,0,0,0,3.7,3.7,0.11,-0.7,-0.7
ENG-Premier League,2024-25,Tottenham,Pedro Porro,ESP,DF,24,1999,29.0,2,39,8,20.5,1.34,0.28,0.05,0.25,23.0,4,0,0,1.6,1.6,0.04,0.4,0.4
ENG-Premier League,2024-25,Tottenham,Radu Drăgușin,ROU,DF,22,2002,13.9,0,5,1,20.0,0.36,0.07,0.0,0.0,12.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
ENG-Premier League,2024-25,Tottenham,Richarlison,BRA,FW,27,1997,5.6,4,17,7,41.2,3.04,1.25,0.24,0.57,9.1,0,0,0,3.7,3.7,0.22,0.3,0.3
ENG-Premier League,2024-25,Tottenham,Rodrigo Bentancur,URU,MF,27,1997,18.3,2,22,5,22.7,1.2,0.27,0.09,0.4,17.4,0,0,0,1.3,1.3,0.06,0.7,0.7
ENG-Premier League,2024-25,Tottenham,Sergio Reguilón,ESP,DF,27,1996,2.2,0,2,0,0.0,0.92,0.0,0.0,,13.3,1,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,2024-25,Tottenham,Son Heung-min,KOR,FW,32,1992,23.4,7,55,24,43.6,2.35,1.02,0.11,0.25,17.0,1,1,2,7.2,5.7,0.11,-0.2,0.3
ENG-Premier League,2024-25,Tottenham,Timo Werner,GER,"FW,MF",28,1996,5.7,0,8,3,37.5,1.4,0.52,0.0,0.0,18.2,0,0,0,1.0,1.0,0.12,-1.0,-1.0
ENG-Premier League,2024-25,Tottenham,Will Lankshear,ENG,"FW,MF",19,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Tottenham,Wilson Odobert,FRA,"FW,MF",19,2004,9.4,1,13,4,30.8,1.38,0.42,0.08,0.25,16.4,0,0,0,1.6,1.6,0.12,-0.6,-0.6
ENG-Premier League,2024-25,Tottenham,Yves Bissouma,MLI,MF,27,1996,15.6,2,11,4,36.4,0.7,0.26,0.18,0.5,23.4,0,0,0,0.6,0.6,0.06,1.4,1.4
ENG-Premier League,2024-25,West Ham,Aaron Cresswell,ENG,DF,34,1989,9.2,0,5,0,0.0,0.55,0.0,0.0,,23.8,2,0,0,0.2,0.2,0.05,-0.2,-0.2
ENG-Premier League,2024-25,West Ham,Aaron Wan-Bissaka,ENG,DF,26,1997,35.0,2,16,5,31.3,0.46,0.14,0.13,0.4,15.1,0,0,0,1.2,1.2,0.07,0.8,0.8
ENG-Premier League,2024-25,West Ham,Alphonse Areola,FRA,GK,31,1993,25.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,West Ham,Andy Irving,SCO,MF,24,2000,1.8,0,4,2,50.0,2.17,1.08,0.0,0.0,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,2024-25,West Ham,Carlos Soler,ESP,"MF,FW",27,1997,15.7,1,25,8,32.0,1.6,0.51,0.04,0.13,19.0,1,0,0,1.8,1.8,0.07,-0.8,-0.8
ENG-Premier League,2024-25,West Ham,Crysencio Summerville,NED,"FW,MF",22,2001,8.7,1,14,4,28.6,1.6,0.46,0.07,0.25,13.4,0,0,0,1.6,1.6,0.12,-0.6,-0.6
ENG-Premier League,2024-25,West Ham,Danny Ings,ENG,"FW,MF",32,1992,3.2,1,14,5,35.7,4.44,1.58,0.07,0.2,15.5,0,0,0,2.3,2.3,0.16,-1.3,-1.3
ENG-Premier League,2024-25,West Ham,Edson Álvarez,MEX,MF,26,1997,19.7,0,12,1,8.3,0.61,0.05,0.0,0.0,26.3,0,0,0,0.4,0.4,0.03,-0.4,-0.4
ENG-Premier League,2024-25,West Ham,Emerson Palmieri,ITA,DF,29,1994,23.5,2,16,7,43.8,0.68,0.3,0.13,0.29,19.0,3,0,0,2.0,2.0,0.12,0.0,0.0
ENG-Premier League,2024-25,West Ham,Evan Ferguson,IRL,FW,19,2004,1.7,0,5,1,20.0,2.88,0.58,0.0,0.0,17.2,0,0,0,0.6,0.6,0.11,-0.6,-0.6
ENG-Premier League,2024-25,West Ham,Guido Rodríguez,ARG,MF,30,1994,12.8,0,8,1,12.5,0.63,0.08,0.0,0.0,27.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ENG-Premier League,2024-25,West Ham,James Ward-Prowse,ENG,MF,29,1994,11.5,1,13,5,38.5,1.13,0.43,0.08,0.2,19.9,3,0,0,1.6,1.6,0.13,-0.6,-0.6
ENG-Premier League,2024-25,West Ham,Jarrod Bowen,ENG,"FW,MF",27,1996,33.0,13,86,36,41.9,2.6,1.09,0.14,0.33,17.4,1,1,1,8.6,7.8,0.09,4.4,4.2
ENG-Premier League,2024-25,West Ham,Jean-Clair Todibo,FRA,DF,24,1999,20.3,0,5,0,0.0,0.25,0.0,0.0,,12.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4
ENG-Premier League,2024-25,West Ham,Kaelan Casey,ENG,DF,19,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,West Ham,Konstantinos Mavropanos,GRE,DF,26,1997,22.7,0,18,5,27.8,0.79,0.22,0.0,0.0,14.8,0,0,0,1.5,1.5,0.09,-1.5,-1.5
ENG-Premier League,2024-25,West Ham,Lewis Orford,ENG,MF,18,2006,0.5,0,1,0,0.0,1.84,0.0,0.0,,12.7,0,0,0,0.0,0.0,0.03,0.0,0.0
ENG-Premier League,2024-25,West Ham,Lucas Paquetá,BRA,"MF,FW",26,1997,26.4,4,39,3,7.7,1.47,0.11,0.05,0.67,19.5,4,2,2,5.3,3.7,0.1,-1.3,-1.7
ENG-Premier League,2024-25,West Ham,Luis Guilherme,BRA,"MF,FW",18,2006,1.7,0,4,1,25.0,2.4,0.6,0.0,0.0,13.6,0,0,0,0.4,0.4,0.1,-0.4,-0.4
ENG-Premier League,2024-25,West Ham,Max Kilman,ENG,DF,27,1997,37.2,0,13,2,15.4,0.35,0.05,0.0,0.0,8.9,0,0,0,1.6,1.6,0.13,-1.6,-1.6
ENG-Premier League,2024-25,West Ham,Michail Antonio,JAM,FW,34,1990,9.3,1,19,4,21.1,2.05,0.43,0.05,0.25,12.6,0,0,0,2.2,2.2,0.12,-1.2,-1.2
ENG-Premier League,2024-25,West Ham,Mohammed Kudus,GHA,"FW,MF",23,2000,28.8,5,75,21,28.0,2.61,0.73,0.07,0.24,16.0,0,0,0,6.9,6.9,0.09,-1.9,-1.9
ENG-Premier League,2024-25,West Ham,Niclas Füllkrug,GER,FW,31,1993,8.8,3,16,7,43.8,1.82,0.8,0.19,0.43,10.3,0,0,0,2.2,2.2,0.14,0.8,0.8
ENG-Premier League,2024-25,West Ham,Oliver Scarles,ENG,"DF,FW",18,2005,7.4,0,3,0,0.0,0.41,0.0,0.0,,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ENG-Premier League,2024-25,West Ham,Tomáš Souček,CZE,MF,29,1995,28.5,9,55,17,30.9,1.93,0.6,0.16,0.53,11.9,0,0,0,6.7,6.7,0.13,2.3,2.3
ENG-Premier League,2024-25,West Ham,Vladimír Coufal,CZE,DF,31,1992,11.9,0,7,2,28.6,0.59,0.17,0.0,0.0,15.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3
ENG-Premier League,2024-25,West Ham,Łukasz Fabiański,POL,GK,39,1985,12.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Wolves,Alfie Pond,ENG,DF,20,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Wolves,André,BRA,MF,23,2001,27.5,0,10,1,10.0,0.36,0.04,0.0,0.0,25.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4
ENG-Premier League,2024-25,Wolves,Boubacar Traoré,MLI,MF,22,2001,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Wolves,Carlos Forbs,POR,"MF,FW",20,2004,2.7,0,2,0,0.0,0.75,0.0,0.0,,19.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ENG-Premier League,2024-25,Wolves,Chiquinho,POR,MF,24,2000,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Wolves,Craig Dawson,ENG,DF,34,1990,10.8,0,5,1,20.0,0.46,0.09,0.0,0.0,8.5,0,0,0,0.5,0.5,0.1,-0.5,-0.5
ENG-Premier League,2024-25,Wolves,Daniel Bentley,ENG,GK,31,1993,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2024-25,Wolves,Daniel Podence,POR,"MF,FW",28,1995,0.5,0,1,0,0.0,1.87,0.0,0.0,,24.4,0,0,0,0.0,0.0,0.04,0.0,0.0
