league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
ENG-Premier League,2023-24,Arsenal,Mohamed Elneny,EGY,MF,31,1992,0.3,45,1,9,30,6,1,45,0,0,,0,,27,148,62,1,0,0,1,0,37,0
ENG-Premier League,2023-24,Arsenal,Oleksandr Zinchenko,UKR,DF,26,1996,19.1,1729,46,335,885,519,28,1729,14,7,50.0,5,35.7,1013,4792,2334,40,28,7,10,15,1178,58
ENG-Premier League,2023-24,Arsenal,Reiss Nelson,ENG,FW,23,1999,3.0,188,8,30,67,96,13,188,7,1,14.3,6,85.7,129,729,281,9,5,4,11,4,128,26
ENG-Premier League,2023-24,Arsenal,Takehiro Tomiyasu,JPN,DF,24,1998,12.8,824,37,192,389,248,31,824,12,4,33.3,7,58.3,469,2158,1064,17,14,3,13,3,520,37
ENG-Premier League,2023-24,Arsenal,Thomas Partey,GHA,"MF,DF",30,1993,8.8,707,23,138,423,154,6,707,13,9,69.2,2,15.4,453,2227,1129,15,18,1,8,8,528,10
ENG-Premier League,2023-24,Arsenal,William Saliba,FRA,DF,22,2001,38.0,3093,223,1239,1720,142,15,3093,15,10,66.7,4,26.7,1992,9002,5201,16,22,1,22,13,2297,6
ENG-Premier League,2023-24,Aston Villa,Bertrand Traoré,BFA,"DF,FW",27,1995,0.1,7,0,5,2,0,0,7,1,0,0.0,1,100.0,4,54,0,0,0,0,1,1,4,0
ENG-Premier League,2023-24,Aston Villa,Boubacar Kamara,FRA,MF,23,1999,18.4,1195,50,305,720,186,13,1195,30,14,46.7,12,40.0,769,3527,1663,19,22,1,19,13,880,10
ENG-Premier League,2023-24,Aston Villa,Calum Chambers,ENG,"MF,DF",28,1995,1.7,129,9,68,49,12,0,129,1,1,100.0,0,0.0,78,349,158,0,0,0,0,1,99,1
ENG-Premier League,2023-24,Aston Villa,Cameron Archer,ENG,MF,22,2001,0.1,7,0,1,4,2,0,7,0,0,,0,,5,39,28,1,1,0,1,0,7,0
ENG-Premier League,2023-24,Aston Villa,Clément Lenglet,FRA,DF,28,1995,12.8,1018,165,514,450,59,12,1018,8,3,37.5,2,25.0,728,4435,2832,26,18,0,3,3,786,1
ENG-Premier League,2023-24,Aston Villa,Diego Carlos,BRA,DF,30,1993,20.2,1517,244,867,610,43,23,1517,4,2,50.0,2,50.0,1013,4786,2606,4,2,1,8,4,1118,1
ENG-Premier League,2023-24,Aston Villa,Douglas Luiz,BRA,MF,25,1998,33.3,2351,81,519,1256,598,38,2347,47,24,51.1,16,34.0,1394,7522,3562,60,48,4,33,31,1638,50
ENG-Premier League,2023-24,Aston Villa,Emiliano Martínez,ARG,GK,30,1992,33.5,1509,1139,1484,25,0,0,1509,0,0,,0,,933,4389,2772,0,0,0,1,0,800,0
ENG-Premier League,2023-24,Aston Villa,Ezri Konsa,ENG,DF,25,1997,34.1,2359,239,971,1146,258,36,2359,34,19,55.9,6,17.6,1535,6930,3700,37,20,3,26,17,1669,33
ENG-Premier League,2023-24,Aston Villa,Finley Munroe,ENG,MF,18,2005,0.0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0
ENG-Premier League,2023-24,Aston Villa,Jacob Ramsey,ENG,"FW,MF",22,2001,9.5,433,10,69,178,195,47,433,20,8,40.0,11,55.0,272,1785,843,33,19,11,18,21,314,69
ENG-Premier League,2023-24,Aston Villa,Jaden Philogene Bidace,ENG,FW,21,2002,0.0,4,0,1,1,2,1,4,0,0,,0,,2,39,39,2,1,1,0,0,3,1
ENG-Premier League,2023-24,Aston Villa,John McGinn,SCO,"MF,FW",28,1994,33.3,1545,44,257,809,499,58,1545,96,54,56.3,27,28.1,992,5176,2385,59,45,10,55,61,1096,84
ENG-Premier League,2023-24,Aston Villa,Jáder Durán,COL,"FW,MF",19,2003,5.3,189,8,22,90,80,27,189,5,2,40.0,3,60.0,102,508,206,9,5,5,16,14,138,25
ENG-Premier League,2023-24,Aston Villa,Kaine Kesler-Hayden,ENG,"MF,DF",20,2002,0.1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2023-24,Aston Villa,Leander Dendoncker,BEL,MF,28,1995,1.3,80,4,31,39,12,2,80,0,0,,0,,36,124,27,0,1,0,2,1,39,2
ENG-Premier League,2023-24,Aston Villa,Leon Bailey,JAM,"MF,FW",25,1997,23.0,1040,19,151,318,589,129,1040,119,57,47.9,50,42.0,717,5148,2495,102,47,41,51,41,764,226
ENG-Premier League,2023-24,Aston Villa,Lucas Digne,FRA,DF,30,1993,26.8,1590,71,468,541,593,56,1590,33,10,30.3,16,48.5,840,3630,1786,42,19,4,16,15,925,200
ENG-Premier League,2023-24,Aston Villa,Matty Cash,POL,DF,25,1997,23.8,1497,89,491,657,364,54,1497,41,12,29.3,20,48.8,861,4885,2233,62,41,18,21,15,896,101
ENG-Premier League,2023-24,Aston Villa,Morgan Rogers,ENG,"MF,FW",21,2002,7.1,289,10,66,131,98,23,289,33,17,51.5,12,36.4,150,1084,563,22,11,6,17,11,185,30
ENG-Premier League,2023-24,Aston Villa,Moussa Diaby,FRA,"FW,MF",24,1999,24.2,824,12,69,298,470,136,824,70,29,41.4,37,52.9,568,3926,2013,94,43,39,33,30,620,183
ENG-Premier League,2023-24,Aston Villa,Nicolò Zaniolo,ITA,"FW,MF",24,1999,9.3,402,11,53,171,184,60,402,48,13,27.1,30,62.5,268,1854,915,35,16,15,31,36,284,60
ENG-Premier League,2023-24,Aston Villa,Ollie Watkins,ENG,FW,27,1995,35.7,958,28,56,369,542,215,958,63,26,41.3,31,49.2,581,3085,1465,62,37,41,78,57,761,214
ENG-Premier League,2023-24,Aston Villa,Omari Kellyman,ENG,FW,17,2005,0.4,11,0,1,8,2,0,11,0,0,,0,,4,33,9,1,1,0,2,0,6,0
ENG-Premier League,2023-24,Aston Villa,Pau Torres,ESP,DF,26,1997,27.4,1985,281,989,873,141,22,1985,28,17,60.7,9,32.1,1398,9039,5917,42,42,0,9,13,1456,16
ENG-Premier League,2023-24,Aston Villa,Philippe Coutinho,BRA,"MF,FW",31,1992,0.3,30,0,4,18,9,1,30,5,4,80.0,1,20.0,26,222,134,5,4,0,2,0,29,2
ENG-Premier League,2023-24,Aston Villa,Robin Olsen,SWE,GK,33,1990,4.5,216,200,215,1,0,0,216,0,0,,0,,131,626,303,0,0,0,0,0,115,0
ENG-Premier League,2023-24,Aston Villa,Tim Iroegbunam,ENG,MF,20,2003,1.8,79,5,27,46,8,0,79,7,3,42.9,2,28.6,41,222,115,3,0,0,2,3,38,0
ENG-Premier League,2023-24,Aston Villa,Tyrone Mings,ENG,DF,30,1993,0.3,8,3,5,2,1,1,8,0,0,,0,,4,8,3,0,0,0,1,0,4,0
ENG-Premier League,2023-24,Aston Villa,Youri Tielemans,BEL,"MF,FW",26,1997,18.0,1096,45,215,589,299,27,1096,29,15,51.7,10,34.5,635,2872,1361,23,27,7,17,22,766,46
ENG-Premier League,2023-24,Aston Villa,Álex Moreno,ESP,DF,30,1993,11.5,690,40,246,235,213,29,690,35,15,42.9,17,48.6,364,2332,1106,32,20,10,14,6,383,83
ENG-Premier League,2023-24,Bournemouth,Adam Smith,ENG,DF,32,1991,23.9,1229,92,404,537,295,11,1229,15,4,26.7,8,53.3,521,2455,1022,24,22,3,14,7,580,28
ENG-Premier League,2023-24,Bournemouth,Alex Scott,ENG,MF,19,2003,11.3,612,33,120,295,217,29,612,37,13,35.1,20,54.1,330,2166,1129,24,21,10,17,11,361,35
ENG-Premier League,2023-24,Bournemouth,Antoine Semenyo,GHA,FW,23,2000,23.4,1015,31,137,375,526,124,1015,116,50,43.1,55,47.4,611,5156,2477,89,51,42,58,53,691,188
ENG-Premier League,2023-24,Bournemouth,Chris Mepham,WAL,DF,25,1997,6.9,434,48,182,227,25,6,434,0,0,,0,,235,1304,736,4,4,0,2,2,242,1
ENG-Premier League,2023-24,Bournemouth,Dango Ouattara,BFA,"FW,DF",21,2002,13.7,783,37,210,273,317,69,783,47,21,44.7,20,42.6,365,2597,1409,47,24,18,23,12,405,90
ENG-Premier League,2023-24,Bournemouth,David Brooks,WAL,"FW,MF",26,1997,3.1,177,2,25,72,83,11,177,10,4,40.0,6,60.0,102,680,279,8,9,1,7,1,113,27
ENG-Premier League,2023-24,Bournemouth,Dominic Sadi,ENG,FW,19,2003,0.0,2,0,0,2,0,0,2,0,0,,0,,1,6,0,0,0,0,0,0,1,0
ENG-Premier League,2023-24,Bournemouth,Dominic Solanke,ENG,FW,25,1997,36.9,1069,57,113,426,547,216,1066,106,39,36.8,60,56.6,599,3921,1420,52,24,27,136,81,724,184
ENG-Premier League,2023-24,Bournemouth,Enes Ünal,TUR,"FW,MF",26,1997,3.6,147,9,14,60,74,28,147,11,2,18.2,8,72.7,88,327,120,4,2,1,15,10,110,28
ENG-Premier League,2023-24,Bournemouth,Hamed Junior Traorè,CIV,MF,23,2000,0.5,41,1,13,14,15,2,41,8,4,50.0,4,50.0,22,153,80,2,1,1,2,1,28,4
ENG-Premier League,2023-24,Bournemouth,Illia Zabarnyi,UKR,DF,20,2002,37.0,2169,312,1129,978,70,17,2169,13,9,69.2,2,15.4,1303,7280,4408,24,15,0,15,2,1368,1
ENG-Premier League,2023-24,Bournemouth,Ionuț Radu,ROU,GK,26,1997,2.0,70,64,70,0,0,0,70,0,0,,0,,51,215,101,0,0,0,0,0,40,0
ENG-Premier League,2023-24,Bournemouth,Jaidon Anthony,ENG,FW,23,1999,1.7,69,2,15,27,27,4,69,6,2,33.3,3,50.0,36,160,77,2,2,0,5,2,40,9
ENG-Premier League,2023-24,Bournemouth,James Hill,ENG,DF,21,2002,0.8,62,10,26,24,12,0,62,1,0,0.0,1,100.0,18,41,7,0,1,0,1,1,20,1
ENG-Premier League,2023-24,Bournemouth,Joe Rothwell,ENG,MF,28,1995,4.3,251,8,49,147,56,1,251,13,7,53.8,4,30.8,140,862,437,6,4,0,5,2,155,3
ENG-Premier League,2023-24,Bournemouth,Justin Kluivert,NED,"MF,FW",24,1999,21.3,694,13,86,224,397,108,694,67,24,35.8,41,61.2,414,2930,1644,65,37,35,50,30,442,114
ENG-Premier League,2023-24,Bournemouth,Kieffer Moore,WAL,"FW,MF",30,1992,1.2,53,0,2,21,30,12,53,3,1,33.3,1,33.3,29,93,34,2,0,0,3,1,47,15
ENG-Premier League,2023-24,Bournemouth,Lewis Cook,ENG,MF,26,1997,31.0,1773,92,418,1003,382,9,1773,36,21,58.3,14,38.9,786,3970,1971,22,24,0,35,19,865,15
ENG-Premier League,2023-24,Bournemouth,Lloyd Kelly,ENG,DF,24,1998,17.3,1065,127,432,484,156,11,1065,4,2,50.0,0,0.0,540,2680,1451,15,10,2,20,6,572,28
ENG-Premier League,2023-24,Bournemouth,Luis Sinisterra,COL,"FW,MF",24,1999,7.8,430,11,63,134,242,83,430,49,29,59.2,18,36.7,267,2098,1195,51,20,35,24,10,309,85
ENG-Premier League,2023-24,Bournemouth,Marcos Senesi,ARG,DF,26,1997,24.9,1614,184,743,762,129,20,1614,20,11,55.0,8,40.0,910,4789,3098,31,34,3,19,11,950,4
ENG-Premier League,2023-24,Bournemouth,Marcus Tavernier,ENG,FW,24,1999,23.5,1246,34,182,404,686,94,1246,106,44,41.5,55,51.9,693,4995,2411,79,82,25,53,41,765,171
ENG-Premier League,2023-24,Bournemouth,Mark Travers,IRL,GK,24,1999,4.0,131,111,131,0,0,0,131,0,0,,0,,70,405,180,0,0,0,0,0,52,0
ENG-Premier League,2023-24,Bournemouth,Max Aarons,ENG,DF,23,2000,13.7,711,43,252,303,165,11,711,34,14,41.2,12,35.3,364,2174,1121,22,12,7,13,8,371,26
ENG-Premier League,2023-24,Bournemouth,Milos Kerkez,HUN,DF,19,2003,21.9,1095,81,371,386,352,31,1095,27,12,44.4,12,44.4,518,3192,1617,46,28,8,29,10,538,93
ENG-Premier League,2023-24,Bournemouth,Neto,BRA,GK,34,1989,32.0,1138,949,1129,9,0,0,1138,2,2,100.0,0,0.0,635,3771,2495,0,0,0,0,0,474,0
ENG-Premier League,2023-24,Bournemouth,Philip Billing,DEN,MF,27,1996,15.5,755,43,139,337,286,60,755,33,12,36.4,18,54.5,366,1772,798,22,23,6,27,17,438,63
ENG-Premier League,2023-24,Bournemouth,Romain Faivre,FRA,"MF,FW",25,1998,0.5,37,1,3,15,19,3,37,7,2,28.6,3,42.9,24,215,121,4,4,0,3,1,31,4
ENG-Premier League,2023-24,Bournemouth,Ryan Christie,SCO,MF,28,1995,32.3,1737,88,339,876,564,69,1737,98,51,52.0,41,41.8,933,5769,2681,60,58,14,58,47,987,78
ENG-Premier League,2023-24,Bournemouth,Tyler Adams,USA,MF,24,1999,1.3,91,3,23,54,14,4,91,3,2,66.7,0,0.0,44,193,116,4,1,2,3,0,52,1
ENG-Premier League,2023-24,Brentford,Aaron Hickey,SCO,DF,21,2002,7.9,356,25,132,155,76,7,356,14,5,35.7,5,35.7,212,1107,505,9,3,1,14,5,225,13
ENG-Premier League,2023-24,Brentford,Ben Mee,ENG,DF,33,1989,14.1,829,109,388,364,79,25,829,6,3,50.0,3,50.0,388,1958,1150,11,4,1,9,7,447,9
ENG-Premier League,2023-24,Brentford,Bryan Mbeumo,CMR,FW,23,1999,21.8,1045,26,108,350,599,111,1042,78,26,33.3,42,53.8,667,4326,2115,74,52,38,67,39,727,195
ENG-Premier League,2023-24,Brentford,Christian Nørgaard,DEN,MF,29,1994,27.8,1846,99,522,944,388,57,1846,11,6,54.5,4,36.4,873,3367,1633,15,27,3,21,15,1089,42
ENG-Premier League,2023-24,Brentford,Ethan Pinnock,JAM,DF,30,1993,28.0,1768,303,1001,661,113,43,1768,10,6,60.0,3,30.0,922,5095,3160,11,5,1,11,4,1025,16
ENG-Premier League,2023-24,Brentford,Frank Onyeka,NGA,MF,25,1998,12.9,585,32,128,290,177,28,585,29,11,37.9,14,48.3,325,1624,593,17,15,4,33,12,336,39
ENG-Premier League,2023-24,Brentford,Ivan Toney,ENG,FW,27,1996,16.1,620,20,74,281,273,67,620,23,10,43.5,10,43.5,358,1633,809,23,17,13,59,17,465,98
ENG-Premier League,2023-24,Brentford,Josh Dasilva,ENG,"DF,FW",24,1998,0.3,26,1,1,6,19,6,26,4,2,50.0,2,50.0,17,153,69,2,0,2,2,4,17,5
ENG-Premier League,2023-24,Brentford,Keane Lewis-Potter,ENG,"FW,DF",22,2001,16.0,604,32,107,173,330,84,604,58,21,36.2,33,56.9,370,2822,1632,56,32,24,30,18,417,135
ENG-Premier League,2023-24,Brentford,Kevin Schade,GER,"FW,MF",21,2001,3.7,148,3,17,59,73,19,148,14,2,14.3,10,71.4,84,631,283,8,3,5,14,6,98,23
ENG-Premier League,2023-24,Brentford,Kristoffer Ajer,NOR,DF,25,1998,20.4,1042,112,430,457,158,58,1042,12,10,83.3,2,16.7,464,2367,1435,22,11,5,16,6,563,31
ENG-Premier League,2023-24,Brentford,Mads Roerslev,DEN,DF,24,1999,22.1,966,99,362,342,268,23,966,28,11,39.3,15,53.6,448,1985,864,18,12,6,23,15,520,90
ENG-Premier League,2023-24,Brentford,Mark Flekken,NED,GK,30,1993,36.5,1658,1268,1584,74,0,0,1658,4,3,75.0,1,25.0,930,5167,2908,0,0,0,0,0,810,0
ENG-Premier League,2023-24,Brentford,Mathias Jensen,DEN,MF,27,1996,24.5,1440,48,288,689,475,21,1440,44,18,40.9,23,52.3,641,2961,1265,19,17,3,31,18,768,66
ENG-Premier League,2023-24,Brentford,Mathias Jørgensen,DEN,DF,33,1990,12.1,704,74,287,350,70,24,704,4,3,75.0,0,0.0,275,1222,758,5,4,0,4,1,372,4
ENG-Premier League,2023-24,Brentford,Michael Olakigbe,ENG,"DF,FW",19,2004,0.7,70,0,11,21,38,10,70,11,3,27.3,7,63.6,42,437,229,10,5,3,4,1,48,17
ENG-Premier League,2023-24,Brentford,Mikkel Damsgaard,DEN,MF,23,2000,9.4,555,15,108,260,195,20,555,20,9,45.0,11,55.0,316,1578,846,16,11,3,18,8,346,32
ENG-Premier League,2023-24,Brentford,Myles Peart-Harris,ENG,"DF,MF",20,2002,0.1,11,0,1,3,7,1,11,0,0,,0,,8,64,37,2,1,0,0,2,8,1
ENG-Premier League,2023-24,Brentford,Nathan Collins,IRL,DF,22,2001,29.5,1879,305,1049,696,140,48,1879,17,11,64.7,2,11.8,999,4658,2636,11,15,0,22,13,1126,18
ENG-Premier League,2023-24,Brentford,Neal Maupay,FRA,FW,26,1996,14.7,532,6,59,221,262,71,532,33,9,27.3,20,60.6,295,1421,571,21,23,12,28,24,379,91
ENG-Premier League,2023-24,Brentford,Rico Henry,ENG,DF,26,1997,4.5,227,14,78,93,59,7,227,10,7,70.0,1,10.0,115,698,372,13,3,3,8,7,126,12
ENG-Premier League,2023-24,Brentford,Saman Ghoddos,IRN,DF,29,1993,8.2,542,12,139,223,184,10,542,13,3,23.1,8,61.5,282,1389,717,22,12,2,10,4,313,31
ENG-Premier League,2023-24,Brentford,Sergio Reguilón,ESP,DF,26,1996,12.4,708,55,242,253,228,22,708,26,13,50.0,11,42.3,318,1988,1160,34,25,2,22,5,332,40
ENG-Premier League,2023-24,Brentford,Shandon Baptiste,GRN,MF,25,1998,2.5,130,7,41,57,34,6,130,11,6,54.5,5,45.5,64,322,170,3,1,0,8,0,69,1
ENG-Premier League,2023-24,Brentford,Thomas Strakosha,ALB,GK,28,1995,1.5,75,62,74,1,0,0,75,0,0,,0,,35,156,88,0,0,0,0,0,32,0
ENG-Premier League,2023-24,Brentford,Vitaly Janelt,GER,"MF,DF",25,1998,33.9,1703,115,513,772,437,72,1703,18,8,44.4,7,38.9,893,3559,1558,25,25,3,27,10,1053,81
ENG-Premier League,2023-24,Brentford,Yehor Yarmoliuk,UKR,MF,19,2004,7.6,407,14,81,172,162,20,407,27,17,63.0,7,25.9,207,1267,461,13,7,2,17,10,220,36
ENG-Premier League,2023-24,Brentford,Yoane Wissa,COD,FW,26,1996,27.7,751,22,119,286,366,122,751,52,20,38.5,23,44.2,422,2666,1387,45,33,20,58,20,485,150
ENG-Premier League,2023-24,Brighton,Adam Lallana,ENG,"MF,FW",35,1988,9.4,574,5,80,268,229,44,574,13,3,23.1,9,69.2,354,1310,483,9,12,4,14,18,491,55
ENG-Premier League,2023-24,Brighton,Adam Webster,ENG,DF,28,1995,12.7,1201,106,495,625,86,14,1201,2,0,0.0,2,100.0,814,4073,2357,16,16,0,5,2,903,2
ENG-Premier League,2023-24,Brighton,Ansu Fati,ESP,"MF,FW",20,2002,5.8,300,4,27,141,135,43,300,18,5,27.8,9,50.0,212,1025,451,16,5,9,15,10,238,50
ENG-Premier League,2023-24,Brighton,Bart Verbruggen,NED,GK,20,2002,21.0,906,779,897,9,0,0,906,1,1,100.0,0,0.0,672,2520,1279,0,0,0,0,0,580,0
ENG-Premier League,2023-24,Brighton,Benicio Boaitey,ENG,"FW,DF",19,2004,0.4,30,1,6,6,19,1,30,1,1,100.0,0,0.0,19,105,40,1,2,1,2,1,23,2
ENG-Premier League,2023-24,Brighton,Billy Gilmour,SCO,MF,22,2001,23.6,2277,67,447,1425,417,12,2277,23,8,34.8,13,56.5,1410,6287,3120,39,53,0,28,9,1871,33
ENG-Premier League,2023-24,Brighton,Carlos Baleba,CMR,MF,19,2004,14.7,965,65,255,580,139,5,965,22,11,50.0,6,27.3,571,2903,1423,19,19,1,16,16,664,9
ENG-Premier League,2023-24,Brighton,Danny Welbeck,ENG,"FW,MF",32,1990,18.8,727,20,71,337,325,73,727,27,8,29.6,16,59.3,443,2011,877,32,16,13,46,21,533,100
ENG-Premier League,2023-24,Brighton,Evan Ferguson,IRL,FW,18,2004,15.2,448,13,64,204,185,45,448,16,7,43.8,6,37.5,286,1299,414,13,9,5,40,31,336,62
ENG-Premier League,2023-24,Brighton,Facundo Buonanotte,ARG,"FW,MF",18,2004,15.2,673,21,91,316,277,35,673,52,18,34.6,28,53.8,421,2342,898,23,25,8,42,33,480,69
ENG-Premier League,2023-24,Brighton,Igor,BRA,DF,25,1998,18.2,1651,105,604,913,141,7,1651,22,16,72.7,5,22.7,1055,5334,2867,30,23,0,9,6,1205,12
ENG-Premier League,2023-24,Brighton,Jack Hinshelwood,ENG,DF,18,2005,9.7,590,26,193,256,143,30,590,5,0,0.0,4,80.0,331,1598,726,16,15,1,9,2,381,38
ENG-Premier League,2023-24,Brighton,Jakub Moder,POL,"MF,DF",24,1999,6.9,388,23,106,180,106,14,388,12,6,50.0,5,41.7,218,985,423,10,8,2,11,6,259,26
ENG-Premier League,2023-24,Brighton,James Milner,ENG,"DF,MF",37,1986,8.6,675,25,135,300,245,17,675,8,3,37.5,4,50.0,395,1230,562,11,6,4,11,6,457,73
ENG-Premier League,2023-24,Brighton,Jan Paul van Hecke,NED,DF,23,2000,26.3,2668,324,1209,1311,157,20,2668,9,5,55.6,2,22.2,1918,10198,6274,25,41,2,16,3,2080,7
ENG-Premier League,2023-24,Brighton,Jason Steele,ENG,GK,32,1990,17.0,711,630,706,5,0,0,711,0,0,,0,,490,1912,977,0,0,0,0,0,475,0
ENG-Premier League,2023-24,Brighton,João Pedro,BRA,"FW,MF",21,2001,22.7,1196,32,105,475,629,184,1191,107,43,40.2,45,42.1,787,5003,2295,83,42,47,83,63,949,205
ENG-Premier League,2023-24,Brighton,Joël Veltman,NED,DF,31,1992,17.6,1103,95,378,517,213,17,1103,11,1,9.1,5,45.5,601,2532,1076,24,17,0,21,7,657,54
ENG-Premier League,2023-24,Brighton,Julio Enciso,PAR,"MF,FW",19,2004,5.3,257,5,24,106,131,21,257,29,17,58.6,7,24.1,193,1299,839,28,20,7,15,8,202,29
ENG-Premier League,2023-24,Brighton,Kaoru Mitoma,JPN,FW,26,1997,16.5,852,17,79,270,514,136,852,94,39,41.5,44,46.8,616,4879,3147,121,54,62,38,15,677,239
ENG-Premier League,2023-24,Brighton,Lewis Dunk,ENG,DF,31,1991,31.9,3481,554,1811,1542,145,51,3481,8,5,62.5,2,25.0,2417,10752,5605,33,18,2,9,2,2681,13
ENG-Premier League,2023-24,Brighton,Mahmoud Dahoud,GER,MF,27,1996,5.0,368,12,86,225,58,4,368,5,2,40.0,3,60.0,239,951,406,4,3,1,6,5,303,6
ENG-Premier League,2023-24,Brighton,Mark O'Mahony,IRL,FW,18,2005,0.7,27,2,6,15,6,2,27,0,0,,0,,16,66,10,0,0,0,4,0,21,0
ENG-Premier League,2023-24,Brighton,Odeluga Offiah,ENG,DF,20,2002,1.4,87,1,31,27,31,2,87,6,4,66.7,1,16.7,59,418,268,9,5,1,1,0,64,9
ENG-Premier League,2023-24,Brighton,Pascal Groß,GER,"MF,DF",32,1991,34.6,3534,133,826,1681,1050,70,3533,30,16,53.3,13,43.3,2284,10055,5189,83,69,8,35,28,2736,180
ENG-Premier League,2023-24,Brighton,Pervis Estupiñán,ECU,DF,25,1998,13.8,1109,56,256,546,316,37,1109,23,9,39.1,9,39.1,693,3046,1806,47,30,13,20,6,735,88
ENG-Premier League,2023-24,Brighton,Simon Adingra,CIV,FW,21,2002,24.7,1159,36,187,364,627,153,1159,123,50,40.7,64,52.0,773,5063,2996,111,48,63,48,28,795,278
ENG-Premier League,2023-24,Brighton,Solly March,ENG,"FW,DF",29,1994,6.2,336,12,71,123,145,18,336,18,8,44.4,8,44.4,198,975,491,14,7,3,8,10,211,44
