league,season,team,player,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
ENG-Premier League,2023-24,Nott'ham Forest,Ola Aina,NGA,DF,26,1996,18.8,803,650,150,12,2,2,28,138,0,0,0,0,605,3,17
ENG-Premier League,2023-24,Nott'ham Forest,Orel Mangala,BEL,MF,25,1998,17.4,646,639,5,4,1,2,2,0,0,0,0,0,570,2,6
ENG-Premier League,2023-24,Nott'ham Forest,Rodrigo Ribeiro,POR,"MF,FW",18,2005,0.2,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0
ENG-Premier League,2023-24,Nott'ham Forest,Ryan Yates,ENG,MF,25,1997,22.1,829,749,77,27,2,0,6,2,0,0,0,0,659,3,23
ENG-Premier League,2023-24,Nott'ham Forest,Scott McKenna,SCO,DF,26,1996,4.6,186,168,18,1,0,0,0,17,0,0,0,0,137,0,2
ENG-Premier League,2023-24,Nott'ham Forest,Serge Aurier,CIV,"DF,MF",30,1992,9.3,448,407,41,6,1,0,22,35,0,0,0,0,348,0,8
ENG-Premier League,2023-24,Nott'ham Forest,Taiwo Awoniyi,NGA,FW,25,1997,11.6,175,169,4,0,2,1,1,0,0,0,0,0,127,2,3
ENG-Premier League,2023-24,Nott'ham Forest,Willy Boly,CIV,DF,32,1991,16.0,671,599,69,13,1,1,1,56,0,0,0,0,502,3,10
ENG-Premier League,2023-24,Sheffield Utd,Andre Brooks,ENG,"MF,DF",19,2003,10.4,260,251,9,2,0,2,8,5,0,0,0,0,196,0,12
ENG-Premier League,2023-24,Sheffield Utd,Anel Ahmedhodžić,BIH,DF,24,1999,29.4,993,955,36,11,1,2,6,25,0,0,0,0,749,2,20
ENG-Premier League,2023-24,Sheffield Utd,Anis Ben Slimane,TUN,MF,22,2001,4.7,139,129,7,1,1,0,0,0,0,0,0,0,92,3,7
ENG-Premier League,2023-24,Sheffield Utd,Antwoine Hackford,ENG,FW,19,2004,0.1,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0
ENG-Premier League,2023-24,Sheffield Utd,Auston Trusty,USA,DF,24,1998,28.6,918,840,76,7,0,0,5,68,0,0,0,0,700,2,11
ENG-Premier League,2023-24,Sheffield Utd,Ben Brereton,CHI,"FW,MF",24,1999,12.3,266,247,19,0,0,0,9,4,1,0,0,0,201,0,8
ENG-Premier League,2023-24,Sheffield Utd,Ben Osborn,ENG,"DF,MF",28,1994,15.2,608,526,77,8,1,1,47,50,12,10,0,0,448,5,15
ENG-Premier League,2023-24,Sheffield Utd,Bénie Traoré,CIV,"FW,MF",20,2002,4.3,71,65,5,0,2,0,3,0,0,0,0,0,55,1,4
ENG-Premier League,2023-24,Sheffield Utd,Cameron Archer,ENG,"FW,MF",22,2001,20.4,332,310,22,0,2,1,5,0,0,0,0,0,266,0,15
ENG-Premier League,2023-24,Sheffield Utd,Chris Basham,ENG,"DF,MF",35,1988,3.6,138,125,13,1,0,1,4,12,0,0,0,0,103,0,2
ENG-Premier League,2023-24,Sheffield Utd,Daniel Jebbison,CAN,FW,19,2003,0.2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,2
ENG-Premier League,2023-24,Sheffield Utd,George Baldock,GRE,DF,30,1993,10.8,397,335,60,2,0,0,18,58,0,0,0,0,291,2,18
ENG-Premier League,2023-24,Sheffield Utd,Gustavo Hamer,NED,MF,26,1997,32.3,1103,946,152,43,5,9,115,1,78,45,22,4,756,5,27
ENG-Premier League,2023-24,Sheffield Utd,Ivo Grbić,CRO,GK,27,1996,8.6,298,162,134,45,0,0,0,0,0,0,0,0,148,2,0
ENG-Premier League,2023-24,Sheffield Utd,Jack Robinson,ENG,DF,29,1993,32.1,1255,1045,205,32,1,7,12,173,0,0,0,0,895,5,21
ENG-Premier League,2023-24,Sheffield Utd,James Mcatee,ENG,"MF,FW",20,2002,20.2,530,484,42,7,6,1,36,1,7,5,0,0,362,4,17
ENG-Premier League,2023-24,Sheffield Utd,Jayden Bogle,ENG,DF,23,2000,31.0,969,803,164,8,1,3,40,155,0,0,0,0,684,2,32
ENG-Premier League,2023-24,Sheffield Utd,John Egan,IRL,DF,30,1992,5.4,185,181,2,2,0,0,0,0,0,0,0,0,128,2,1
ENG-Premier League,2023-24,Sheffield Utd,John Fleck,SCO,"MF,DF",31,1991,1.0,40,36,4,2,1,0,0,0,0,0,0,0,29,0,0
ENG-Premier League,2023-24,Sheffield Utd,Luke Thomas,ENG,DF,22,2001,10.2,319,287,32,1,0,0,13,31,0,0,0,0,234,0,14
ENG-Premier League,2023-24,Sheffield Utd,Mason Holgate,JAM,DF,26,1996,7.9,211,169,41,3,0,1,7,38,0,0,0,0,138,1,2
ENG-Premier League,2023-24,Sheffield Utd,Max Lowe,ENG,"DF,MF",26,1997,5.6,130,113,17,0,0,0,8,15,2,2,0,0,84,0,6
ENG-Premier League,2023-24,Sheffield Utd,Oliver Arblaster,ENG,MF,19,2004,10.5,441,409,29,13,1,2,7,0,6,3,0,0,351,3,9
ENG-Premier League,2023-24,Sheffield Utd,Oliver McBurnie,SCO,FW,27,1996,14.2,408,400,3,0,1,1,5,0,0,0,0,0,242,5,14
ENG-Premier League,2023-24,Sheffield Utd,Oliver Norwood,NIR,MF,32,1991,16.0,911,813,95,55,2,8,52,1,35,5,25,2,634,3,10
ENG-Premier League,2023-24,Sheffield Utd,Rhian Brewster,ENG,"FW,MF",23,2000,3.8,76,73,3,0,0,0,3,0,0,0,0,0,52,0,1
ENG-Premier League,2023-24,Sheffield Utd,Rhys Norrington-Davies,WAL,DF,24,1999,1.2,67,55,12,1,0,1,2,11,0,0,0,0,48,0,2
ENG-Premier League,2023-24,Sheffield Utd,Ryan One,SCO,FW,17,2006,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ENG-Premier League,2023-24,Sheffield Utd,Sam Curtis,IRL,DF,17,2005,0.3,10,8,2,0,0,0,1,2,0,0,0,0,6,0,1
ENG-Premier League,2023-24,Sheffield Utd,Sydie Peck,ENG,MF,18,2004,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ENG-Premier League,2023-24,Sheffield Utd,Tom Davies,ENG,MF,25,1998,2.5,99,92,5,2,1,0,4,1,0,0,0,0,68,2,5
ENG-Premier League,2023-24,Sheffield Utd,Vinicius Souza,BRA,MF,24,1999,29.6,995,979,13,10,0,8,10,2,0,0,0,0,790,3,30
ENG-Premier League,2023-24,Sheffield Utd,Wes Foderingham,ENG,GK,32,1991,29.4,1055,659,386,124,0,4,0,0,0,0,0,0,596,10,1
ENG-Premier League,2023-24,Sheffield Utd,William Osula,DEN,FW,19,2003,8.7,93,90,2,0,0,0,2,0,0,0,0,0,49,1,1
ENG-Premier League,2023-24,Sheffield Utd,Yasser Larouci,ALG,DF,22,2001,5.9,185,171,13,0,0,0,6,13,0,0,0,0,131,1,14
ENG-Premier League,2023-24,Tottenham,Alejo Véliz,ARG,FW,19,2003,0.6,10,8,2,0,0,0,0,0,0,0,0,0,5,0,0
ENG-Premier League,2023-24,Tottenham,Ben Davies,WAL,DF,30,1993,12.1,850,788,61,34,3,3,10,27,0,0,0,0,766,1,10
ENG-Premier League,2023-24,Tottenham,Brennan Johnson,WAL,FW,22,2001,23.2,728,710,14,0,0,1,68,13,0,0,0,0,519,4,37
ENG-Premier League,2023-24,Tottenham,Bryan Gil,ESP,"FW,MF",22,2001,2.3,157,155,2,0,0,0,11,2,0,0,0,0,127,0,7
ENG-Premier League,2023-24,Tottenham,Cristian Romero,ARG,DF,25,1998,31.0,2606,2456,147,123,6,4,3,14,0,0,0,0,2390,3,24
ENG-Premier League,2023-24,Tottenham,Dane Scarlett,ENG,FW,19,2004,0.2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
ENG-Premier League,2023-24,Tottenham,Davinson Sánchez,COL,DF,27,1996,0.9,75,73,2,1,0,0,0,1,0,0,0,0,68,0,0
ENG-Premier League,2023-24,Tottenham,Dejan Kulusevski,SWE,"FW,MF",23,2000,30.7,1234,1185,42,8,12,6,89,6,24,6,0,0,953,7,55
ENG-Premier League,2023-24,Tottenham,Destiny Udogie,ITA,DF,20,2002,26.6,1440,1212,225,24,0,0,22,201,0,0,0,0,1235,3,42
ENG-Premier League,2023-24,Tottenham,Emerson,BRA,DF,24,1999,12.9,1038,915,122,45,1,2,14,75,0,0,0,0,937,1,23
ENG-Premier League,2023-24,Tottenham,Eric Dier,ENG,DF,29,1994,2.2,141,132,9,6,0,0,0,0,0,0,0,0,125,0,0
ENG-Premier League,2023-24,Tottenham,Giovani Lo Celso,ARG,MF,27,1996,5.6,503,466,32,23,2,0,13,2,7,5,0,0,449,5,8
ENG-Premier League,2023-24,Tottenham,Guglielmo Vicario,ITA,GK,26,1996,38.0,1569,1272,292,91,0,0,0,0,0,0,0,0,1335,5,1
ENG-Premier League,2023-24,Tottenham,Ivan Perišić,CRO,FW,34,1989,1.1,76,72,4,1,0,1,13,2,1,1,0,0,53,0,1
ENG-Premier League,2023-24,Tottenham,James Maddison,ENG,MF,26,1996,23.7,1500,1322,167,59,14,6,133,10,96,45,34,0,1210,11,30
ENG-Premier League,2023-24,Tottenham,Jamie Donley,NIR,FW,18,2005,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ENG-Premier League,2023-24,Tottenham,Manor Solomon,ISR,FW,24,1999,2.2,90,90,0,0,1,0,5,0,0,0,0,0,78,0,1
ENG-Premier League,2023-24,Tottenham,Micky van de Ven,NED,DF,22,2001,26.0,1810,1707,100,48,0,1,3,21,0,0,0,0,1698,3,5
ENG-Premier League,2023-24,Tottenham,Mikey Moore,ENG,MF,15,2007,0.0,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
ENG-Premier League,2023-24,Tottenham,Oliver Skipp,ENG,"MF,DF",22,2000,7.9,383,366,16,8,1,0,1,8,0,0,0,0,351,1,2
ENG-Premier League,2023-24,Tottenham,Pape Matar Sarr,SEN,MF,20,2002,23.0,1349,1329,18,5,6,3,25,9,1,0,0,0,1179,2,27
ENG-Premier League,2023-24,Tottenham,Pedro Porro,ESP,DF,23,1999,34.3,2369,1907,451,56,14,11,198,295,100,36,36,1,1806,11,68
ENG-Premier League,2023-24,Tottenham,Pierre Højbjerg,DEN,MF,27,1995,14.6,1415,1364,41,31,2,12,14,8,2,0,0,0,1234,10,14
ENG-Premier League,2023-24,Tottenham,Radu Drăgușin,ROU,DF,21,2002,4.8,370,352,18,8,1,0,0,1,0,0,0,0,326,0,3
ENG-Premier League,2023-24,Tottenham,Richarlison,BRA,FW,26,1997,16.6,392,360,29,3,2,3,14,1,0,0,0,0,267,3,25
ENG-Premier League,2023-24,Tottenham,Rodrigo Bentancur,URU,MF,26,1997,11.2,800,786,10,9,4,0,9,0,0,0,0,0,674,4,26
ENG-Premier League,2023-24,Tottenham,Son Heung-min,KOR,FW,31,1992,32.6,1075,996,75,3,17,2,36,10,3,0,0,0,887,4,36
ENG-Premier League,2023-24,Tottenham,Timo Werner,GER,FW,27,1996,9.0,366,349,16,2,2,0,28,14,0,0,0,0,281,1,16
ENG-Premier League,2023-24,Tottenham,Yves Bissouma,MLI,MF,26,1996,23.0,1842,1787,51,48,3,4,1,3,0,0,0,0,1689,4,19
ENG-Premier League,2023-24,West Ham,Aaron Cresswell,ENG,"DF,FW",33,1989,4.8,308,245,63,9,0,4,11,50,4,1,3,0,254,0,3
ENG-Premier League,2023-24,West Ham,Alphonse Areola,FRA,GK,30,1993,30.0,867,555,307,88,0,2,0,0,0,0,0,0,562,5,0
ENG-Premier League,2023-24,West Ham,Angelo Ogbonna,ITA,DF,35,1988,7.1,214,194,20,12,0,2,0,0,0,0,0,0,171,0,2
ENG-Premier League,2023-24,West Ham,Ben Johnson,ENG,"DF,FW",23,2000,6.0,334,289,43,3,0,3,31,39,1,0,0,0,246,2,15
ENG-Premier League,2023-24,West Ham,Danny Ings,ENG,FW,31,1992,4.5,107,100,6,0,0,0,1,0,0,0,0,0,76,1,6
ENG-Premier League,2023-24,West Ham,Divin Mubama,ENG,FW,18,2004,0.9,22,20,2,0,0,0,0,0,0,0,0,0,16,0,0
ENG-Premier League,2023-24,West Ham,Edson Álvarez,MEX,MF,25,1997,26.4,1207,1184,18,15,2,9,4,3,0,0,0,0,1033,5,14
ENG-Premier League,2023-24,West Ham,Emerson Palmieri,ITA,DF,28,1994,34.9,1745,1459,280,18,2,5,49,256,6,0,5,0,1421,6,57
ENG-Premier League,2023-24,West Ham,George Earthy,ENG,FW,18,2004,0.4,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0
ENG-Premier League,2023-24,West Ham,James Ward-Prowse,ENG,MF,28,1994,33.3,1672,1422,242,80,2,16,189,3,119,64,53,0,1386,8,19
ENG-Premier League,2023-24,West Ham,Jarrod Bowen,ENG,FW,26,1996,33.5,702,641,59,2,5,3,75,3,32,27,0,0,484,2,52
ENG-Premier League,2023-24,West Ham,Kaelan Casey,ENG,DF,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2023-24,West Ham,Kalvin Phillips,ENG,MF,27,1995,3.4,179,170,7,6,1,1,1,1,0,0,0,0,141,2,2
ENG-Premier League,2023-24,West Ham,Konstantinos Mavropanos,GRE,DF,25,1997,16.7,635,597,36,29,1,11,1,5,0,0,0,0,482,2,7
ENG-Premier League,2023-24,West Ham,Kurt Zouma,FRA,DF,28,1994,31.5,1148,1096,50,39,1,28,0,3,0,0,0,0,962,2,10
ENG-Premier League,2023-24,West Ham,Lucas Paquetá,BRA,"FW,MF",25,1997,29.1,1465,1397,60,20,30,17,35,11,0,0,0,0,1082,8,53
ENG-Premier League,2023-24,West Ham,Maxwel Cornet,CIV,"MF,FW",26,1996,1.2,49,48,1,0,0,0,1,0,0,0,0,0,36,0,2
ENG-Premier League,2023-24,West Ham,Michail Antonio,JAM,FW,33,1990,18.8,308,288,18,1,3,4,27,11,0,0,0,0,180,2,22
ENG-Premier League,2023-24,West Ham,Mohammed Kudus,GHA,"FW,MF",22,2000,27.6,875,855,16,8,3,6,94,4,2,1,0,0,677,4,43
ENG-Premier League,2023-24,West Ham,Nayef Aguerd,MAR,DF,27,1996,20.6,1177,1100,75,55,1,29,5,6,0,0,0,0,943,2,5
ENG-Premier League,2023-24,West Ham,Pablo Fornals,ESP,"MF,FW",27,1996,4.7,210,204,6,2,0,2,8,2,0,0,0,0,162,0,6
ENG-Premier League,2023-24,West Ham,Saïd Benrahma,ALG,"FW,MF",27,1995,6.9,257,253,2,2,5,0,17,0,0,0,0,0,193,2,9
ENG-Premier League,2023-24,West Ham,Thilo Kehrer,GER,"DF,MF",26,1996,0.2,9,7,2,0,0,0,0,2,0,0,0,0,9,0,0
ENG-Premier League,2023-24,West Ham,Tomáš Souček,CZE,MF,28,1995,31.9,962,949,7,2,2,9,6,3,0,0,0,0,722,6,27
ENG-Premier League,2023-24,West Ham,Vladimír Coufal,CZE,DF,30,1992,34.8,1665,1317,337,17,2,4,106,319,1,0,0,0,1154,11,56
ENG-Premier League,2023-24,West Ham,Łukasz Fabiański,POL,GK,38,1985,8.0,239,161,77,21,0,3,0,0,0,0,0,0,160,1,1
ENG-Premier League,2023-24,Wolves,Boubacar Traoré,MLI,MF,21,2001,9.1,455,444,10,4,0,2,6,5,0,0,0,0,383,1,7
ENG-Premier League,2023-24,Wolves,Craig Dawson,ENG,DF,33,1990,24.5,1277,1236,38,29,2,22,1,1,0,0,0,0,1104,3,9
ENG-Premier League,2023-24,Wolves,Daniel Bentley,ENG,GK,30,1993,4.3,144,98,46,13,0,0,0,0,0,0,0,0,96,0,0
ENG-Premier League,2023-24,Wolves,Enso Gonzalez,PAR,"MF,DF",18,2005,0.0,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
ENG-Premier League,2023-24,Wolves,Fábio Silva,POR,FW,21,2002,2.9,76,72,4,1,1,0,0,1,0,0,0,0,61,0,0
ENG-Premier League,2023-24,Wolves,Hugo Bueno,ESP,"DF,MF",20,2002,8.2,406,358,46,1,0,1,29,45,0,0,0,0,318,2,18
ENG-Premier League,2023-24,Wolves,Hwang Hee-chan,KOR,"FW,MF",27,1996,23.5,551,508,43,1,3,3,11,10,4,0,0,0,424,0,23
ENG-Premier League,2023-24,Wolves,Jean-Ricner Bellegarde,FRA,"MF,FW",25,1998,10.6,314,297,15,4,1,0,30,1,6,3,3,0,241,2,11
ENG-Premier League,2023-24,Wolves,Jonny Castro,ESP,MF,29,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2023-24,Wolves,José Sá,POR,GK,30,1993,33.7,1097,771,323,70,0,1,0,0,0,0,0,0,720,3,1
ENG-Premier League,2023-24,Wolves,João Gomes,BRA,MF,22,2001,29.4,1279,1209,62,35,7,5,25,9,14,4,4,3,1051,8,32
ENG-Premier League,2023-24,Wolves,Leon Chiwome,ENG,FW,17,2006,1.9,22,18,4,0,0,0,0,0,0,0,0,0,19,0,1
ENG-Premier League,2023-24,Wolves,Mario Lemina,GAB,MF,29,1993,33.0,1470,1432,31,21,8,12,15,9,0,0,0,0,1261,7,9
ENG-Premier League,2023-24,Wolves,Matheus Cunha,BRA,"FW,MF",24,1999,27.1,831,769,56,8,8,7,24,15,3,1,0,0,658,6,19
ENG-Premier League,2023-24,Wolves,Matheus Nunes,POR,MF,24,1998,2.0,106,97,8,4,0,0,3,2,1,1,0,0,87,1,2
ENG-Premier League,2023-24,Wolves,Matt Doherty,IRL,"DF,MF",31,1992,12.8,653,566,87,11,0,5,13,76,0,0,0,0,515,0,18
ENG-Premier League,2023-24,Wolves,Max Kilman,ENG,DF,26,1997,38.0,2309,2245,55,38,2,20,6,8,0,0,0,0,1979,9,13
ENG-Premier League,2023-24,Wolves,Nathan Fraser,IRL,FW,18,2005,2.1,42,39,3,0,0,0,0,0,0,0,0,0,33,0,3
ENG-Premier League,2023-24,Wolves,Nélson Semedo,POR,"DF,MF",29,1993,34.3,1849,1571,273,25,2,9,80,248,0,0,0,0,1474,5,42
ENG-Premier League,2023-24,Wolves,Pablo Sarabia,ESP,"MF,FW",31,1992,19.4,976,837,130,34,9,7,131,7,71,37,19,10,684,9,44
ENG-Premier League,2023-24,Wolves,Pedro Neto,POR,"FW,MF",23,2000,16.8,722,645,73,23,1,5,115,14,34,16,10,2,538,4,17
ENG-Premier League,2023-24,Wolves,Rayan Aït-Nouri,ALG,"DF,MF",22,2001,25.9,1190,1047,138,24,2,5,41,106,8,5,2,0,1005,5,24
ENG-Premier League,2023-24,Wolves,Santiago Bueno,URU,DF,24,1998,9.1,480,468,12,7,0,1,2,2,0,0,0,0,426,0,5
ENG-Premier League,2023-24,Wolves,Sasa Kalajdzic,AUT,FW,26,1997,1.8,60,59,1,0,0,0,1,0,0,0,0,0,38,0,0
ENG-Premier League,2023-24,Wolves,Tawanda Chirewa,ZIM,"MF,FW",19,2003,1.6,58,54,3,1,0,0,4,0,0,0,0,0,46,1,2
ENG-Premier League,2023-24,Wolves,Tommy Doyle,ENG,MF,21,2001,13.6,955,878,69,44,2,15,28,8,15,8,3,0,801,8,11
ENG-Premier League,2023-24,Wolves,Toti Gomes,POR,DF,24,1999,30.8,1847,1685,158,41,1,5,13,117,0,0,0,0,1516,4,22
ESP-La Liga,2023-24,Alavés,Abdel Abqar,MAR,DF,24,1999,25.7,762,704,55,50,0,17,2,4,0,0,0,0,553,3,10
ESP-La Liga,2023-24,Alavés,Abderrahman Rebbach,ALG,"FW,MF",24,1998,8.0,225,179,44,3,0,1,63,12,28,10,8,2,124,2,18
ESP-La Liga,2023-24,Alavés,Aleksandar Sedlar,SRB,DF,31,1991,10.5,405,387,17,11,0,1,0,1,0,0,0,0,343,1,1
ESP-La Liga,2023-24,Alavés,Alex Sola,ESP,"FW,MF",24,1999,14.0,430,364,66,4,0,1,84,41,21,3,13,0,269,0,25
ESP-La Liga,2023-24,Alavés,Ander Guevara,ESP,MF,26,1997,32.6,1471,1431,35,26,8,3,8,2,7,1,0,0,1111,5,35
ESP-La Liga,2023-24,Alavés,Andoni Gorosabel,ESP,DF,26,1996,31.7,1329,1014,311,25,0,3,81,285,1,0,0,0,1059,4,32
ESP-La Liga,2023-24,Alavés,Antonio Blanco,ESP,MF,23,2000,27.0,1053,1018,30,25,4,21,15,2,3,1,0,0,811,5,27
ESP-La Liga,2023-24,Alavés,Antonio Sivera,ESP,GK,26,1996,34.0,1105,653,449,154,0,8,0,0,0,0,0,0,651,3,0
ESP-La Liga,2023-24,Alavés,Carlos Benavídez,URU,MF,25,1998,12.6,459,447,11,7,1,6,4,3,1,0,0,0,321,1,3
ESP-La Liga,2023-24,Alavés,Carlos Vicente,ESP,FW,24,1999,12.4,357,301,55,13,1,1,90,6,36,8,17,0,201,1,20
ESP-La Liga,2023-24,Alavés,Eneko Ortiz,ESP,DF,20,2003,0.2,4,2,2,0,0,0,1,2,0,0,0,0,3,0,1
ESP-La Liga,2023-24,Alavés,Giuliano Simeone,ARG,FW,20,2002,7.0,169,165,4,0,1,0,14,1,1,0,0,0,114,0,8
ESP-La Liga,2023-24,Alavés,Ianis Hagi,ROU,"MF,FW",24,1998,8.9,301,227,71,15,4,5,54,15,32,10,12,0,194,3,14
ESP-La Liga,2023-24,Alavés,Javi López,ESP,DF,21,2002,26.5,1129,865,258,14,2,12,105,244,0,0,0,0,775,6,47
ESP-La Liga,2023-24,Alavés,Jesús Owono,EQG,GK,22,2001,4.0,119,75,44,13,0,0,0,0,0,0,0,0,77,0,0
ESP-La Liga,2023-24,Alavés,Joaquín Panichelli,ARG,"FW,MF",20,2002,2.5,46,43,2,0,0,1,0,1,0,0,0,0,29,1,3
ESP-La Liga,2023-24,Alavés,Jon Guridi,ESP,MF,28,1995,29.8,830,805,19,1,2,3,21,1,0,0,0,0,643,6,20
ESP-La Liga,2023-24,Alavés,Jon Karrikaburu,ESP,"MF,FW",20,2002,0.2,5,3,1,0,0,0,0,0,0,0,0,0,2,1,0
ESP-La Liga,2023-24,Alavés,Kiké,ESP,"FW,MF",33,1989,15.8,301,288,10,0,2,1,10,0,0,0,0,0,200,3,9
ESP-La Liga,2023-24,Alavés,Luis Rioja,ESP,"FW,MF",29,1993,27.8,855,757,91,22,2,4,174,16,53,12,22,2,551,7,51
ESP-La Liga,2023-24,Alavés,Mamadou Sylla,SEN,"FW,MF",29,1994,0.2,7,6,1,0,0,0,0,0,0,0,0,0,3,0,0
ESP-La Liga,2023-24,Alavés,Miguel,ESP,"FW,MF",23,1999,0.7,15,12,3,0,0,0,0,0,0,0,0,0,7,0,1
ESP-La Liga,2023-24,Alavés,Nahuel Tenaglia,ARG,DF,27,1996,12.7,454,384,67,13,1,3,17,54,0,0,0,0,330,3,13
ESP-La Liga,2023-24,Alavés,Rafa Marín,ESP,DF,21,2002,27.1,1025,962,60,54,0,23,1,3,0,0,0,0,846,3,7
ESP-La Liga,2023-24,Alavés,Rubén Duarte,ESP,DF,27,1995,20.9,827,658,160,55,0,8,70,104,1,0,0,0,566,9,10
ESP-La Liga,2023-24,Alavés,Samu Omorodion,ESP,FW,19,2004,21.3,322,278,43,1,1,1,2,3,0,0,0,0,232,1,8
ESP-La Liga,2023-24,Alavés,Tomás Mendes,ESP,MF,18,2004,0.1,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0
ESP-La Liga,2023-24,Alavés,Unai Ropero,ESP,MF,21,2001,0.1,5,3,1,0,0,0,0,0,1,0,0,0,4,1,0
ESP-La Liga,2023-24,Alavés,Victor Parada,ESP,"FW,MF",21,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP-La Liga,2023-24,Alavés,Xeber,ESP,"FW,MF",26,1997,3.4,100,96,4,0,0,1,14,2,2,0,2,0,68,0,9
ESP-La Liga,2023-24,Almería,Adri Embarba,ESP,"FW,MF",31,1992,27.5,928,770,150,35,0,16,171,16,94,36,31,0,609,8,43
ESP-La Liga,2023-24,Almería,Alejandro Pozo Pozo,ESP,"DF,MF",24,1999,10.8,598,481,112,9,1,1,41,103,0,0,0,0,443,5,20
ESP-La Liga,2023-24,Almería,Aleksandar Radovanović,SRB,DF,29,1993,6.3,197,190,6,3,0,4,0,0,0,0,0,0,181,1,0
ESP-La Liga,2023-24,Almería,Anthony Lozano,HON,FW,30,1993,8.6,136,120,15,0,0,0,4,0,0,0,0,0,98,1,4
ESP-La Liga,2023-24,Almería,Arnau Puigmal,ESP,"FW,DF",22,2001,2.8,93,80,13,2,0,0,14,5,5,3,2,0,65,0,3
ESP-La Liga,2023-24,Almería,Bruno Langa,MOZ,DF,25,1997,9.1,400,320,80,13,0,3,16,67,0,0,0,0,307,0,13
ESP-La Liga,2023-24,Almería,Chumi,ESP,DF,24,1999,27.0,1208,1139,64,21,0,4,2,25,0,0,0,0,1044,5,11
ESP-La Liga,2023-24,Almería,César Montes,MEX,DF,26,1997,19.9,973,927,39,36,1,16,3,0,0,0,0,0,750,7,4
ESP-La Liga,2023-24,Almería,Diego Mariño,ESP,GK,33,1990,1.0,27,25,2,0,0,0,0,0,0,0,0,0,23,0,0
ESP-La Liga,2023-24,Almería,Dion Lopy,SEN,MF,21,2002,21.3,882,855,25,18,2,15,7,7,0,0,0,0,745,2,11
ESP-La Liga,2023-24,Almería,Fernando,ESP,GK,33,1990,4.0,160,123,36,10,0,0,0,0,0,0,0,0,110,1,0
ESP-La Liga,2023-24,Almería,Gonzalo Melero,ESP,"MF,FW",29,1994,12.3,465,443,20,10,0,0,4,3,0,0,0,0,381,2,5
ESP-La Liga,2023-24,Almería,Houboulang Mendes,GNB,DF,25,1998,4.4,177,114,61,8,0,1,4,53,0,0,0,0,129,2,3
ESP-La Liga,2023-24,Almería,Ibrahima Koné,MLI,FW,24,1999,3.1,56,49,7,0,0,0,2,2,0,0,0,0,38,0,0
ESP-La Liga,2023-24,Almería,Iddrisu Baba,GHA,MF,27,1996,15.9,654,636,15,15,2,2,4,0,0,0,0,0,543,3,10
ESP-La Liga,2023-24,Almería,Jonathan Viera,ESP,MF,33,1989,10.1,545,512,31,20,5,0,6,4,2,1,0,0,468,2,8
ESP-La Liga,2023-24,Almería,Kaiky,BRA,DF,19,2004,5.8,263,252,11,10,0,3,1,1,0,0,0,0,217,0,4
ESP-La Liga,2023-24,Almería,Largie Ramazani,BEL,"FW,MF",22,2001,17.3,340,331,7,1,4,2,32,3,1,1,0,0,203,2,17
ESP-La Liga,2023-24,Almería,Lucas Robertone,ARG,MF,26,1997,26.5,1363,1250,105,58,10,12,67,8,30,7,18,0,1107,8,18
ESP-La Liga,2023-24,Almería,Luis Javier Suárez,COL,FW,25,1997,10.2,202,184,17,1,2,1,7,0,0,0,0,0,150,1,7
ESP-La Liga,2023-24,Almería,Luka Romero,ARG,FW,18,2004,4.9,148,145,3,2,0,0,2,1,0,0,0,0,137,0,0
ESP-La Liga,2023-24,Almería,Luís Maximiano,POR,GK,24,1999,33.0,1266,862,397,133,0,1,0,0,0,0,0,0,833,7,0
ESP-La Liga,2023-24,Almería,Lázaro,BRA,"FW,MF",21,2002,3.2,100,87,12,4,1,2,12,3,5,3,2,0,69,1,4
ESP-La Liga,2023-24,Almería,Léo Baptistão,BRA,FW,30,1992,20.4,568,534,31,0,1,3,27,8,0,0,0,0,366,3,30
ESP-La Liga,2023-24,Almería,Marc Pubill,ESP,DF,20,2003,20.9,958,743,213,26,0,3,68,187,0,0,0,0,686,2,32
