league,season,team,player,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
ENG-Premier League,2023-24,Aston Villa,Kaine Kesler-Hayden,ENG,"MF,DF",20,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2023-24,Aston Villa,Leander Dendoncker,BEL,MF,28,1995,1.3,56,56,0,0,0,1,0,0,0,0,0,0,45,0,0
ENG-Premier League,2023-24,Aston Villa,Leon Bailey,JAM,"MF,FW",25,1997,23.0,790,745,40,2,11,7,75,9,29,20,0,0,573,5,38
ENG-Premier League,2023-24,Aston Villa,Lucas Digne,FRA,DF,30,1993,26.8,1351,1095,253,36,0,4,154,181,36,25,5,0,1015,3,42
ENG-Premier League,2023-24,Aston Villa,Matty Cash,POL,DF,25,1997,23.8,1225,1043,181,24,0,3,39,157,0,0,0,0,985,1,24
ENG-Premier League,2023-24,Aston Villa,Morgan Rogers,ENG,"MF,FW",21,2002,7.1,195,182,10,0,2,2,2,2,0,0,0,0,147,3,7
ENG-Premier League,2023-24,Aston Villa,Moussa Diaby,FRA,"FW,MF",24,1999,24.2,619,567,51,3,6,2,45,4,1,0,0,0,485,1,15
ENG-Premier League,2023-24,Aston Villa,Nicolò Zaniolo,ITA,"FW,MF",24,1999,9.3,228,225,2,0,0,2,18,1,0,0,0,0,150,1,23
ENG-Premier League,2023-24,Aston Villa,Ollie Watkins,ENG,FW,27,1995,35.7,609,586,21,1,5,1,13,4,0,0,0,0,459,2,17
ENG-Premier League,2023-24,Aston Villa,Omari Kellyman,ENG,FW,17,2005,0.4,7,6,1,0,0,0,0,0,0,0,0,0,6,0,0
ENG-Premier League,2023-24,Aston Villa,Pau Torres,ESP,DF,26,1997,27.4,1788,1663,120,79,1,26,8,5,0,0,0,0,1562,5,9
ENG-Premier League,2023-24,Aston Villa,Philippe Coutinho,BRA,"MF,FW",31,1992,0.3,24,23,1,0,0,0,0,0,0,0,0,0,20,0,0
ENG-Premier League,2023-24,Aston Villa,Robin Olsen,SWE,GK,33,1990,4.5,203,163,40,13,0,0,0,0,0,0,0,0,165,0,0
ENG-Premier League,2023-24,Aston Villa,Tim Iroegbunam,ENG,MF,20,2003,1.8,55,54,1,1,0,0,0,0,0,0,0,0,51,0,1
ENG-Premier League,2023-24,Aston Villa,Tyrone Mings,ENG,DF,30,1993,0.3,5,5,0,0,1,0,0,0,0,0,0,0,5,0,0
ENG-Premier League,2023-24,Aston Villa,Youri Tielemans,BEL,"MF,FW",26,1997,18.0,949,891,54,14,17,3,31,7,18,12,3,0,789,4,21
ENG-Premier League,2023-24,Aston Villa,Álex Moreno,ESP,DF,30,1993,11.5,542,435,106,9,0,0,37,97,0,0,0,0,428,1,33
ENG-Premier League,2023-24,Bournemouth,Adam Smith,ENG,DF,32,1991,23.9,1025,793,229,14,3,1,39,215,0,0,0,0,782,3,26
ENG-Premier League,2023-24,Bournemouth,Alex Scott,ENG,MF,19,2003,11.3,474,429,43,10,2,4,36,4,26,22,1,0,361,2,10
ENG-Premier League,2023-24,Bournemouth,Antoine Semenyo,GHA,FW,23,2000,23.4,647,632,11,0,5,3,45,11,0,0,0,0,452,4,26
ENG-Premier League,2023-24,Bournemouth,Chris Mepham,WAL,DF,25,1997,6.9,359,350,8,5,0,1,1,3,0,0,0,0,296,1,1
ENG-Premier League,2023-24,Bournemouth,Dango Ouattara,BFA,"FW,DF",21,2002,13.7,558,473,84,8,2,1,36,73,3,0,0,0,371,1,23
ENG-Premier League,2023-24,Bournemouth,David Brooks,WAL,"FW,MF",26,1997,3.1,132,120,12,1,1,1,15,5,6,5,0,0,95,0,6
ENG-Premier League,2023-24,Bournemouth,Dominic Sadi,ENG,FW,19,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Dominic Solanke,ENG,FW,25,1997,36.9,544,485,58,0,1,1,6,4,0,0,0,0,400,1,30
ENG-Premier League,2023-24,Bournemouth,Enes Ünal,TUR,"FW,MF",26,1997,3.6,75,68,7,1,0,0,3,0,0,0,0,0,55,0,5
ENG-Premier League,2023-24,Bournemouth,Hamed Junior Traorè,CIV,MF,23,2000,0.5,27,26,1,0,1,0,3,0,1,1,0,0,18,0,1
ENG-Premier League,2023-24,Bournemouth,Illia Zabarnyi,UKR,DF,20,2002,37.0,1805,1755,49,42,2,10,1,1,0,0,0,0,1471,1,11
ENG-Premier League,2023-24,Bournemouth,Ionuț Radu,ROU,GK,26,1997,2.0,68,54,14,3,0,0,0,0,0,0,0,0,56,0,0
ENG-Premier League,2023-24,Bournemouth,Jaidon Anthony,ENG,FW,23,1999,1.7,45,42,3,2,0,0,2,0,1,0,0,0,30,0,3
ENG-Premier League,2023-24,Bournemouth,James Hill,ENG,DF,21,2002,0.8,42,34,8,0,0,0,0,8,0,0,0,0,28,0,2
ENG-Premier League,2023-24,Bournemouth,Joe Rothwell,ENG,MF,28,1995,4.3,216,194,20,11,0,1,12,0,8,6,0,1,179,2,3
ENG-Premier League,2023-24,Bournemouth,Justin Kluivert,NED,"MF,FW",24,1999,21.3,421,399,18,1,0,3,29,7,2,0,0,1,288,4,19
ENG-Premier League,2023-24,Bournemouth,Kieffer Moore,WAL,"FW,MF",30,1992,1.2,42,41,1,0,0,0,2,0,0,0,0,0,28,0,3
ENG-Premier League,2023-24,Bournemouth,Lewis Cook,ENG,MF,26,1997,31.0,1487,1290,195,88,2,3,132,10,93,81,5,1,1135,2,25
ENG-Premier League,2023-24,Bournemouth,Lloyd Kelly,ENG,DF,24,1998,17.3,906,771,129,22,1,10,21,107,0,0,0,0,673,6,19
ENG-Premier League,2023-24,Bournemouth,Luis Sinisterra,COL,"FW,MF",24,1999,7.8,292,292,0,0,1,5,11,0,0,0,0,0,226,0,16
ENG-Premier League,2023-24,Bournemouth,Marcos Senesi,ARG,DF,26,1997,24.9,1297,1244,47,40,4,6,25,7,0,0,0,0,1005,6,17
ENG-Premier League,2023-24,Bournemouth,Marcus Tavernier,ENG,FW,24,1999,23.5,920,790,121,25,3,8,116,35,59,45,2,1,658,9,27
ENG-Premier League,2023-24,Bournemouth,Mark Travers,IRL,GK,24,1999,4.0,118,76,42,16,0,0,0,0,0,0,0,0,67,0,0
ENG-Premier League,2023-24,Bournemouth,Max Aarons,ENG,DF,23,2000,13.7,581,453,127,11,2,3,13,116,0,0,0,0,450,1,23
ENG-Premier League,2023-24,Bournemouth,Milos Kerkez,HUN,DF,19,2003,21.9,844,677,165,5,1,3,55,160,0,0,0,0,613,2,20
ENG-Premier League,2023-24,Bournemouth,Neto,BRA,GK,34,1989,32.0,1060,749,307,84,0,2,0,0,0,0,0,0,692,4,2
ENG-Premier League,2023-24,Bournemouth,Philip Billing,DEN,MF,27,1996,15.5,537,518,17,4,0,6,29,5,6,3,1,0,404,2,17
ENG-Premier League,2023-24,Bournemouth,Romain Faivre,FRA,"MF,FW",25,1998,0.5,26,25,1,1,0,0,3,0,0,0,0,0,19,0,0
ENG-Premier League,2023-24,Bournemouth,Ryan Christie,SCO,MF,28,1995,32.3,1300,1217,78,22,17,18,73,2,30,29,0,0,988,5,26
ENG-Premier League,2023-24,Bournemouth,Tyler Adams,USA,MF,24,1999,1.3,71,67,4,3,0,1,1,1,0,0,0,0,59,0,0
ENG-Premier League,2023-24,Brentford,Aaron Hickey,SCO,DF,21,2002,7.9,277,254,23,3,1,3,5,20,0,0,0,0,243,0,7
ENG-Premier League,2023-24,Brentford,Ben Mee,ENG,DF,33,1989,14.1,667,594,72,15,0,3,5,56,0,0,0,0,511,1,6
ENG-Premier League,2023-24,Brentford,Bryan Mbeumo,CMR,FW,23,1999,21.8,765,668,89,26,15,4,92,15,47,21,10,3,511,8,29
ENG-Premier League,2023-24,Brentford,Christian Nørgaard,DEN,MF,29,1994,27.8,1501,1422,73,23,8,8,22,32,1,0,0,0,1199,6,16
ENG-Premier League,2023-24,Brentford,Ethan Pinnock,JAM,DF,30,1993,28.0,1432,1374,55,26,0,8,7,24,0,0,0,0,1192,3,13
ENG-Premier League,2023-24,Brentford,Frank Onyeka,NGA,MF,25,1998,12.9,396,389,6,2,2,0,16,4,0,0,0,0,299,1,13
ENG-Premier League,2023-24,Brentford,Ivan Toney,ENG,FW,27,1996,16.1,426,395,23,8,5,0,22,8,2,0,0,0,228,8,22
ENG-Premier League,2023-24,Brentford,Josh Dasilva,ENG,"DF,FW",24,1998,0.3,19,17,2,0,0,0,6,0,2,2,0,0,10,0,1
ENG-Premier League,2023-24,Brentford,Keane Lewis-Potter,ENG,"FW,DF",22,2001,16.0,415,404,10,3,2,4,50,6,0,0,0,0,289,1,13
ENG-Premier League,2023-24,Brentford,Kevin Schade,GER,"FW,MF",21,2001,3.7,95,93,0,0,1,0,5,0,0,0,0,0,58,2,4
ENG-Premier League,2023-24,Brentford,Kristoffer Ajer,NOR,DF,25,1998,20.4,810,730,79,9,1,9,22,65,0,0,0,0,610,1,11
ENG-Premier League,2023-24,Brentford,Mads Roerslev,DEN,DF,24,1999,22.1,742,664,74,3,1,3,62,71,0,0,0,0,496,4,29
ENG-Premier League,2023-24,Brentford,Mark Flekken,NED,GK,30,1993,36.5,1580,1122,455,166,0,5,0,0,0,0,0,0,1131,3,0
ENG-Premier League,2023-24,Brentford,Mathias Jensen,DEN,MF,27,1996,24.5,1202,924,272,47,8,25,113,111,65,32,16,5,875,6,24
ENG-Premier League,2023-24,Brentford,Mathias Jørgensen,DEN,DF,33,1990,12.1,593,526,64,3,1,0,8,61,0,0,0,0,446,3,11
ENG-Premier League,2023-24,Brentford,Michael Olakigbe,ENG,"DF,FW",19,2004,0.7,40,38,2,1,0,0,7,1,0,0,0,0,27,0,3
ENG-Premier League,2023-24,Brentford,Mikkel Damsgaard,DEN,MF,23,2000,9.4,432,409,21,5,10,3,29,7,7,4,3,0,300,2,19
ENG-Premier League,2023-24,Brentford,Myles Peart-Harris,ENG,"DF,MF",20,2002,0.1,10,8,2,0,0,0,1,2,0,0,0,0,6,0,0
ENG-Premier League,2023-24,Brentford,Nathan Collins,IRL,DF,22,2001,29.5,1552,1423,123,46,2,13,4,74,0,0,0,0,1261,6,16
ENG-Premier League,2023-24,Brentford,Neal Maupay,FRA,FW,26,1996,14.7,392,362,28,6,5,2,8,10,1,0,0,0,282,2,28
ENG-Premier League,2023-24,Brentford,Rico Henry,ENG,DF,26,1997,4.5,183,165,17,2,0,3,11,15,0,0,0,0,147,1,4
ENG-Premier League,2023-24,Brentford,Saman Ghoddos,IRN,DF,29,1993,8.2,448,370,74,15,0,3,42,34,24,10,10,0,325,4,8
ENG-Premier League,2023-24,Brentford,Sergio Reguilón,ESP,DF,26,1996,12.4,522,428,91,29,1,1,72,35,27,8,11,0,351,3,19
ENG-Premier League,2023-24,Brentford,Shandon Baptiste,GRN,MF,25,1998,2.5,90,87,3,0,0,0,3,1,0,0,0,0,66,0,5
ENG-Premier League,2023-24,Brentford,Thomas Strakosha,ALB,GK,28,1995,1.5,71,45,26,11,0,0,0,0,0,0,0,0,52,0,0
ENG-Premier League,2023-24,Brentford,Vitaly Janelt,GER,"MF,DF",25,1998,33.9,1398,1345,49,14,4,12,59,29,6,2,1,2,1088,4,26
ENG-Premier League,2023-24,Brentford,Yehor Yarmoliuk,UKR,MF,19,2004,7.6,298,296,2,0,0,1,14,2,0,0,0,0,221,0,11
ENG-Premier League,2023-24,Brentford,Yoane Wissa,COD,FW,26,1996,27.7,462,444,17,1,3,3,21,0,2,0,0,0,327,1,19
ENG-Premier League,2023-24,Brighton,Adam Lallana,ENG,"MF,FW",35,1988,9.4,509,491,15,5,3,0,7,0,4,0,0,0,451,3,9
ENG-Premier League,2023-24,Brighton,Adam Webster,ENG,DF,28,1995,12.7,1096,1063,31,23,1,4,1,7,0,0,0,0,997,2,2
ENG-Premier League,2023-24,Brighton,Ansu Fati,ESP,"MF,FW",20,2002,5.8,210,203,4,2,1,1,3,0,0,0,0,0,178,3,10
ENG-Premier League,2023-24,Brighton,Bart Verbruggen,NED,GK,20,2002,21.0,862,771,90,17,0,0,0,1,0,0,0,0,753,1,1
ENG-Premier League,2023-24,Brighton,Benicio Boaitey,ENG,"FW,DF",19,2004,0.4,20,19,1,0,0,0,0,1,0,0,0,0,13,0,0
ENG-Premier League,2023-24,Brighton,Billy Gilmour,SCO,MF,22,2001,23.6,2107,2036,64,34,9,8,34,1,20,11,9,0,1915,7,15
ENG-Premier League,2023-24,Brighton,Carlos Baleba,CMR,MF,19,2004,14.7,775,767,6,6,0,5,0,0,0,0,0,0,713,2,10
ENG-Premier League,2023-24,Brighton,Danny Welbeck,ENG,"FW,MF",32,1990,18.8,515,490,21,1,4,1,3,2,0,0,0,0,423,4,22
ENG-Premier League,2023-24,Brighton,Evan Ferguson,IRL,FW,18,2004,15.2,303,269,32,0,1,0,1,0,0,0,0,0,244,2,13
ENG-Premier League,2023-24,Brighton,Facundo Buonanotte,ARG,"FW,MF",18,2004,15.2,478,467,11,6,1,1,6,3,1,1,0,0,404,0,9
ENG-Premier League,2023-24,Brighton,Igor,BRA,DF,25,1998,18.2,1497,1388,105,25,2,3,1,75,0,0,0,0,1398,4,13
ENG-Premier League,2023-24,Brighton,Jack Hinshelwood,ENG,DF,18,2005,9.7,498,431,67,14,0,3,10,53,0,0,0,0,418,0,4
ENG-Premier League,2023-24,Brighton,Jakub Moder,POL,"MF,DF",24,1999,6.9,304,292,9,2,1,0,6,6,0,0,0,0,243,3,11
ENG-Premier League,2023-24,Brighton,James Milner,ENG,"DF,MF",37,1986,8.6,585,516,66,7,4,2,29,53,6,3,0,0,492,3,10
ENG-Premier League,2023-24,Brighton,Jan Paul van Hecke,NED,DF,23,2000,26.3,2415,2344,65,42,3,6,4,6,0,0,0,0,2225,6,4
ENG-Premier League,2023-24,Brighton,Jason Steele,ENG,GK,32,1990,17.0,673,607,64,10,0,1,0,0,0,0,0,0,570,2,0
ENG-Premier League,2023-24,Brighton,João Pedro,BRA,"FW,MF",21,2001,22.7,818,775,38,2,6,2,29,10,2,0,0,0,659,5,26
ENG-Premier League,2023-24,Brighton,Joël Veltman,NED,DF,31,1992,17.6,906,786,118,35,2,0,11,83,0,0,0,0,758,2,16
ENG-Premier League,2023-24,Brighton,Julio Enciso,PAR,"MF,FW",19,2004,5.3,178,168,8,2,2,0,8,1,2,0,0,0,132,2,5
ENG-Premier League,2023-24,Brighton,Kaoru Mitoma,JPN,FW,26,1997,16.5,650,639,9,1,3,0,44,7,1,0,0,0,509,2,18
ENG-Premier League,2023-24,Brighton,Lewis Dunk,ENG,DF,31,1991,31.9,3233,3005,219,115,2,16,7,5,0,0,0,0,2977,9,5
ENG-Premier League,2023-24,Brighton,Mahmoud Dahoud,GER,MF,27,1996,5.0,328,326,2,2,1,0,3,0,0,0,0,0,284,0,8
ENG-Premier League,2023-24,Brighton,Mark O'Mahony,IRL,FW,18,2005,0.7,16,16,0,0,0,0,0,0,0,0,0,0,13,0,0
ENG-Premier League,2023-24,Brighton,Odeluga Offiah,ENG,DF,20,2002,1.4,80,70,9,0,0,0,3,9,0,0,0,0,63,1,5
ENG-Premier League,2023-24,Brighton,Pascal Groß,GER,"MF,DF",32,1991,34.6,3223,2903,309,120,5,16,238,47,133,56,57,3,2774,11,41
ENG-Premier League,2023-24,Brighton,Pervis Estupiñán,ECU,DF,25,1998,13.8,962,851,107,22,1,3,65,73,12,6,2,0,809,4,20
ENG-Premier League,2023-24,Brighton,Simon Adingra,CIV,FW,21,2002,24.7,840,815,23,3,7,2,76,15,5,0,1,0,634,2,29
ENG-Premier League,2023-24,Brighton,Solly March,ENG,"FW,DF",29,1994,6.2,261,222,39,8,1,1,21,19,12,6,2,0,203,0,7
ENG-Premier League,2023-24,Brighton,Tariq Lamptey,GHA,"DF,FW",22,2000,10.2,454,400,51,2,0,0,31,49,0,0,0,0,379,3,9
ENG-Premier League,2023-24,Brighton,Valentín Barco,ARG,"DF,FW",19,2004,3.4,233,204,28,5,2,1,30,15,8,3,2,2,179,1,5
ENG-Premier League,2023-24,Burnley,Aaron Ramsey,ENG,"MF,FW",20,2003,5.9,151,141,9,1,1,0,2,2,0,0,0,0,118,1,9
ENG-Premier League,2023-24,Burnley,Ameen Al-Dakhil,BEL,DF,21,2002,11.7,637,590,45,11,2,2,3,34,0,0,0,0,537,2,6
ENG-Premier League,2023-24,Burnley,Anass Zaroury,MAR,"FW,MF",22,2000,1.7,70,65,5,0,0,0,11,0,4,2,2,0,43,0,4
ENG-Premier League,2023-24,Burnley,Arijanet Muric,KVX,GK,24,1998,10.0,585,495,85,52,0,4,0,0,0,0,0,0,404,5,0
