league,season,team,player,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
ENG-Premier League,2023-24,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Arsenal,Ben White,ENG,DF,25,1997,33.2,4,13,6,46.2,0.39,0.18,0.31,0.67,13.2,0,0,0,1.2,1.2,0.09,2.8,2.8
ENG-Premier League,2023-24,Arsenal,Bukayo Saka,ENG,FW,21,2001,32.4,16,102,31,30.4,3.14,0.96,0.1,0.32,16.3,0,6,6,15.5,10.8,0.11,0.5,-0.8
ENG-Premier League,2023-24,Arsenal,Cédric Soares,POR,DF,31,1991,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Arsenal,David Raya,ESP,GK,27,1995,32.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Arsenal,Declan Rice,ENG,MF,24,1999,35.8,7,58,20,34.5,1.62,0.56,0.12,0.35,20.4,2,0,0,3.3,3.3,0.06,3.7,3.7
ENG-Premier League,2023-24,Arsenal,Eddie Nketiah,ENG,FW,24,1999,12.0,5,38,12,31.6,3.16,1.0,0.13,0.42,12.7,0,0,0,4.5,4.5,0.12,0.5,0.5
ENG-Premier League,2023-24,Arsenal,Emile Smith Rowe,ENG,MF,23,2000,3.9,0,15,5,33.3,3.82,1.27,0.0,0.0,15.6,0,0,0,2.0,2.0,0.13,-2.0,-2.0
ENG-Premier League,2023-24,Arsenal,Ethan Nwaneri,ENG,FW,16,2007,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Arsenal,Fabio Vieira,POR,"MF,FW",23,2000,3.3,1,6,1,16.7,1.82,0.3,0.0,0.0,18.0,0,1,1,1.3,0.5,0.08,-0.3,-0.5
ENG-Premier League,2023-24,Arsenal,Gabriel Jesus,BRA,FW,26,1997,16.4,4,55,19,34.5,3.35,1.16,0.07,0.21,12.2,0,0,0,6.3,6.3,0.12,-2.3,-2.3
ENG-Premier League,2023-24,Arsenal,Gabriel Magalhães,BRA,DF,25,1997,33.8,4,31,10,32.3,0.92,0.3,0.13,0.4,7.9,0,0,0,4.3,4.3,0.14,-0.3,-0.3
ENG-Premier League,2023-24,Arsenal,Gabriel Martinelli,BRA,FW,22,2001,22.4,6,58,20,34.5,2.59,0.89,0.1,0.3,15.6,0,0,0,6.8,6.8,0.12,-0.8,-0.8
ENG-Premier League,2023-24,Arsenal,Jakub Kiwior,POL,DF,23,2000,10.5,1,6,2,33.3,0.57,0.19,0.17,0.5,13.8,0,0,0,0.8,0.8,0.14,0.2,0.2
ENG-Premier League,2023-24,Arsenal,Jorginho,ITA,MF,31,1991,10.2,0,4,0,0.0,0.39,0.0,0.0,,24.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1
ENG-Premier League,2023-24,Arsenal,Jurriën Timber,NED,DF,22,2001,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Arsenal,Kai Havertz,GER,"MF,FW",24,1999,29.3,13,68,27,39.7,2.32,0.92,0.18,0.44,12.4,0,1,1,12.3,11.6,0.17,0.7,0.4
ENG-Premier League,2023-24,Arsenal,Leandro Trossard,BEL,"FW,MF",28,1994,18.3,12,60,22,36.7,3.27,1.2,0.2,0.55,16.1,0,0,0,7.9,7.9,0.13,4.1,4.1
ENG-Premier League,2023-24,Arsenal,Martin Ødegaard,NOR,MF,24,1998,34.3,8,75,21,28.0,2.18,0.61,0.08,0.29,20.2,4,2,2,7.4,5.8,0.08,0.6,0.2
ENG-Premier League,2023-24,Arsenal,Mohamed Elneny,EGY,MF,31,1992,0.3,0,2,1,50.0,6.43,3.21,0.0,0.0,25.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ENG-Premier League,2023-24,Arsenal,Oleksandr Zinchenko,UKR,DF,26,1996,19.1,1,17,3,17.6,0.89,0.16,0.06,0.33,24.0,0,0,0,0.6,0.6,0.03,0.4,0.4
