league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
ENG-Premier League,2023-24,Arsenal,Gabriel Martinelli,BRA,FW,22,2001,22.4,30,24,9,12,9,13,32,40.6,19,23,1,22,5,35,9,1
ENG-Premier League,2023-24,Arsenal,Jakub Kiwior,POL,DF,23,2000,10.5,20,12,11,8,1,14,19,73.7,5,11,3,8,8,28,28,1
ENG-Premier League,2023-24,Arsenal,Jorginho,ITA,MF,31,1991,10.2,24,10,6,10,8,11,23,47.8,12,17,1,16,12,36,7,1
ENG-Premier League,2023-24,Arsenal,Jurriën Timber,NED,DF,22,2001,0.8,2,2,1,1,0,0,0,,0,1,0,1,0,2,1,0
ENG-Premier League,2023-24,Arsenal,Kai Havertz,GER,"MF,FW",24,1999,29.3,35,15,7,21,7,14,39,35.9,25,26,1,25,20,55,22,0
ENG-Premier League,2023-24,Arsenal,Leandro Trossard,BEL,"FW,MF",28,1994,18.3,27,16,8,9,10,9,25,36.0,16,27,1,26,8,35,6,0
ENG-Premier League,2023-24,Arsenal,Martin Ødegaard,NOR,MF,24,1998,34.3,49,17,18,21,10,17,58,29.3,41,23,1,22,15,64,5,0
ENG-Premier League,2023-24,Arsenal,Mohamed Elneny,EGY,MF,31,1992,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
ENG-Premier League,2023-24,Arsenal,Oleksandr Zinchenko,UKR,DF,26,1996,19.1,50,30,19,24,7,35,52,67.3,17,18,3,15,20,70,26,2
ENG-Premier League,2023-24,Arsenal,Reiss Nelson,ENG,FW,23,1999,3.0,9,6,5,1,3,8,10,80.0,2,5,1,4,1,10,5,0
ENG-Premier League,2023-24,Arsenal,Takehiro Tomiyasu,JPN,DF,24,1998,12.8,20,9,15,4,1,11,18,61.1,7,10,4,6,18,38,33,0
ENG-Premier League,2023-24,Arsenal,Thomas Partey,GHA,"MF,DF",30,1993,8.8,14,11,9,4,1,5,10,50.0,5,9,3,6,11,25,9,0
ENG-Premier League,2023-24,Arsenal,William Saliba,FRA,DF,22,2001,38.0,41,26,28,12,1,20,27,74.1,7,32,17,15,29,70,81,3
ENG-Premier League,2023-24,Aston Villa,Bertrand Traoré,BFA,"DF,FW",27,1995,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0
ENG-Premier League,2023-24,Aston Villa,Boubacar Kamara,FRA,MF,23,1999,18.4,43,29,16,21,6,24,47,51.1,23,21,7,14,21,64,16,0
ENG-Premier League,2023-24,Aston Villa,Calum Chambers,ENG,"MF,DF",28,1995,1.7,3,0,3,0,0,0,1,0.0,1,2,1,1,2,5,4,0
ENG-Premier League,2023-24,Aston Villa,Cameron Archer,ENG,MF,22,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2023-24,Aston Villa,Clément Lenglet,FRA,DF,28,1995,12.8,13,9,7,5,1,7,13,53.8,6,19,11,8,7,20,47,1
ENG-Premier League,2023-24,Aston Villa,Diego Carlos,BRA,DF,30,1993,20.2,27,16,22,4,1,13,21,61.9,8,24,19,5,13,40,78,3
ENG-Premier League,2023-24,Aston Villa,Douglas Luiz,BRA,MF,25,1998,33.3,58,38,21,27,10,25,53,47.2,28,32,8,24,23,81,18,2
ENG-Premier League,2023-24,Aston Villa,Emiliano Martínez,ARG,GK,30,1992,33.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,3
ENG-Premier League,2023-24,Aston Villa,Ezri Konsa,ENG,DF,25,1997,34.1,54,32,28,23,3,23,27,85.2,4,36,20,16,28,82,73,3
ENG-Premier League,2023-24,Aston Villa,Finley Munroe,ENG,MF,18,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2023-24,Aston Villa,Jacob Ramsey,ENG,"FW,MF",22,2001,9.5,16,8,7,6,3,5,15,33.3,10,15,2,13,3,19,8,0
ENG-Premier League,2023-24,Aston Villa,Jaden Philogene Bidace,ENG,FW,21,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2023-24,Aston Villa,John McGinn,SCO,"MF,FW",28,1994,33.3,59,35,18,34,7,32,77,41.6,45,33,4,29,21,80,21,0
ENG-Premier League,2023-24,Aston Villa,Jáder Durán,COL,"FW,MF",19,2003,5.3,6,5,3,1,2,1,6,16.7,5,6,0,6,1,7,10,0
ENG-Premier League,2023-24,Aston Villa,Kaine Kesler-Hayden,ENG,"MF,DF",20,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2023-24,Aston Villa,Leander Dendoncker,BEL,MF,28,1995,1.3,6,4,3,2,1,4,5,80.0,1,5,2,3,2,8,3,1
ENG-Premier League,2023-24,Aston Villa,Leon Bailey,JAM,"MF,FW",25,1997,23.0,13,7,7,4,2,5,20,25.0,15,18,1,17,9,22,6,0
ENG-Premier League,2023-24,Aston Villa,Lucas Digne,FRA,DF,30,1993,26.8,47,19,35,9,3,25,44,56.8,19,20,2,18,26,73,67,0
ENG-Premier League,2023-24,Aston Villa,Matty Cash,POL,DF,25,1997,23.8,54,31,24,24,6,29,59,49.2,30,35,14,21,18,72,59,0
ENG-Premier League,2023-24,Aston Villa,Morgan Rogers,ENG,"MF,FW",21,2002,7.1,8,1,3,2,3,2,11,18.2,9,11,0,11,3,11,11,0
ENG-Premier League,2023-24,Aston Villa,Moussa Diaby,FRA,"FW,MF",24,1999,24.2,12,5,5,4,3,4,22,18.2,18,8,1,7,9,21,6,0
ENG-Premier League,2023-24,Aston Villa,Nicolò Zaniolo,ITA,"FW,MF",24,1999,9.3,19,9,10,7,2,9,17,52.9,8,13,0,13,1,20,11,0
ENG-Premier League,2023-24,Aston Villa,Ollie Watkins,ENG,FW,27,1995,35.7,12,7,0,5,7,5,11,45.5,6,26,4,22,4,16,20,0
ENG-Premier League,2023-24,Aston Villa,Omari Kellyman,ENG,FW,17,2005,0.4,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0
ENG-Premier League,2023-24,Aston Villa,Pau Torres,ESP,DF,26,1997,27.4,29,18,17,11,1,14,30,46.7,16,28,12,16,14,43,75,0
ENG-Premier League,2023-24,Aston Villa,Philippe Coutinho,BRA,"MF,FW",31,1992,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
ENG-Premier League,2023-24,Aston Villa,Robin Olsen,SWE,GK,33,1990,4.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2023-24,Aston Villa,Tim Iroegbunam,ENG,MF,20,2003,1.8,7,5,4,2,1,4,9,44.4,5,3,0,3,2,9,3,0
ENG-Premier League,2023-24,Aston Villa,Tyrone Mings,ENG,DF,30,1993,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
ENG-Premier League,2023-24,Aston Villa,Youri Tielemans,BEL,"MF,FW",26,1997,18.0,41,20,17,18,6,16,40,40.0,24,23,3,20,15,56,9,0
ENG-Premier League,2023-24,Aston Villa,Álex Moreno,ESP,DF,30,1993,11.5,18,12,18,0,0,12,19,63.2,7,11,2,9,13,31,37,0
ENG-Premier League,2023-24,Bournemouth,Adam Smith,ENG,DF,32,1991,23.9,37,23,18,11,8,19,39,48.7,20,28,11,17,21,58,62,0
ENG-Premier League,2023-24,Bournemouth,Alex Scott,ENG,MF,19,2003,11.3,24,15,8,10,6,12,28,42.9,16,14,4,10,12,36,18,2
ENG-Premier League,2023-24,Bournemouth,Antoine Semenyo,GHA,FW,23,2000,23.4,24,17,7,9,8,9,27,33.3,18,39,2,37,6,30,21,0
ENG-Premier League,2023-24,Bournemouth,Chris Mepham,WAL,DF,25,1997,6.9,12,11,9,3,0,9,14,64.3,5,13,6,7,7,19,30,1
ENG-Premier League,2023-24,Bournemouth,Dango Ouattara,BFA,"FW,DF",21,2002,13.7,45,27,22,11,12,19,34,55.9,15,18,3,15,22,67,35,0
ENG-Premier League,2023-24,Bournemouth,David Brooks,WAL,"FW,MF",26,1997,3.1,5,4,2,1,2,2,4,50.0,2,3,0,3,2,7,2,0
ENG-Premier League,2023-24,Bournemouth,Dominic Sadi,ENG,FW,19,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Dominic Solanke,ENG,FW,25,1997,36.9,23,11,3,13,7,10,29,34.5,19,24,5,19,7,30,43,0
ENG-Premier League,2023-24,Bournemouth,Enes Ünal,TUR,"FW,MF",26,1997,3.6,6,4,2,3,1,2,5,40.0,3,4,2,2,1,7,6,0
ENG-Premier League,2023-24,Bournemouth,Hamed Junior Traorè,CIV,MF,23,2000,0.5,1,0,1,0,0,1,3,33.3,2,3,0,3,0,1,0,0
ENG-Premier League,2023-24,Bournemouth,Illia Zabarnyi,UKR,DF,20,2002,37.0,59,32,29,29,1,23,50,46.0,27,53,34,19,33,92,143,4
ENG-Premier League,2023-24,Bournemouth,Ionuț Radu,ROU,GK,26,1997,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Jaidon Anthony,ENG,FW,23,1999,1.7,3,1,1,0,2,1,7,14.3,6,3,0,3,1,4,3,0
ENG-Premier League,2023-24,Bournemouth,James Hill,ENG,DF,21,2002,0.8,3,2,1,2,0,1,1,100.0,0,3,2,1,3,6,8,0
ENG-Premier League,2023-24,Bournemouth,Joe Rothwell,ENG,MF,28,1995,4.3,7,2,4,2,1,2,8,25.0,6,4,2,2,3,10,2,0
ENG-Premier League,2023-24,Bournemouth,Justin Kluivert,NED,"MF,FW",24,1999,21.3,28,14,5,12,11,8,30,26.7,22,16,1,15,8,36,11,0
ENG-Premier League,2023-24,Bournemouth,Kieffer Moore,WAL,"FW,MF",30,1992,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Lewis Cook,ENG,MF,26,1997,31.0,61,41,24,30,7,34,63,54.0,29,32,11,21,65,126,46,1
ENG-Premier League,2023-24,Bournemouth,Lloyd Kelly,ENG,DF,24,1998,17.3,24,19,10,9,5,14,25,56.0,11,22,12,10,13,37,67,0
ENG-Premier League,2023-24,Bournemouth,Luis Sinisterra,COL,"FW,MF",24,1999,7.8,23,12,9,10,4,9,16,56.3,7,18,0,18,8,31,4,0
ENG-Premier League,2023-24,Bournemouth,Marcos Senesi,ARG,DF,26,1997,24.9,55,32,28,23,4,24,56,42.9,32,50,23,27,35,90,109,1
ENG-Premier League,2023-24,Bournemouth,Marcus Tavernier,ENG,FW,24,1999,23.5,53,34,25,22,6,26,48,54.2,22,31,3,28,5,58,23,0
ENG-Premier League,2023-24,Bournemouth,Mark Travers,IRL,GK,24,1999,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
ENG-Premier League,2023-24,Bournemouth,Max Aarons,ENG,DF,23,2000,13.7,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0
ENG-Premier League,2023-24,Bournemouth,Milos Kerkez,HUN,DF,19,2003,21.9,47,26,31,13,3,30,42,71.4,12,31,11,20,20,67,60,2
ENG-Premier League,2023-24,Bournemouth,Neto,BRA,GK,34,1989,32.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,12,3
ENG-Premier League,2023-24,Bournemouth,Philip Billing,DEN,MF,27,1996,15.5,33,16,7,22,4,9,27,33.3,18,31,5,26,20,53,28,1
ENG-Premier League,2023-24,Bournemouth,Romain Faivre,FRA,"MF,FW",25,1998,0.5,1,1,0,1,0,0,3,0.0,3,0,0,0,0,1,0,0
ENG-Premier League,2023-24,Bournemouth,Ryan Christie,SCO,MF,28,1995,32.3,86,44,34,35,17,39,92,42.4,53,52,11,41,52,138,53,1
ENG-Premier League,2023-24,Bournemouth,Tyler Adams,USA,MF,24,1999,1.3,4,3,1,3,0,2,3,66.7,1,2,0,2,4,8,2,0
ENG-Premier League,2023-24,Brentford,Aaron Hickey,SCO,DF,21,2002,7.9,16,9,9,3,4,7,7,100.0,0,7,3,4,3,19,10,0
ENG-Premier League,2023-24,Brentford,Ben Mee,ENG,DF,33,1989,14.1,26,15,12,12,2,17,22,77.3,5,21,13,8,13,39,63,1
ENG-Premier League,2023-24,Brentford,Bryan Mbeumo,CMR,FW,23,1999,21.8,15,10,6,6,3,5,19,26.3,14,26,2,24,7,22,13,0
ENG-Premier League,2023-24,Brentford,Christian Nørgaard,DEN,MF,29,1994,27.8,81,50,42,31,8,32,87,36.8,55,48,6,42,54,135,50,0
ENG-Premier League,2023-24,Brentford,Ethan Pinnock,JAM,DF,30,1993,28.0,35,23,22,13,0,9,20,45.0,11,40,24,16,43,78,170,3
ENG-Premier League,2023-24,Brentford,Frank Onyeka,NGA,MF,25,1998,12.9,37,24,9,23,5,16,29,55.2,13,15,7,8,23,60,17,0
ENG-Premier League,2023-24,Brentford,Ivan Toney,ENG,FW,27,1996,16.1,15,5,2,7,6,6,14,42.9,8,5,1,4,10,25,18,0
ENG-Premier League,2023-24,Brentford,Josh Dasilva,ENG,"DF,FW",24,1998,0.3,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0
ENG-Premier League,2023-24,Brentford,Keane Lewis-Potter,ENG,"FW,DF",22,2001,16.0,17,7,5,11,1,7,15,46.7,8,10,2,8,7,24,23,0
ENG-Premier League,2023-24,Brentford,Kevin Schade,GER,"FW,MF",21,2001,3.7,3,1,1,2,0,0,5,0.0,5,2,0,2,1,4,4,0
ENG-Premier League,2023-24,Brentford,Kristoffer Ajer,NOR,DF,25,1998,20.4,38,21,25,9,4,23,36,63.9,13,26,11,15,25,63,79,1
ENG-Premier League,2023-24,Brentford,Mads Roerslev,DEN,DF,24,1999,22.1,48,31,34,9,5,27,54,50.0,27,15,3,12,19,67,71,0
ENG-Premier League,2023-24,Brentford,Mark Flekken,NED,GK,30,1993,36.5,1,1,1,0,0,1,5,20.0,4,1,0,1,0,1,17,1
ENG-Premier League,2023-24,Brentford,Mathias Jensen,DEN,MF,27,1996,24.5,54,32,25,22,7,26,95,27.4,69,41,6,35,23,77,25,1
ENG-Premier League,2023-24,Brentford,Mathias Jørgensen,DEN,DF,33,1990,12.1,17,12,15,1,1,11,19,57.9,8,9,5,4,12,29,40,0
ENG-Premier League,2023-24,Brentford,Michael Olakigbe,ENG,"DF,FW",19,2004,0.7,3,0,2,1,0,2,4,50.0,2,7,0,7,1,4,0,1
ENG-Premier League,2023-24,Brentford,Mikkel Damsgaard,DEN,MF,23,2000,9.4,29,17,13,9,7,14,40,35.0,26,23,1,22,11,40,10,1
ENG-Premier League,2023-24,Brentford,Myles Peart-Harris,ENG,"DF,MF",20,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2023-24,Brentford,Nathan Collins,IRL,DF,22,2001,29.5,38,20,24,12,2,19,29,65.5,10,46,30,16,44,82,141,4
ENG-Premier League,2023-24,Brentford,Neal Maupay,FRA,FW,26,1996,14.7,10,7,4,5,1,3,13,23.1,10,11,0,11,2,12,3,0
ENG-Premier League,2023-24,Brentford,Rico Henry,ENG,DF,26,1997,4.5,7,5,3,3,1,6,7,85.7,1,8,3,5,5,12,5,1
ENG-Premier League,2023-24,Brentford,Saman Ghoddos,IRN,DF,29,1993,8.2,28,19,19,7,2,17,31,54.8,14,9,2,7,5,33,12,0
ENG-Premier League,2023-24,Brentford,Sergio Reguilón,ESP,DF,26,1996,12.4,45,20,26,18,1,24,40,60.0,16,23,6,17,16,61,41,1
ENG-Premier League,2023-24,Brentford,Shandon Baptiste,GRN,MF,25,1998,2.5,4,4,2,2,0,1,5,20.0,4,5,1,4,3,7,6,0
ENG-Premier League,2023-24,Brentford,Thomas Strakosha,ALB,GK,28,1995,1.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2023-24,Brentford,Vitaly Janelt,GER,"MF,DF",25,1998,33.9,63,38,29,25,9,32,64,50.0,32,35,9,26,36,99,64,3
ENG-Premier League,2023-24,Brentford,Yehor Yarmoliuk,UKR,MF,19,2004,7.6,17,11,6,8,3,7,17,41.2,10,17,4,13,6,23,5,0
ENG-Premier League,2023-24,Brentford,Yoane Wissa,COD,FW,26,1996,27.7,28,16,13,10,5,5,20,25.0,15,24,3,21,9,37,15,0
ENG-Premier League,2023-24,Brighton,Adam Lallana,ENG,"MF,FW",35,1988,9.4,8,3,4,4,0,0,4,0.0,4,2,1,1,3,11,1,0
ENG-Premier League,2023-24,Brighton,Adam Webster,ENG,DF,28,1995,12.7,14,12,8,5,1,6,18,33.3,12,16,12,4,16,30,43,1
ENG-Premier League,2023-24,Brighton,Ansu Fati,ESP,"MF,FW",20,2002,5.8,5,3,1,2,2,1,11,9.1,10,8,0,8,3,8,3,0
ENG-Premier League,2023-24,Brighton,Bart Verbruggen,NED,GK,20,2002,21.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,11,3
ENG-Premier League,2023-24,Brighton,Benicio Boaitey,ENG,"FW,DF",19,2004,0.4,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
ENG-Premier League,2023-24,Brighton,Billy Gilmour,SCO,MF,22,2001,23.6,26,16,14,10,2,11,35,31.4,24,23,9,14,11,37,14,1
ENG-Premier League,2023-24,Brighton,Carlos Baleba,CMR,MF,19,2004,14.7,40,20,17,19,4,23,46,50.0,23,35,7,28,18,58,30,3
ENG-Premier League,2023-24,Brighton,Danny Welbeck,ENG,"FW,MF",32,1990,18.8,35,17,9,17,9,10,17,58.8,7,12,0,12,9,44,17,1
ENG-Premier League,2023-24,Brighton,Evan Ferguson,IRL,FW,18,2004,15.2,14,6,4,7,3,5,14,35.7,9,10,3,7,2,16,8,0
ENG-Premier League,2023-24,Brighton,Facundo Buonanotte,ARG,"FW,MF",18,2004,15.2,42,22,13,22,7,14,44,31.8,30,22,3,19,8,50,5,0
ENG-Premier League,2023-24,Brighton,Igor,BRA,DF,25,1998,18.2,25,18,7,16,2,17,29,58.6,12,22,9,13,14,39,52,1
ENG-Premier League,2023-24,Brighton,Jack Hinshelwood,ENG,DF,18,2005,9.7,14,5,7,4,3,5,13,38.5,8,6,2,4,14,28,18,0
ENG-Premier League,2023-24,Brighton,Jakub Moder,POL,"MF,DF",24,1999,6.9,19,10,9,5,5,9,18,50.0,9,8,2,6,2,21,12,0
ENG-Premier League,2023-24,Brighton,James Milner,ENG,"DF,MF",37,1986,8.6,20,14,9,10,1,9,14,64.3,5,9,0,9,8,28,16,0
ENG-Premier League,2023-24,Brighton,Jan Paul van Hecke,NED,DF,23,2000,26.3,47,26,25,19,3,27,45,60.0,18,49,27,22,30,77,76,4
ENG-Premier League,2023-24,Brighton,Jason Steele,ENG,GK,32,1990,17.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,8,1
ENG-Premier League,2023-24,Brighton,João Pedro,BRA,"FW,MF",21,2001,22.7,31,14,10,13,8,14,24,58.3,10,15,2,13,11,42,28,0
ENG-Premier League,2023-24,Brighton,Joël Veltman,NED,DF,31,1992,17.6,54,41,32,17,5,39,58,67.2,19,17,7,10,18,72,57,1
ENG-Premier League,2023-24,Brighton,Julio Enciso,PAR,"MF,FW",19,2004,5.3,6,2,3,2,1,2,7,28.6,5,11,0,11,0,6,3,0
ENG-Premier League,2023-24,Brighton,Kaoru Mitoma,JPN,FW,26,1997,16.5,13,6,3,7,3,5,19,26.3,14,15,1,14,5,18,12,0
ENG-Premier League,2023-24,Brighton,Lewis Dunk,ENG,DF,31,1991,31.9,27,14,17,9,1,13,36,36.1,23,49,37,12,31,58,90,1
ENG-Premier League,2023-24,Brighton,Mahmoud Dahoud,GER,MF,27,1996,5.0,9,4,2,4,3,3,9,33.3,6,4,1,3,1,10,5,0
ENG-Premier League,2023-24,Brighton,Mark O'Mahony,IRL,FW,18,2005,0.7,1,0,1,0,0,1,2,50.0,1,2,1,1,0,1,1,0
ENG-Premier League,2023-24,Brighton,Odeluga Offiah,ENG,DF,20,2002,1.4,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0
ENG-Premier League,2023-24,Brighton,Pascal Groß,GER,"MF,DF",32,1991,34.6,70,46,33,21,16,31,72,43.1,41,41,8,33,22,92,32,3
ENG-Premier League,2023-24,Brighton,Pervis Estupiñán,ECU,DF,25,1998,13.8,26,13,12,11,3,14,30,46.7,16,14,4,10,21,47,20,0
ENG-Premier League,2023-24,Brighton,Simon Adingra,CIV,FW,21,2002,24.7,45,20,23,11,11,19,42,45.2,23,31,1,30,19,64,22,0
ENG-Premier League,2023-24,Brighton,Solly March,ENG,"FW,DF",29,1994,6.2,19,14,9,7,3,8,14,57.1,6,5,0,5,11,30,8,0
ENG-Premier League,2023-24,Brighton,Tariq Lamptey,GHA,"DF,FW",22,2000,10.2,21,14,14,5,2,13,22,59.1,9,7,3,4,6,27,6,0
ENG-Premier League,2023-24,Brighton,Valentín Barco,ARG,"DF,FW",19,2004,3.4,11,5,4,5,2,6,8,75.0,2,3,0,3,4,15,3,1
ENG-Premier League,2023-24,Burnley,Aaron Ramsey,ENG,"MF,FW",20,2003,5.9,17,14,7,5,5,8,16,50.0,8,11,2,9,1,18,10,0
ENG-Premier League,2023-24,Burnley,Ameen Al-Dakhil,BEL,DF,21,2002,11.7,12,5,4,7,1,1,10,10.0,9,13,6,7,12,24,38,2
ENG-Premier League,2023-24,Burnley,Anass Zaroury,MAR,"FW,MF",22,2000,1.7,1,0,1,0,0,0,4,0.0,4,2,0,2,0,1,1,1
ENG-Premier League,2023-24,Burnley,Arijanet Muric,KVX,GK,24,1998,10.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,10,4
ENG-Premier League,2023-24,Burnley,Benson Manuel,ANG,"MF,FW",26,1997,1.3,3,2,2,1,0,0,0,,0,1,0,1,0,3,0,0
ENG-Premier League,2023-24,Burnley,Charlie Taylor,ENG,DF,29,1993,25.9,35,20,19,14,2,17,35,48.6,18,27,11,16,19,54,78,0
ENG-Premier League,2023-24,Burnley,Connor Roberts,WAL,DF,27,1995,9.1,12,5,6,4,2,8,17,47.1,9,8,6,2,4,16,25,2
ENG-Premier League,2023-24,Burnley,Dara O'Shea,IRL,DF,24,1999,32.1,39,20,22,14,3,11,26,42.3,15,41,30,11,35,74,158,2
ENG-Premier League,2023-24,Burnley,David Datro Fofana,CIV,FW,20,2002,9.8,10,5,3,5,2,3,6,50.0,3,9,3,6,1,11,2,0
ENG-Premier League,2023-24,Burnley,Han-Noah Massengo,FRA,"MF,DF",22,2001,0.2,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
ENG-Premier League,2023-24,Burnley,Hannes Delcroix,BEL,DF,24,1999,6.5,10,6,6,4,0,3,4,75.0,1,9,3,6,9,19,26,0
ENG-Premier League,2023-24,Burnley,Hjalmar Ekdal,SWE,DF,24,1998,4.9,4,2,2,2,0,2,4,50.0,2,10,5,5,6,10,21,0
ENG-Premier League,2023-24,Burnley,Jack Cork,ENG,MF,34,1989,0.3,2,0,0,2,0,1,3,33.3,2,0,0,0,1,3,1,0
ENG-Premier League,2023-24,Burnley,Jacob Bruun Larsen,DEN,"MF,FW",24,1998,13.9,9,4,4,3,2,7,21,33.3,14,16,2,14,7,16,23,0
ENG-Premier League,2023-24,Burnley,James Trafford,ENG,GK,20,2002,28.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,18,1
ENG-Premier League,2023-24,Burnley,Jay Rodriguez,ENG,FW,34,1989,9.1,14,9,7,4,3,7,13,53.8,6,11,1,10,1,15,8,0
ENG-Premier League,2023-24,Burnley,Jordan Beyer,GER,DF,23,2000,13.7,35,20,22,12,1,14,24,58.3,10,22,15,7,16,51,68,1
ENG-Premier League,2023-24,Burnley,Josh Brownhill,ENG,MF,27,1995,25.0,61,35,23,28,10,27,37,73.0,10,33,8,25,34,95,40,1
ENG-Premier League,2023-24,Burnley,Josh Cullen,IRL,MF,27,1996,22.9,42,29,15,22,5,26,46,56.5,20,31,19,12,15,57,26,1
ENG-Premier League,2023-24,Burnley,Jóhann Berg Guðmundsson,ISL,"MF,FW",32,1990,13.2,13,4,6,5,2,7,16,43.8,9,14,0,14,16,29,16,0
ENG-Premier League,2023-24,Burnley,Lorenz Assignon,TOG,DF,23,2000,13.7,35,17,18,13,4,14,27,51.9,13,22,7,15,19,54,43,1
ENG-Premier League,2023-24,Burnley,Luca Koleosho,ITA,"MF,FW",18,2004,10.8,7,4,2,5,0,2,10,20.0,8,13,0,13,2,9,0,0
ENG-Premier League,2023-24,Burnley,Lyle Foster,RSA,"FW,MF",22,2000,21.1,19,10,5,6,8,6,17,35.3,11,13,3,10,3,22,34,0
ENG-Premier League,2023-24,Burnley,Maxime Estève,FRA,DF,21,2002,14.5,27,10,15,12,0,18,32,56.3,14,21,10,11,27,54,56,0
ENG-Premier League,2023-24,Burnley,Michael Obafemi,IRL,"FW,MF",23,2000,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ENG-Premier League,2023-24,Burnley,Mike Trésor,BEL,"FW,MF",24,1999,4.7,10,6,9,1,0,8,18,44.4,10,5,0,5,1,11,1,0
ENG-Premier League,2023-24,Burnley,Nathan Redmond,ENG,"FW,MF",29,1994,1.6,2,1,0,0,2,1,4,25.0,3,1,0,1,0,2,3,0
ENG-Premier League,2023-24,Burnley,Sander Berge,NOR,MF,25,1998,33.4,76,46,35,36,5,34,58,58.6,24,49,20,29,23,99,60,2
