league,season,team,player,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
ENG-Premier League,2023-24,Manchester Utd,Marcus Rashford,ENG,FW,25,1997,25.2,87,3.45,57,1,16,7,6,0,12,0.48,10,0,1,0,1,0
ENG-Premier League,2023-24,Manchester Utd,Mason Mount,ENG,"MF,FW",24,1999,5.7,18,3.15,11,2,2,0,1,2,0,0.0,0,0,0,0,0,0
ENG-Premier League,2023-24,Manchester Utd,Omari Forson,ENG,FW,19,2004,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2023-24,Manchester Utd,Raphaël Varane,FRA,DF,30,1993,15.3,16,1.05,13,1,0,2,0,0,2,0.13,2,0,0,0,0,0
ENG-Premier League,2023-24,Manchester Utd,Rasmus Højlund,DEN,FW,20,2003,24.0,58,2.42,43,0,5,4,3,3,4,0.17,2,0,2,0,0,0
ENG-Premier League,2023-24,Manchester Utd,Scott McTominay,SCO,"MF,FW",26,1996,21.1,26,1.23,18,0,1,4,1,2,2,0.09,1,0,0,0,0,1
ENG-Premier League,2023-24,Manchester Utd,Sergio Reguilón,ESP,DF,26,1996,4.6,15,3.28,13,1,0,1,0,0,1,0.22,1,0,0,0,0,0
ENG-Premier League,2023-24,Manchester Utd,Sofyan Amrabat,MAR,"MF,DF",26,1996,10.4,19,1.82,19,0,0,0,0,0,1,0.1,1,0,0,0,0,0
ENG-Premier League,2023-24,Manchester Utd,Victor Lindelöf,SWE,DF,29,1994,14.8,19,1.29,19,0,0,0,0,0,3,0.2,3,0,0,0,0,0
ENG-Premier League,2023-24,Manchester Utd,Willy Kambwala,FRA,DF,18,2004,3.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2023-24,Newcastle Utd,Alex Murphy,IRL,"DF,FW",19,2004,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
