league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
ENG-Premier League,2025-26,Aston Villa,Youri Tielemans,BEL,MF,28-116,1997,2.0,3,2,1,2,0,1,2,50.0,1,1,0,1,1,4,2,0
ENG-Premier League,2025-26,Bournemouth,Adam Smith,ENG,DF,34-124,1991,2.3,1,0,0,1,0,0,0,,0,1,0,1,1,2,10,0
ENG-Premier League,2025-26,Bournemouth,Adrien Truffert,FRA,DF,23-284,2001,3.0,7,3,2,4,1,5,7,71.4,2,2,1,1,0,7,12,0
ENG-Premier League,2025-26,Bournemouth,Alex Scott,ENG,MF,22-010,2003,2.2,5,3,1,2,2,0,0,,0,1,0,1,1,6,4,0
ENG-Premier League,2025-26,Bournemouth,Amine Adli,MAR,"FW,MF",25-113,2000,0.6,7,4,2,2,3,5,5,100.0,0,2,0,2,2,9,1,0
ENG-Premier League,2025-26,Bournemouth,Antoine Semenyo,GHA,"MF,FW",25-236,2000,3.0,3,2,1,1,1,1,2,50.0,1,5,0,5,1,4,0,0
ENG-Premier League,2025-26,Bournemouth,Bafodé Diakité,FRA,DF,24-237,2001,3.0,5,5,4,1,0,3,3,100.0,0,2,0,2,2,7,18,0
ENG-Premier League,2025-26,Bournemouth,Ben Winterburn,ENG,MF,20-361,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2025-26,Bournemouth,David Brooks,WAL,"MF,FW",28-054,1997,2.3,6,5,2,2,2,3,8,37.5,5,0,0,0,0,6,2,0
ENG-Premier League,2025-26,Bournemouth,Eli Junior Kroupi,FRA,"FW,MF",19-069,2006,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2025-26,Bournemouth,Evanilson,BRA,FW,25-329,1999,2.9,0,0,0,0,0,0,2,0.0,2,2,1,1,0,0,4,0
ENG-Premier League,2025-26,Bournemouth,Hamed Junior Traorè,CIV,MF,25-196,2000,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
ENG-Premier League,2025-26,Bournemouth,James Hill,ENG,DF,23-233,2002,0.8,0,0,0,0,0,0,2,0.0,2,2,0,2,2,2,5,0
ENG-Premier League,2025-26,Bournemouth,Justin Kluivert,NED,MF,26-118,1999,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
ENG-Premier League,2025-26,Bournemouth,Marcos Senesi,ARG,DF,28-113,1997,3.0,6,5,2,4,0,1,4,25.0,3,2,0,2,6,12,30,0
ENG-Premier League,2025-26,Bournemouth,Marcus Tavernier,ENG,MF,26-162,1999,2.7,6,3,1,4,1,2,2,100.0,0,0,0,0,2,8,7,0
ENG-Premier League,2025-26,Bournemouth,Ryan Christie,SCO,MF,30-190,1995,0.6,4,2,2,2,0,2,4,50.0,2,1,0,1,1,5,2,0
ENG-Premier League,2025-26,Bournemouth,Tyler Adams,USA,MF,26-198,1999,3.0,9,3,3,5,1,6,11,54.5,5,7,3,4,7,16,5,0
ENG-Premier League,2025-26,Bournemouth,Đorđe Petrović,SRB,GK,25-327,1999,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
ENG-Premier League,2025-26,Brentford,Aaron Hickey,SCO,"DF,FW",23-082,2002,0.2,3,1,3,0,0,3,4,75.0,1,0,0,0,0,3,1,0
ENG-Premier League,2025-26,Brentford,Antoni Milambo,NED,MF,20-150,2005,0.5,3,1,1,2,0,0,0,,0,2,0,2,0,3,0,0
ENG-Premier League,2025-26,Brentford,Caoimhín Kelleher,IRL,GK,26-281,1998,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
ENG-Premier League,2025-26,Brentford,Dango Ouattara,BFA,FW,23-201,2002,1.9,4,2,1,1,2,2,4,50.0,2,3,0,3,2,6,7,0
ENG-Premier League,2025-26,Brentford,Fabio Carvalho,POR,"FW,MF",23-001,2002,1.0,3,2,0,1,2,1,1,100.0,0,1,0,1,0,3,1,0
ENG-Premier League,2025-26,Brentford,Frank Onyeka,NGA,MF,27-242,1998,0.7,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,2,0
ENG-Premier League,2025-26,Brentford,Jordan Henderson,ENG,MF,35-075,1990,1.8,2,0,1,1,0,1,2,50.0,1,3,1,2,2,4,2,0
ENG-Premier League,2025-26,Brentford,Keane Lewis-Potter,ENG,"DF,FW",24-190,2001,2.5,5,3,4,1,0,2,3,66.7,1,0,0,0,1,6,9,0
ENG-Premier League,2025-26,Brentford,Kevin Schade,GER,FW,23-277,2001,2.4,5,1,2,2,1,0,3,0.0,3,2,2,0,2,7,1,0
ENG-Premier League,2025-26,Brentford,Kristoffer Ajer,NOR,DF,27-136,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2025-26,Brentford,Mathias Jensen,DEN,MF,29-242,1996,0.9,4,2,0,3,1,1,2,50.0,1,2,0,2,0,4,3,0
ENG-Premier League,2025-26,Brentford,Michael Kayode,ITA,DF,21-052,2004,2.9,8,4,5,3,0,6,7,85.7,1,6,3,3,3,11,7,0
ENG-Premier League,2025-26,Brentford,Mikkel Damsgaard,DEN,MF,25-059,2000,2.0,3,2,1,0,2,1,4,25.0,3,5,1,4,2,5,4,0
ENG-Premier League,2025-26,Brentford,Nathan Collins,IRL,DF,24-123,2001,3.0,2,0,2,0,0,1,1,100.0,0,2,1,1,3,5,23,0
ENG-Premier League,2025-26,Brentford,Rico Henry,ENG,DF,28-054,1997,1.3,2,2,1,1,0,1,1,100.0,0,0,0,0,1,3,3,0
